"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,4,8,0,55,35,1131,108,8,4,0,8
2023-01-02,137,6,9,0,59,39,1217,143,9,10,0,17
2023-01-03,117,1,5,0,59,38,1220,118,5,11,0,22
2023-01-04,99,2,9,0,59,38,1174,101,9,13,0,31
2023-01-05,98,2,13,0,63,40,1145,100,13,15,0,44
2023-01-06,92,3,12,1,68,42,1085,95,13,18,1,56
2023-01-07,74,2,2,0,54,38,1012,76,2,20,1,58
2023-01-08,84,5,8,0,58,40,1047,89,8,25,1,66
2023-01-09,112,3,4,0,55,39,1112,115,4,28,1,70
2023-01-10,83,1,5,0,49,35,1078,84,5,29,1,75
2023-01-11,76,1,4,0,49,33,1013,77,4,30,1,79
2023-01-12,82,3,6,0,46,32,988,85,6,33,1,85
2023-01-13,63,2,7,0,50,33,933,65,7,35,1,92
2023-01-14,50,1,4,0,49,33,868,51,4,36,1,96
2023-01-15,53,4,1,0,43,30,872,57,1,40,1,97
2023-01-16,81,4,5,0,45,31,916,85,5,44,1,102
2023-01-17,65,4,6,1,47,30,885,69,7,48,2,108
2023-01-18,61,2,3,0,42,29,859,63,3,50,2,111
2023-01-19,58,5,2,0,39,26,834,63,2,55,2,113
2023-01-20,52,2,4,0,36,24,795,54,4,57,2,117
2023-01-21,41,1,0,0,32,22,739,42,0,58,2,117
2023-01-22,37,3,1,0,28,21,750,40,1,61,2,118
2023-01-23,63,1,7,0,34,26,788,64,7,62,2,125
2023-01-24,39,2,3,0,33,25,736,41,3,64,2,128
2023-01-25,41,0,2,1,28,22,692,41,3,64,3,130
2023-01-26,46,4,2,0,22,17,694,50,2,68,3,132
2023-01-27,56,2,3,0,21,16,684,58,3,70,3,135
2023-01-28,28,1,2,0,22,18,633,29,2,71,3,137
2023-01-29,44,0,3,0,22,19,646,44,3,71,3,140
2023-01-30,75,1,3,0,24,20,702,76,3,72,3,143
2023-01-31,48,1,4,1,23,18,687,49,5,73,4,147
2023-02-01,61,5,1,0,23,18,694,66,1,78,4,148
2023-02-02,51,1,5,0,22,19,682,52,5,79,4,153
2023-02-03,55,0,4,0,22,19,678,55,4,79,4,157
2023-02-04,42,1,2,0,21,18,660,43,2,80,4,159
2023-02-05,47,0,2,0,20,17,683,47,2,80,4,161
