"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,4,8,0,55,35,1132,108,8,4,0,8
2023-01-02,137,3,9,0,59,39,1215,140,9,7,0,17
2023-01-03,115,1,5,0,59,38,1217,116,5,8,0,22
2023-01-04,99,1,9,0,58,37,1170,100,9,9,0,31
2023-01-05,98,2,13,0,62,39,1141,100,13,11,0,44
2023-01-06,92,2,12,1,68,42,1082,94,13,13,1,56
2023-01-07,74,1,2,0,54,38,1009,75,2,14,1,58
2023-01-08,84,5,8,0,58,40,1045,89,8,19,1,66
2023-01-09,112,1,4,0,55,39,1109,113,4,20,1,70
2023-01-10,83,1,5,0,49,35,1075,84,5,21,1,75
2023-01-11,76,1,4,0,49,33,1010,77,4,22,1,79
2023-01-12,82,3,6,0,46,32,987,85,6,25,1,85
2023-01-13,63,0,7,0,50,33,932,63,7,25,1,92
2023-01-14,50,0,4,0,49,33,866,50,4,25,1,96
2023-01-15,53,3,1,0,43,30,869,56,1,28,1,97
2023-01-16,81,3,5,0,45,31,912,84,5,31,1,102
2023-01-17,65,2,6,1,47,30,882,67,7,33,2,108
2023-01-18,61,2,3,0,42,29,857,63,3,35,2,111
2023-01-19,58,4,2,0,39,26,832,62,2,39,2,113
2023-01-20,52,0,4,0,36,24,794,52,4,39,2,117
2023-01-21,41,0,0,0,32,22,738,41,0,39,2,117
2023-01-22,37,1,1,0,28,21,747,38,1,40,2,118
2023-01-23,63,0,7,0,34,26,785,63,7,40,2,125
2023-01-24,39,2,3,0,33,25,737,41,3,42,2,128
2023-01-25,41,0,2,1,28,22,695,41,3,42,3,130
2023-01-26,46,3,2,0,22,17,697,49,2,45,3,132
2023-01-27,56,2,3,0,21,16,687,58,3,47,3,135
2023-01-28,28,1,2,0,22,18,639,29,2,48,3,137
2023-01-29,43,0,3,0,22,19,654,43,3,48,3,140
2023-01-30,75,1,3,0,24,20,710,76,3,49,3,143
2023-01-31,48,1,4,1,23,18,698,49,5,50,4,147
2023-02-01,61,5,1,0,23,18,705,66,1,55,4,148
2023-02-02,51,1,5,0,22,19,693,52,5,56,4,153
2023-02-03,55,0,4,0,22,19,689,55,4,56,4,157
2023-02-04,42,1,2,0,21,18,671,43,2,57,4,159
2023-02-05,46,0,2,0,20,17,693,46,2,57,4,161
2023-02-06,65,3,6,0,23,18,745,68,6,60,4,167
2023-02-07,61,0,4,0,21,15,743,61,4,60,4,171
2023-02-08,60,0,7,0,27,19,733,60,7,60,4,178
2023-02-09,75,1,4,0,29,21,756,76,4,61,4,182
2023-02-10,69,2,2,0,24,17,769,71,2,63,4,184
2023-02-11,66,1,3,0,22,14,761,67,3,64,4,187
2023-02-12,58,0,0,0,20,14,785,58,0,64,4,187
2023-02-13,99,2,3,0,18,15,858,101,3,66,4,190
2023-02-14,74,1,2,0,20,17,850,75,2,67,4,192
2023-02-15,76,0,9,0,26,21,850,76,9,67,4,201
2023-02-16,80,0,4,0,29,23,862,80,4,67,4,205
2023-02-17,93,2,1,0,27,21,881,95,1,69,4,206
2023-02-18,74,2,2,0,26,21,867,76,2,71,4,208
2023-02-19,75,2,9,1,31,23,903,77,10,73,5,217
2023-02-20,120,3,7,0,38,24,999,123,7,76,5,224
2023-02-21,95,2,8,0,40,26,998,97,8,78,5,232
2023-02-22,113,2,8,1,39,29,1021,115,9,80,6,240
2023-02-23,103,0,4,0,38,29,1049,103,4,80,6,244
2023-02-24,103,0,5,0,33,28,1066,103,5,80,6,249
2023-02-25,101,0,6,0,36,30,1064,101,6,80,6,255
2023-02-26,91,1,8,0,37,29,1108,92,8,81,6,263
2023-02-27,166,3,15,0,48,32,1233,169,15,84,6,278
2023-02-28,142,1,12,0,58,34,1270,143,12,85,6,290
2023-03-01,138,2,15,1,57,34,1262,140,16,87,7,305
2023-03-02,144,2,8,0,58,37,1281,146,8,89,7,313
2023-03-03,147,4,10,0,59,34,1292,151,10,93,7,323
2023-03-04,108,0,2,0,52,29,1263,108,2,93,7,325
2023-03-05,97,1,9,0,54,29,1287,98,9,94,7,334
2023-03-06,189,4,12,0,62,33,1432,193,12,98,7,346
2023-03-07,165,3,16,0,73,37,1429,168,16,101,7,362
2023-03-08,141,1,3,0,61,33,1415,142,3,102,7,365
2023-03-09,134,1,6,1,57,33,1377,135,7,103,8,371
2023-03-10,146,2,14,0,60,36,1379,148,14,105,8,385
2023-03-11,100,0,8,0,60,39,1308,100,8,105,8,393
2023-03-12,107,0,10,0,62,40,1351,107,10,105,8,403
2023-03-13,171,0,10,0,64,41,1466,171,10,105,8,413
2023-03-14,146,0,6,0,64,40,1444,146,6,105,8,419
2023-03-15,141,2,4,0,59,36,1434,143,4,107,8,423
2023-03-16,134,1,11,1,66,35,1402,135,12,108,9,434
2023-03-17,128,4,4,0,57,32,1380,132,4,112,9,438
2023-03-18,93,0,5,0,50,32,1319,93,5,112,9,443
2023-03-19,107,2,7,0,50,32,1358,109,7,114,9,450
2023-03-20,145,1,14,1,59,35,1440,146,15,115,10,464
2023-03-21,112,1,11,0,65,39,1391,113,11,116,10,475
2023-03-22,111,4,5,0,59,37,1363,115,5,120,10,480
2023-03-23,118,2,8,0,58,37,1314,120,8,122,10,488
2023-03-24,102,0,4,1,53,33,1262,102,5,122,11,492
2023-03-25,84,0,5,0,48,32,1198,84,5,122,11,497
2023-03-26,81,0,4,0,44,31,1214,81,4,122,11,501
2023-03-27,103,3,6,1,51,34,1278,106,7,125,12,507
2023-03-28,96,0,14,0,60,38,1228,96,14,125,12,521
2023-03-29,91,2,2,0,55,35,1186,93,2,127,12,523
2023-03-30,86,1,6,0,52,34,1155,87,6,128,12,529
2023-03-31,92,2,5,0,51,36,1132,94,5,130,12,534
2023-04-01,60,0,3,0,49,34,1060,60,3,130,12,537
2023-04-02,52,0,5,0,50,35,1065,52,5,130,12,542
2023-04-03,76,1,7,0,53,35,1107,77,7,131,12,549
2023-04-04,62,2,2,0,45,30,1058,64,2,133,12,551
2023-04-05,69,1,2,0,39,27,1029,70,2,134,12,553
2023-04-06,71,2,8,0,43,30,1004,73,8,136,12,561
2023-04-07,67,1,4,0,41,26,997,68,4,137,12,565
2023-04-08,52,1,2,0,41,27,930,53,2,138,12,567
2023-04-09,50,0,4,0,40,26,917,50,4,138,12,571
2023-04-10,46,1,5,0,41,28,922,47,5,139,12,576
2023-04-11,85,2,2,0,40,27,970,87,2,141,12,578
2023-04-12,66,1,2,0,40,26,952,67,2,142,12,580
2023-04-13,44,1,2,0,39,25,909,45,2,143,12,582
2023-04-14,44,2,4,0,38,27,855,46,4,145,12,586
2023-04-15,38,0,0,0,37,26,804,38,0,145,12,586
2023-04-16,28,0,2,0,37,25,794,28,2,145,12,588
2023-04-17,46,4,5,0,39,23,827,50,5,149,12,593
2023-04-18,49,1,1,0,39,23,806,50,1,150,12,594
2023-04-19,32,0,1,0,36,23,766,32,1,150,12,595
2023-04-20,16,0,0,0,36,23,742,16,0,150,12,595
2023-04-21,4,0,1,0,34,23,711,4,1,150,12,596
