"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,5,8,0,55,35,1142,109,8,5,0,8
2023-01-02,137,9,9,0,59,39,1229,146,9,14,0,17
2023-01-03,117,2,5,0,59,38,1229,119,5,16,0,22
2023-01-04,99,4,9,0,59,38,1184,103,9,20,0,31
2023-01-05,98,3,13,0,63,40,1154,101,13,23,0,44
2023-01-06,92,4,12,1,68,42,1094,96,13,27,1,56
2023-01-07,74,2,2,0,54,38,1020,76,2,29,1,58
2023-01-08,84,7,8,0,58,40,1055,91,8,36,1,66
2023-01-09,112,4,4,0,55,39,1121,116,4,40,1,70
2023-01-10,83,2,5,0,49,35,1087,85,5,42,1,75
2023-01-11,76,2,4,0,49,33,1016,78,4,44,1,79
2023-01-12,82,5,6,0,46,32,993,87,6,49,1,85
2023-01-13,63,2,7,0,50,33,936,65,7,51,1,92
2023-01-14,50,1,4,0,49,33,870,51,4,52,1,96
2023-01-15,53,4,1,0,43,30,873,57,1,56,1,97
2023-01-16,81,5,5,0,45,31,918,86,5,61,1,102
2023-01-17,65,4,6,1,47,30,886,69,7,65,2,108
2023-01-18,61,2,3,0,42,29,859,63,3,67,2,111
2023-01-19,58,6,2,0,39,26,833,64,2,73,2,113
2023-01-20,52,2,4,0,36,24,794,54,4,75,2,117
2023-01-21,41,2,0,0,32,22,739,43,0,77,2,117
2023-01-22,37,3,1,0,28,21,750,40,1,80,2,118
2023-01-23,63,2,7,0,34,26,789,65,7,82,2,125
2023-01-24,39,3,3,0,33,25,737,42,3,85,2,128
2023-01-25,41,2,2,1,28,22,693,43,3,87,3,130
2023-01-26,46,5,2,0,22,17,696,51,2,92,3,132
2023-01-27,56,3,3,0,21,16,686,59,3,95,3,135
2023-01-28,28,1,2,0,22,18,633,29,2,96,3,137
2023-01-29,44,0,3,0,22,19,644,44,3,96,3,140
2023-01-30,75,1,3,0,24,20,699,76,3,97,3,143
2023-01-31,48,1,4,1,23,18,684,49,5,98,4,147
2023-02-01,61,5,1,0,23,18,691,66,1,103,4,148
2023-02-02,51,2,5,0,22,19,680,53,5,105,4,153
2023-02-03,55,0,4,0,22,19,675,55,4,105,4,157
2023-02-04,42,1,2,0,21,18,657,43,2,106,4,159
2023-02-05,47,0,2,0,20,17,680,47,2,106,4,161
2023-02-06,65,3,6,0,23,18,732,68,6,109,4,167
2023-02-07,61,0,4,0,21,15,730,61,4,109,4,171
2023-02-08,60,2,7,0,27,19,722,62,7,111,4,178
2023-02-09,78,1,4,0,29,21,748,79,4,112,4,182
2023-02-10,70,2,2,0,24,17,761,72,2,114,4,184
2023-02-11,66,1,3,0,22,14,751,67,3,115,4,187
2023-02-12,58,0,0,0,20,14,774,58,0,115,4,187
2023-02-13,99,2,3,0,18,15,846,101,3,117,4,190
2023-02-14,75,2,2,0,20,17,839,77,2,119,4,192
2023-02-15,76,0,9,0,26,21,838,76,9,119,4,201
2023-02-16,81,0,4,0,29,23,849,81,4,119,4,205
2023-02-17,95,2,1,0,27,21,869,97,1,121,4,206
