Eerste ziektedag,Onbekend,na 14 juli,op 14 juli of eerder,Meldingsdatum,Infecties
27/04/2022,,0,1,21/07/2022,1
28/04/2022,,0,0,21/07/2022,0
29/04/2022,,0,0,21/07/2022,0
30/04/2022,,0,1,21/07/2022,1
01/05/2022,,0,1,21/07/2022,1
02/05/2022,,0,1,21/07/2022,1
03/05/2022,,0,0,21/07/2022,0
04/05/2022,,0,0,21/07/2022,0
05/05/2022,,0,0,21/07/2022,0
06/05/2022,,0,0,21/07/2022,0
07/05/2022,,0,0,21/07/2022,0
08/05/2022,,0,0,21/07/2022,0
09/05/2022,,0,0,21/07/2022,0
10/05/2022,,0,0,21/07/2022,0
11/05/2022,,0,0,21/07/2022,0
12/05/2022,,0,1,21/07/2022,1
13/05/2022,,0,0,21/07/2022,0
14/05/2022,,0,1,21/07/2022,1
15/05/2022,,0,2,21/07/2022,2
16/05/2022,,0,6,21/07/2022,6
17/05/2022,,0,4,21/07/2022,4
18/05/2022,,0,3,21/07/2022,3
19/05/2022,,0,1,21/07/2022,1
20/05/2022,,0,5,21/07/2022,5
21/05/2022,,0,7,21/07/2022,7
22/05/2022,,0,1,21/07/2022,1
23/05/2022,,0,0,21/07/2022,0
24/05/2022,,0,2,21/07/2022,2
25/05/2022,,0,6,21/07/2022,6
26/05/2022,,0,3,21/07/2022,3
27/05/2022,1,0,3,21/07/2022,4
28/05/2022,,0,8,21/07/2022,8
29/05/2022,,0,8,21/07/2022,8
30/05/2022,,0,4,21/07/2022,4
31/05/2022,,0,3,21/07/2022,3
01/06/2022,,0,5,21/07/2022,5
02/06/2022,,0,5,21/07/2022,5
03/06/2022,,0,10,21/07/2022,10
04/06/2022,,0,4,21/07/2022,4
05/06/2022,,0,9,21/07/2022,9
06/06/2022,,0,7,21/07/2022,7
07/06/2022,,0,9,21/07/2022,9
08/06/2022,,0,11,21/07/2022,11
09/06/2022,,0,13,21/07/2022,13
10/06/2022,,0,6,21/07/2022,6
11/06/2022,,0,5,21/07/2022,5
12/06/2022,,0,18,21/07/2022,18
13/06/2022,,0,12,21/07/2022,12
14/06/2022,,0,15,21/07/2022,15
15/06/2022,,1,9,21/07/2022,10
16/06/2022,,0,12,21/07/2022,12
17/06/2022,,0,14,21/07/2022,14
18/06/2022,,1,16,21/07/2022,17
19/06/2022,,0,12,21/07/2022,12
20/06/2022,,0,32,21/07/2022,32
21/06/2022,,0,17,21/07/2022,17
22/06/2022,,0,21,21/07/2022,21
23/06/2022,,1,13,21/07/2022,14
24/06/2022,,0,13,21/07/2022,13
25/06/2022,,1,19,21/07/2022,20
26/06/2022,,0,12,21/07/2022,12
27/06/2022,,0,20,21/07/2022,20
28/06/2022,,0,12,21/07/2022,12
29/06/2022,,0,25,21/07/2022,25
30/06/2022,,0,24,21/07/2022,24
01/07/2022,,0,20,21/07/2022,20
02/07/2022,,0,13,21/07/2022,13
03/07/2022,,1,14,21/07/2022,15
04/07/2022,,0,18,21/07/2022,18
05/07/2022,,2,22,21/07/2022,24
06/07/2022,,0,21,21/07/2022,21
07/07/2022,,2,18,21/07/2022,20
08/07/2022,,17,15,21/07/2022,32
09/07/2022,,8,7,21/07/2022,15
10/07/2022,,5,11,21/07/2022,16
11/07/2022,,16,2,21/07/2022,18
12/07/2022,,7,4,21/07/2022,11
13/07/2022,,5,2,21/07/2022,7
14/07/2022,,2,1,21/07/2022,3
15/07/2022,,3,0,21/07/2022,3
16/07/2022,,1,0,21/07/2022,1
