Eerste ziektedag,Onbekend,na 25 juli,op 25 juli of eerder,Meldingsdatum,Infecties
27/04/2022,,0,1,01/08/2022,1
28/04/2022,,0,0,01/08/2022,0
29/04/2022,,0,0,01/08/2022,0
30/04/2022,,0,1,01/08/2022,1
01/05/2022,,0,1,01/08/2022,1
02/05/2022,,0,1,01/08/2022,1
03/05/2022,,0,0,01/08/2022,0
04/05/2022,,0,0,01/08/2022,0
05/05/2022,,0,0,01/08/2022,0
06/05/2022,,0,0,01/08/2022,0
07/05/2022,,0,0,01/08/2022,0
08/05/2022,,0,0,01/08/2022,0
09/05/2022,,0,0,01/08/2022,0
10/05/2022,,0,0,01/08/2022,0
11/05/2022,,0,0,01/08/2022,0
12/05/2022,,0,1,01/08/2022,1
13/05/2022,,0,0,01/08/2022,0
14/05/2022,,0,1,01/08/2022,1
15/05/2022,,0,2,01/08/2022,2
16/05/2022,,0,6,01/08/2022,6
17/05/2022,,0,4,01/08/2022,4
18/05/2022,,0,3,01/08/2022,3
19/05/2022,,0,1,01/08/2022,1
20/05/2022,,0,5,01/08/2022,5
21/05/2022,,0,7,01/08/2022,7
22/05/2022,,0,1,01/08/2022,1
23/05/2022,,0,0,01/08/2022,0
24/05/2022,,0,2,01/08/2022,2
25/05/2022,,0,6,01/08/2022,6
26/05/2022,,0,3,01/08/2022,3
27/05/2022,1,0,3,01/08/2022,4
28/05/2022,,0,8,01/08/2022,8
29/05/2022,,0,8,01/08/2022,8
30/05/2022,,0,4,01/08/2022,4
31/05/2022,,0,3,01/08/2022,3
01/06/2022,,0,5,01/08/2022,5
02/06/2022,,0,5,01/08/2022,5
03/06/2022,,0,10,01/08/2022,10
04/06/2022,,0,4,01/08/2022,4
05/06/2022,,0,9,01/08/2022,9
06/06/2022,,0,7,01/08/2022,7
07/06/2022,,0,9,01/08/2022,9
08/06/2022,,0,11,01/08/2022,11
09/06/2022,,0,13,01/08/2022,13
10/06/2022,,0,6,01/08/2022,6
11/06/2022,,0,5,01/08/2022,5
12/06/2022,,0,18,01/08/2022,18
13/06/2022,,0,12,01/08/2022,12
14/06/2022,,0,15,01/08/2022,15
15/06/2022,,0,10,01/08/2022,10
16/06/2022,,0,11,01/08/2022,11
17/06/2022,,0,14,01/08/2022,14
18/06/2022,,0,16,01/08/2022,16
19/06/2022,,0,12,01/08/2022,12
20/06/2022,,0,32,01/08/2022,32
21/06/2022,,0,18,01/08/2022,18
22/06/2022,,0,22,01/08/2022,22
23/06/2022,,0,15,01/08/2022,15
24/06/2022,,0,14,01/08/2022,14
25/06/2022,,0,21,01/08/2022,21
26/06/2022,,0,12,01/08/2022,12
27/06/2022,,0,20,01/08/2022,20
28/06/2022,,0,14,01/08/2022,14
29/06/2022,,0,26,01/08/2022,26
30/06/2022,,0,28,01/08/2022,28
01/07/2022,,0,23,01/08/2022,23
02/07/2022,,0,14,01/08/2022,14
03/07/2022,,0,16,01/08/2022,16
04/07/2022,,0,20,01/08/2022,20
05/07/2022,,0,21,01/08/2022,21
06/07/2022,,0,26,01/08/2022,26
07/07/2022,,0,25,01/08/2022,25
08/07/2022,,0,29,01/08/2022,29
09/07/2022,,0,21,01/08/2022,21
10/07/2022,,0,22,01/08/2022,22
11/07/2022,,1,24,01/08/2022,25
12/07/2022,,0,18,01/08/2022,18
13/07/2022,,0,20,01/08/2022,20
14/07/2022,,0,19,01/08/2022,19
15/07/2022,,1,23,01/08/2022,24
16/07/2022,,1,15,01/08/2022,16
17/07/2022,,2,9,01/08/2022,11
18/07/2022,,0,18,01/08/2022,18
19/07/2022,,2,9,01/08/2022,11
20/07/2022,,5,7,01/08/2022,12
21/07/2022,,3,4,01/08/2022,7
22/07/2022,,4,8,01/08/2022,12
23/07/2022,,2,3,01/08/2022,5
24/07/2022,,5,1,01/08/2022,6
25/07/2022,,9,1,01/08/2022,10
26/07/2022,,4,0,01/08/2022,4
27/07/2022,,2,0,01/08/2022,2
28/07/2022,,1,0,01/08/2022,1
29/07/2022,,1,0,01/08/2022,1
