Eerste ziektedag,Onbekend,na 21 juli,op 21 juli of eerder,Meldingsdatum,Infecties
27/04/2022,,0,1,28/07/2022,1
28/04/2022,,0,0,28/07/2022,0
29/04/2022,,0,0,28/07/2022,0
30/04/2022,,0,1,28/07/2022,1
01/05/2022,,0,1,28/07/2022,1
02/05/2022,,0,1,28/07/2022,1
03/05/2022,,0,0,28/07/2022,0
04/05/2022,,0,0,28/07/2022,0
05/05/2022,,0,0,28/07/2022,0
06/05/2022,,0,0,28/07/2022,0
07/05/2022,,0,0,28/07/2022,0
08/05/2022,,0,0,28/07/2022,0
09/05/2022,,0,0,28/07/2022,0
10/05/2022,,0,0,28/07/2022,0
11/05/2022,,0,0,28/07/2022,0
12/05/2022,,0,1,28/07/2022,1
13/05/2022,,0,0,28/07/2022,0
14/05/2022,,0,1,28/07/2022,1
15/05/2022,,0,2,28/07/2022,2
16/05/2022,,0,6,28/07/2022,6
17/05/2022,,0,4,28/07/2022,4
18/05/2022,,0,3,28/07/2022,3
19/05/2022,,0,1,28/07/2022,1
20/05/2022,,0,5,28/07/2022,5
21/05/2022,,0,7,28/07/2022,7
22/05/2022,,0,1,28/07/2022,1
23/05/2022,,0,0,28/07/2022,0
24/05/2022,,0,2,28/07/2022,2
25/05/2022,,0,6,28/07/2022,6
26/05/2022,,0,3,28/07/2022,3
27/05/2022,1,0,3,28/07/2022,4
28/05/2022,,0,8,28/07/2022,8
29/05/2022,,0,8,28/07/2022,8
30/05/2022,,0,4,28/07/2022,4
31/05/2022,,0,3,28/07/2022,3
01/06/2022,,0,5,28/07/2022,5
02/06/2022,,0,5,28/07/2022,5
03/06/2022,,0,10,28/07/2022,10
04/06/2022,,0,4,28/07/2022,4
05/06/2022,,0,9,28/07/2022,9
06/06/2022,,0,7,28/07/2022,7
07/06/2022,,0,9,28/07/2022,9
08/06/2022,,0,11,28/07/2022,11
09/06/2022,,0,13,28/07/2022,13
10/06/2022,,0,6,28/07/2022,6
11/06/2022,,0,5,28/07/2022,5
12/06/2022,,0,18,28/07/2022,18
13/06/2022,,0,12,28/07/2022,12
14/06/2022,,0,15,28/07/2022,15
15/06/2022,,0,10,28/07/2022,10
16/06/2022,,0,12,28/07/2022,12
17/06/2022,,0,14,28/07/2022,14
18/06/2022,,0,16,28/07/2022,16
19/06/2022,,0,12,28/07/2022,12
20/06/2022,,0,32,28/07/2022,32
21/06/2022,,0,18,28/07/2022,18
22/06/2022,,0,21,28/07/2022,21
23/06/2022,,0,15,28/07/2022,15
24/06/2022,,0,14,28/07/2022,14
25/06/2022,,0,21,28/07/2022,21
26/06/2022,,0,12,28/07/2022,12
27/06/2022,,0,20,28/07/2022,20
28/06/2022,,0,14,28/07/2022,14
29/06/2022,,0,26,28/07/2022,26
30/06/2022,,0,28,28/07/2022,28
01/07/2022,,0,22,28/07/2022,22
02/07/2022,,0,13,28/07/2022,13
03/07/2022,,0,15,28/07/2022,15
04/07/2022,,0,19,28/07/2022,19
05/07/2022,,0,21,28/07/2022,21
06/07/2022,,0,25,28/07/2022,25
07/07/2022,,0,25,28/07/2022,25
08/07/2022,,0,27,28/07/2022,27
09/07/2022,,0,21,28/07/2022,21
10/07/2022,,1,22,28/07/2022,23
11/07/2022,,1,27,28/07/2022,28
12/07/2022,,1,14,28/07/2022,15
13/07/2022,,1,19,28/07/2022,20
14/07/2022,,1,25,28/07/2022,26
15/07/2022,,7,13,28/07/2022,20
16/07/2022,,2,9,28/07/2022,11
17/07/2022,,5,4,28/07/2022,9
18/07/2022,,15,4,28/07/2022,19
19/07/2022,,11,3,28/07/2022,14
20/07/2022,,5,1,28/07/2022,6
21/07/2022,,1,0,28/07/2022,1
22/07/2022,,6,0,28/07/2022,6
23/07/2022,,1,0,28/07/2022,1
24/07/2022,,3,0,28/07/2022,3
25/07/2022,,1,0,28/07/2022,1
