Eerste ziektedag,Onbekend,na 25 juli,op 25 juli of eerder,Meldingsdatum,Infecties
27/04/2022,0,0,1,04/08/2022,1
28/04/2022,0,0,0,04/08/2022,0
29/04/2022,0,0,0,04/08/2022,0
30/04/2022,0,0,1,04/08/2022,1
01/05/2022,0,0,1,04/08/2022,1
02/05/2022,0,0,1,04/08/2022,1
03/05/2022,0,0,0,04/08/2022,0
04/05/2022,0,0,0,04/08/2022,0
05/05/2022,0,0,0,04/08/2022,0
06/05/2022,0,0,0,04/08/2022,0
07/05/2022,0,0,0,04/08/2022,0
08/05/2022,0,0,0,04/08/2022,0
09/05/2022,0,0,0,04/08/2022,0
10/05/2022,0,0,0,04/08/2022,0
11/05/2022,0,0,0,04/08/2022,0
12/05/2022,0,0,1,04/08/2022,1
13/05/2022,0,0,0,04/08/2022,0
14/05/2022,0,0,1,04/08/2022,1
15/05/2022,0,0,2,04/08/2022,2
16/05/2022,0,0,6,04/08/2022,6
17/05/2022,0,0,4,04/08/2022,4
18/05/2022,0,0,3,04/08/2022,3
19/05/2022,0,0,1,04/08/2022,1
20/05/2022,0,0,5,04/08/2022,5
21/05/2022,0,0,7,04/08/2022,7
22/05/2022,0,0,1,04/08/2022,1
23/05/2022,0,0,0,04/08/2022,0
24/05/2022,0,0,2,04/08/2022,2
25/05/2022,0,0,6,04/08/2022,6
26/05/2022,0,0,2,04/08/2022,2
27/05/2022,1,0,3,04/08/2022,4
28/05/2022,0,0,8,04/08/2022,8
29/05/2022,0,0,8,04/08/2022,8
30/05/2022,0,0,4,04/08/2022,4
31/05/2022,0,0,3,04/08/2022,3
01/06/2022,0,0,5,04/08/2022,5
02/06/2022,0,0,5,04/08/2022,5
03/06/2022,0,0,10,04/08/2022,10
04/06/2022,0,0,4,04/08/2022,4
05/06/2022,0,0,9,04/08/2022,9
06/06/2022,0,0,7,04/08/2022,7
07/06/2022,0,0,9,04/08/2022,9
08/06/2022,0,0,11,04/08/2022,11
09/06/2022,0,0,13,04/08/2022,13
10/06/2022,0,0,6,04/08/2022,6
11/06/2022,0,0,5,04/08/2022,5
12/06/2022,0,0,18,04/08/2022,18
13/06/2022,0,0,12,04/08/2022,12
14/06/2022,0,0,15,04/08/2022,15
15/06/2022,0,0,10,04/08/2022,10
16/06/2022,0,0,11,04/08/2022,11
17/06/2022,0,0,14,04/08/2022,14
18/06/2022,0,0,16,04/08/2022,16
19/06/2022,0,0,12,04/08/2022,12
20/06/2022,0,0,32,04/08/2022,32
21/06/2022,0,0,18,04/08/2022,18
22/06/2022,0,0,22,04/08/2022,22
23/06/2022,0,0,15,04/08/2022,15
24/06/2022,0,0,14,04/08/2022,14
25/06/2022,0,0,21,04/08/2022,21
26/06/2022,0,0,12,04/08/2022,12
27/06/2022,0,0,20,04/08/2022,20
28/06/2022,0,0,14,04/08/2022,14
29/06/2022,0,0,26,04/08/2022,26
30/06/2022,0,0,28,04/08/2022,28
01/07/2022,0,0,23,04/08/2022,23
02/07/2022,0,0,14,04/08/2022,14
03/07/2022,0,0,16,04/08/2022,16
04/07/2022,0,0,20,04/08/2022,20
05/07/2022,0,0,21,04/08/2022,21
06/07/2022,0,0,27,04/08/2022,27
07/07/2022,0,1,25,04/08/2022,26
08/07/2022,0,0,29,04/08/2022,29
09/07/2022,0,0,21,04/08/2022,21
10/07/2022,0,0,22,04/08/2022,22
11/07/2022,0,0,26,04/08/2022,26
12/07/2022,0,0,18,04/08/2022,18
13/07/2022,0,0,21,04/08/2022,21
14/07/2022,0,0,19,04/08/2022,19
15/07/2022,0,1,22,04/08/2022,23
16/07/2022,0,0,17,04/08/2022,17
17/07/2022,0,0,12,04/08/2022,12
18/07/2022,0,0,18,04/08/2022,18
19/07/2022,0,1,11,04/08/2022,12
20/07/2022,0,0,12,04/08/2022,12
21/07/2022,0,1,7,04/08/2022,8
22/07/2022,0,1,10,04/08/2022,11
23/07/2022,0,4,5,04/08/2022,9
24/07/2022,0,0,7,04/08/2022,7
25/07/2022,0,9,7,04/08/2022,16
26/07/2022,0,7,1,04/08/2022,8
27/07/2022,0,0,2,04/08/2022,2
28/07/2022,0,6,0,04/08/2022,6
29/07/2022,0,1,1,04/08/2022,2
30/07/2022,0,2,0,04/08/2022,2
31/07/2022,0,1,0,04/08/2022,1
01/08/2022,0,1,0,04/08/2022,1
