Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0098,Weststellingwerf,2004-2009,49,38,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0106,Assen,<=2009,82,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0106,Assen,<2004,84,76,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0106,Assen,2004-2009,60,47,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0109,Coevorden,<=2009,84,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0109,Coevorden,<2004,86,76,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0109,Coevorden,2004-2009,58,47,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0114,Emmen,<=2009,81,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0114,Emmen,<2004,83,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0114,Emmen,2004-2009,55,42,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0118,Hoogeveen,<=2009,76,66,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0118,Hoogeveen,<2004,79,69,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0118,Hoogeveen,2004-2009,44,34,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0119,Meppel,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0119,Meppel,<2004,83,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0119,Meppel,2004-2009,57,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0141,Almelo,<=2009,76,65,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0141,Almelo,<2004,79,68,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0141,Almelo,2004-2009,49,35,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0147,Borne,<=2009,87,75,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0147,Borne,<2004,89,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0147,Borne,2004-2009,63,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0148,Dalfsen,<=2009,85,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0148,Dalfsen,<2004,87,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0148,Dalfsen,2004-2009,63,50,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0150,Deventer,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0150,Deventer,<2004,83,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0150,Deventer,2004-2009,59,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0153,Enschede,<=2009,75,64,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0153,Enschede,<2004,77,66,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0153,Enschede,2004-2009,45,32,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0158,Haaksbergen,<=2009,85,73,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0158,Haaksbergen,<2004,87,76,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0158,Haaksbergen,2004-2009,61,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0160,Hardenberg,<=2009,83,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0160,Hardenberg,<2004,85,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0160,Hardenberg,2004-2009,56,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0163,Hellendoorn,<=2009,86,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0163,Hellendoorn,<2004,88,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0163,Hellendoorn,2004-2009,65,46,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0164,Hengelo (O.),<=2009,80,69,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0164,Hengelo (O.),<2004,82,72,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0164,Hengelo (O.),2004-2009,55,39,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0166,Kampen,<=2009,75,65,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0166,Kampen,<2004,78,68,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0166,Kampen,2004-2009,44,30,12-17
