Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
2,2022-02-02T10:30:00Z,2022-01-24,63,Gemeente,GM0096,Vlieland,2004-2009,86,84,12-17
2,2022-02-02T10:30:00Z,2022-01-24,23380,Gemeente,GM0098,Weststellingwerf,<=2009,83,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,21642,Gemeente,GM0098,Weststellingwerf,<2004,84,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,1738,Gemeente,GM0098,Weststellingwerf,2004-2009,69,67,12-17
2,2022-02-02T10:30:00Z,2022-01-24,61263,Gemeente,GM0106,Assen,<=2009,86,85,12+
2,2022-02-02T10:30:00Z,2022-01-24,56161,Gemeente,GM0106,Assen,<2004,87,86,18+
2,2022-02-02T10:30:00Z,2022-01-24,5102,Gemeente,GM0106,Assen,2004-2009,77,76,12-17
2,2022-02-02T10:30:00Z,2022-01-24,31733,Gemeente,GM0109,Coevorden,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,29358,Gemeente,GM0109,Coevorden,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,2375,Gemeente,GM0109,Coevorden,2004-2009,77,75,12-17
2,2022-02-02T10:30:00Z,2022-01-24,96380,Gemeente,GM0114,Emmen,<=2009,86,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,89272,Gemeente,GM0114,Emmen,<2004,87,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,7108,Gemeente,GM0114,Emmen,2004-2009,74,72,12-17
2,2022-02-02T10:30:00Z,2022-01-24,49213,Gemeente,GM0118,Hoogeveen,<=2009,82,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,45172,Gemeente,GM0118,Hoogeveen,<2004,84,82,18+
2,2022-02-02T10:30:00Z,2022-01-24,4041,Gemeente,GM0118,Hoogeveen,2004-2009,64,63,12-17
2,2022-02-02T10:30:00Z,2022-01-24,30559,Gemeente,GM0119,Meppel,<=2009,87,86,12+
2,2022-02-02T10:30:00Z,2022-01-24,27925,Gemeente,GM0119,Meppel,<2004,88,87,18+
2,2022-02-02T10:30:00Z,2022-01-24,2634,Gemeente,GM0119,Meppel,2004-2009,76,74,12-17
2,2022-02-02T10:30:00Z,2022-01-24,65059,Gemeente,GM0141,Almelo,<=2009,81,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,59818,Gemeente,GM0141,Almelo,<2004,83,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,5241,Gemeente,GM0141,Almelo,2004-2009,67,66,12-17
2,2022-02-02T10:30:00Z,2022-01-24,20721,Gemeente,GM0147,Borne,<=2009,91,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,19027,Gemeente,GM0147,Borne,<2004,92,91,18+
2,2022-02-02T10:30:00Z,2022-01-24,1694,Gemeente,GM0147,Borne,2004-2009,81,79,12-17
2,2022-02-02T10:30:00Z,2022-01-24,25473,Gemeente,GM0148,Dalfsen,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,23309,Gemeente,GM0148,Dalfsen,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,2164,Gemeente,GM0148,Dalfsen,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,89859,Gemeente,GM0150,Deventer,<=2009,86,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,82804,Gemeente,GM0150,Deventer,<2004,87,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,7055,Gemeente,GM0150,Deventer,2004-2009,74,73,12-17
2,2022-02-02T10:30:00Z,2022-01-24,142942,Gemeente,GM0153,Enschede,<=2009,80,79,12+
2,2022-02-02T10:30:00Z,2022-01-24,132879,Gemeente,GM0153,Enschede,<2004,81,80,18+
2,2022-02-02T10:30:00Z,2022-01-24,10063,Gemeente,GM0153,Enschede,2004-2009,64,62,12-17
2,2022-02-02T10:30:00Z,2022-01-24,21767,Gemeente,GM0158,Haaksbergen,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,20025,Gemeente,GM0158,Haaksbergen,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,1742,Gemeente,GM0158,Haaksbergen,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,53914,Gemeente,GM0160,Hardenberg,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,49256,Gemeente,GM0160,Hardenberg,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,4658,Gemeente,GM0160,Hardenberg,2004-2009,76,75,12-17
