Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,<=2010,84,82,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,<2005,86,84,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0114,Emmen,2005-2010,61,57,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,<=2010,80,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0118,Hoogeveen,2005-2010,54,52,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,<2005,86,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0119,Meppel,2005-2010,65,62,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,<=2010,80,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0141,Almelo,2005-2010,56,55,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,<=2010,89,88,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,<2005,90,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0147,Borne,2005-2010,69,67,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0148,Dalfsen,2005-2010,68,66,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,<2005,86,85,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0150,Deventer,2005-2010,64,61,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,<=2010,78,77,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,<2005,80,79,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0153,Enschede,2005-2010,54,52,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0158,Haaksbergen,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0158,Haaksbergen,<2005,89,88,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0158,Haaksbergen,2005-2010,71,69,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0160,Hardenberg,<=2010,86,85,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0160,Hardenberg,<2005,88,87,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0160,Hardenberg,2005-2010,64,62,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0163,Hellendoorn,<=2010,89,88,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0163,Hellendoorn,<2005,91,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0163,Hellendoorn,2005-2010,70,69,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0164,Hengelo,<=2010,83,82,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0164,Hengelo,<2005,85,84,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0164,Hengelo,2005-2010,61,60,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0166,Kampen,<=2010,79,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0166,Kampen,<2005,82,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0166,Kampen,2005-2010,54,52,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0168,Losser,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0168,Losser,<2005,89,88,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0168,Losser,2005-2010,68,67,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0171,Noordoostpolder,<=2010,76,75,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0171,Noordoostpolder,<2005,79,78,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0171,Noordoostpolder,2005-2010,52,50,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0173,Oldenzaal,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0173,Oldenzaal,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0173,Oldenzaal,2005-2010,69,67,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0175,Ommen,<=2010,86,85,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0175,Ommen,<2005,87,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0175,Ommen,2005-2010,66,65,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0177,Raalte,<=2010,92,91,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0177,Raalte,<2005,93,92,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0177,Raalte,2005-2010,74,72,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0180,Staphorst,<=2010,56,55,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0180,Staphorst,<2005,60,59,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0180,Staphorst,2005-2010,28,26,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0183,Tubbergen,<=2010,90,89,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0183,Tubbergen,<2005,92,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0183,Tubbergen,2005-2010,72,71,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0184,Urk,<=2010,30,30,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0184,Urk,<2005,34,33,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0184,Urk,2005-2010,9,9,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0189,Wierden,<=2010,88,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0189,Wierden,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0189,Wierden,2005-2010,67,65,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0193,Zwolle,<=2010,85,84,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0193,Zwolle,<2005,87,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0193,Zwolle,2005-2010,65,63,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0197,Aalten,<=2010,89,87,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0197,Aalten,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0197,Aalten,2005-2010,72,68,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0200,Apeldoorn,<=2010,83,81,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0200,Apeldoorn,<2005,84,83,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0200,Apeldoorn,2005-2010,61,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0202,Arnhem,<=2010,79,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0202,Arnhem,<2005,81,80,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0202,Arnhem,2005-2010,57,55,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0203,Barneveld,<=2010,68,67,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0203,Barneveld,<2005,71,70,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0203,Barneveld,2005-2010,39,38,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0209,Beuningen,<=2010,90,89,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0209,Beuningen,<2005,91,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0209,Beuningen,2005-2010,73,70,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0213,Brummen,<=2010,87,86,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0213,Brummen,<2005,89,88,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0213,Brummen,2005-2010,67,62,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0214,Buren,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0214,Buren,<2005,86,85,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0214,Buren,2005-2010,61,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0216,Culemborg,<=2010,84,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0216,Culemborg,<2005,86,85,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0216,Culemborg,2005-2010,61,59,12-17
