Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-08-10T10:30:00Z,2022-08-01,31894,Gemeente,GM0109,Coevorden,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,29518,Gemeente,GM0109,Coevorden,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,2376,Gemeente,GM0109,Coevorden,2005-2010,64,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,97292,Gemeente,GM0114,Emmen,<=2010,84,82,12+
4,2022-08-10T10:30:00Z,2022-08-01,90203,Gemeente,GM0114,Emmen,<2005,85,84,18+
4,2022-08-10T10:30:00Z,2022-08-01,7089,Gemeente,GM0114,Emmen,2005-2010,61,58,12-17
4,2022-08-10T10:30:00Z,2022-08-01,49605,Gemeente,GM0118,Hoogeveen,<=2010,80,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,45533,Gemeente,GM0118,Hoogeveen,<2005,82,81,18+
4,2022-08-10T10:30:00Z,2022-08-01,4072,Gemeente,GM0118,Hoogeveen,2005-2010,54,52,12-17
4,2022-08-10T10:30:00Z,2022-08-01,31058,Gemeente,GM0119,Meppel,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,28424,Gemeente,GM0119,Meppel,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,2634,Gemeente,GM0119,Meppel,2005-2010,65,62,12-17
4,2022-08-10T10:30:00Z,2022-08-01,65425,Gemeente,GM0141,Almelo,<=2010,80,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,60171,Gemeente,GM0141,Almelo,<2005,82,80,18+
4,2022-08-10T10:30:00Z,2022-08-01,5254,Gemeente,GM0141,Almelo,2005-2010,57,55,12-17
4,2022-08-10T10:30:00Z,2022-08-01,21118,Gemeente,GM0147,Borne,<=2010,89,88,12+
4,2022-08-10T10:30:00Z,2022-08-01,19407,Gemeente,GM0147,Borne,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,1711,Gemeente,GM0147,Borne,2005-2010,69,67,12-17
4,2022-08-10T10:30:00Z,2022-08-01,25751,Gemeente,GM0148,Dalfsen,<=2010,88,87,12+
