Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-07-27T10:30:00Z,2022-07-18,213606,Gemeente,GM0014,Groningen,<=2010,82,81,12+
4,2022-07-27T10:30:00Z,2022-07-18,201972,Gemeente,GM0014,Groningen,<2005,84,82,18+
4,2022-07-27T10:30:00Z,2022-07-18,11634,Gemeente,GM0014,Groningen,2005-2010,65,61,12-17
4,2022-07-27T10:30:00Z,2022-07-18,188761,Gemeente,GM0034,Almere,<=2010,74,73,12+
4,2022-07-27T10:30:00Z,2022-07-18,172374,Gemeente,GM0034,Almere,<2005,77,76,18+
4,2022-07-27T10:30:00Z,2022-07-18,16387,Gemeente,GM0034,Almere,2005-2010,48,46,12-17
4,2022-07-27T10:30:00Z,2022-07-18,28618,Gemeente,GM0037,Stadskanaal,<=2010,82,80,12+
4,2022-07-27T10:30:00Z,2022-07-18,26585,Gemeente,GM0037,Stadskanaal,<2005,84,83,18+
4,2022-07-27T10:30:00Z,2022-07-18,2033,Gemeente,GM0037,Stadskanaal,2005-2010,56,52,12-17
4,2022-07-27T10:30:00Z,2022-07-18,24666,Gemeente,GM0047,Veendam,<=2010,83,82,12+
4,2022-07-27T10:30:00Z,2022-07-18,22736,Gemeente,GM0047,Veendam,<2005,85,84,18+
4,2022-07-27T10:30:00Z,2022-07-18,1930,Gemeente,GM0047,Veendam,2005-2010,61,60,12-17
4,2022-07-27T10:30:00Z,2022-07-18,20561,Gemeente,GM0050,Zeewolde,<=2010,79,78,12+
4,2022-07-27T10:30:00Z,2022-07-18,18842,Gemeente,GM0050,Zeewolde,<2005,81,80,18+
4,2022-07-27T10:30:00Z,2022-07-18,1719,Gemeente,GM0050,Zeewolde,2005-2010,59,57,12-17
4,2022-07-27T10:30:00Z,2022-07-18,24614,Gemeente,GM0059,Achtkarspelen,<=2010,75,74,12+
4,2022-07-27T10:30:00Z,2022-07-18,22402,Gemeente,GM0059,Achtkarspelen,<2005,78,77,18+
4,2022-07-27T10:30:00Z,2022-07-18,2212,Gemeente,GM0059,Achtkarspelen,2005-2010,45,44,12-17
4,2022-07-27T10:30:00Z,2022-07-18,3421,Gemeente,GM0060,Ameland,<=2010,89,87,12+
4,2022-07-27T10:30:00Z,2022-07-18,3163,Gemeente,GM0060,Ameland,<2005,90,89,18+
4,2022-07-27T10:30:00Z,2022-07-18,258,Gemeente,GM0060,Ameland,2005-2010,74,71,12-17
4,2022-07-27T10:30:00Z,2022-07-18,14397,Gemeente,GM0072,Harlingen,<=2010,83,81,12+
4,2022-07-27T10:30:00Z,2022-07-18,13279,Gemeente,GM0072,Harlingen,<2005,84,83,18+
4,2022-07-27T10:30:00Z,2022-07-18,1118,Gemeente,GM0072,Harlingen,2005-2010,60,59,12-17
4,2022-07-27T10:30:00Z,2022-07-18,45450,Gemeente,GM0074,Heerenveen,<=2010,83,81,12+
4,2022-07-27T10:30:00Z,2022-07-18,41817,Gemeente,GM0074,Heerenveen,<2005,84,83,18+
4,2022-07-27T10:30:00Z,2022-07-18,3633,Gemeente,GM0074,Heerenveen,2005-2010,61,59,12-17
4,2022-07-27T10:30:00Z,2022-07-18,112277,Gemeente,GM0080,Leeuwarden,<=2010,80,78,12+
4,2022-07-27T10:30:00Z,2022-07-18,104420,Gemeente,GM0080,Leeuwarden,<2005,81,80,18+
4,2022-07-27T10:30:00Z,2022-07-18,7857,Gemeente,GM0080,Leeuwarden,2005-2010,56,54,12-17
4,2022-07-27T10:30:00Z,2022-07-18,23089,Gemeente,GM0085,Ooststellingwerf,<=2010,82,81,12+
