Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-07-13T10:30:00Z,2022-07-04,213606,Gemeente,GM0014,Groningen,<=2010,83,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,201972,Gemeente,GM0014,Groningen,<2005,84,82,18+
4,2022-07-13T10:30:00Z,2022-07-04,11634,Gemeente,GM0014,Groningen,2005-2010,65,60,12-17
4,2022-07-13T10:30:00Z,2022-07-04,188761,Gemeente,GM0034,Almere,<=2010,74,73,12+
4,2022-07-13T10:30:00Z,2022-07-04,172374,Gemeente,GM0034,Almere,<2005,77,76,18+
4,2022-07-13T10:30:00Z,2022-07-04,16387,Gemeente,GM0034,Almere,2005-2010,48,46,12-17
4,2022-07-13T10:30:00Z,2022-07-04,28618,Gemeente,GM0037,Stadskanaal,<=2010,82,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,26585,Gemeente,GM0037,Stadskanaal,<2005,84,83,18+
4,2022-07-13T10:30:00Z,2022-07-04,2033,Gemeente,GM0037,Stadskanaal,2005-2010,56,52,12-17
4,2022-07-13T10:30:00Z,2022-07-04,24666,Gemeente,GM0047,Veendam,<=2010,83,82,12+
4,2022-07-13T10:30:00Z,2022-07-04,22736,Gemeente,GM0047,Veendam,<2005,85,84,18+
4,2022-07-13T10:30:00Z,2022-07-04,1930,Gemeente,GM0047,Veendam,2005-2010,61,60,12-17
4,2022-07-13T10:30:00Z,2022-07-04,20561,Gemeente,GM0050,Zeewolde,<=2010,80,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,18842,Gemeente,GM0050,Zeewolde,<2005,81,80,18+
4,2022-07-13T10:30:00Z,2022-07-04,1719,Gemeente,GM0050,Zeewolde,2005-2010,59,57,12-17
4,2022-07-13T10:30:00Z,2022-07-04,24614,Gemeente,GM0059,Achtkarspelen,<=2010,75,74,12+
4,2022-07-13T10:30:00Z,2022-07-04,22402,Gemeente,GM0059,Achtkarspelen,<2005,78,77,18+
4,2022-07-13T10:30:00Z,2022-07-04,2212,Gemeente,GM0059,Achtkarspelen,2005-2010,45,44,12-17
4,2022-07-13T10:30:00Z,2022-07-04,3421,Gemeente,GM0060,Ameland,<=2010,89,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,3163,Gemeente,GM0060,Ameland,<2005,90,89,18+
4,2022-07-13T10:30:00Z,2022-07-04,258,Gemeente,GM0060,Ameland,2005-2010,73,70,12-17
4,2022-07-13T10:30:00Z,2022-07-04,14397,Gemeente,GM0072,Harlingen,<=2010,83,82,12+
4,2022-07-13T10:30:00Z,2022-07-04,13279,Gemeente,GM0072,Harlingen,<2005,85,84,18+
4,2022-07-13T10:30:00Z,2022-07-04,1118,Gemeente,GM0072,Harlingen,2005-2010,61,59,12-17
4,2022-07-13T10:30:00Z,2022-07-04,45450,Gemeente,GM0074,Heerenveen,<=2010,83,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,41817,Gemeente,GM0074,Heerenveen,<2005,84,83,18+
4,2022-07-13T10:30:00Z,2022-07-04,3633,Gemeente,GM0074,Heerenveen,2005-2010,61,59,12-17
4,2022-07-13T10:30:00Z,2022-07-04,112277,Gemeente,GM0080,Leeuwarden,<=2010,80,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,104420,Gemeente,GM0080,Leeuwarden,<2005,82,80,18+
4,2022-07-13T10:30:00Z,2022-07-04,7857,Gemeente,GM0080,Leeuwarden,2005-2010,56,54,12-17
4,2022-07-13T10:30:00Z,2022-07-04,23089,Gemeente,GM0085,Ooststellingwerf,<=2010,82,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,21364,Gemeente,GM0085,Ooststellingwerf,<2005,84,83,18+
4,2022-07-13T10:30:00Z,2022-07-04,1725,Gemeente,GM0085,Ooststellingwerf,2005-2010,58,56,12-17
4,2022-07-13T10:30:00Z,2022-07-04,26542,Gemeente,GM0086,Opsterland,<=2010,81,80,12+
4,2022-07-13T10:30:00Z,2022-07-04,24369,Gemeente,GM0086,Opsterland,<2005,83,82,18+
4,2022-07-13T10:30:00Z,2022-07-04,2173,Gemeente,GM0086,Opsterland,2005-2010,55,53,12-17
4,2022-07-13T10:30:00Z,2022-07-04,913,Gemeente,GM0088,Schiermonnikoog,<=2010,9999,9999,12+
4,2022-07-13T10:30:00Z,2022-07-04,872,Gemeente,GM0088,Schiermonnikoog,<2005,90,90,18+
4,2022-07-13T10:30:00Z,2022-07-04,41,Gemeente,GM0088,Schiermonnikoog,2005-2010,9999,9999,12-17
4,2022-07-13T10:30:00Z,2022-07-04,49463,Gemeente,GM0090,Smallingerland,<=2010,79,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,45412,Gemeente,GM0090,Smallingerland,<2005,81,80,18+
4,2022-07-13T10:30:00Z,2022-07-04,4051,Gemeente,GM0090,Smallingerland,2005-2010,53,51,12-17
4,2022-07-13T10:30:00Z,2022-07-04,4506,Gemeente,GM0093,Terschelling,<=2010,90,89,12+
4,2022-07-13T10:30:00Z,2022-07-04,4253,Gemeente,GM0093,Terschelling,<2005,91,90,18+
4,2022-07-13T10:30:00Z,2022-07-04,253,Gemeente,GM0093,Terschelling,2005-2010,70,65,12-17
4,2022-07-13T10:30:00Z,2022-07-04,1210,Gemeente,GM0096,Vlieland,<=2010,83,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,1149,Gemeente,GM0096,Vlieland,<2005,83,81,18+
4,2022-07-13T10:30:00Z,2022-07-04,61,Gemeente,GM0096,Vlieland,2005-2010,75,72,12-17
4,2022-07-13T10:30:00Z,2022-07-04,23431,Gemeente,GM0098,Weststellingwerf,<=2010,82,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,21688,Gemeente,GM0098,Weststellingwerf,<2005,84,83,18+
4,2022-07-13T10:30:00Z,2022-07-04,1743,Gemeente,GM0098,Weststellingwerf,2005-2010,58,56,12-17
4,2022-07-13T10:30:00Z,2022-07-04,61329,Gemeente,GM0106,Assen,<=2010,85,84,12+
4,2022-07-13T10:30:00Z,2022-07-04,56229,Gemeente,GM0106,Assen,<2005,87,86,18+
4,2022-07-13T10:30:00Z,2022-07-04,5100,Gemeente,GM0106,Assen,2005-2010,66,64,12-17
4,2022-07-13T10:30:00Z,2022-07-04,31894,Gemeente,GM0109,Coevorden,<=2010,86,85,12+
4,2022-07-13T10:30:00Z,2022-07-04,29518,Gemeente,GM0109,Coevorden,<2005,88,87,18+
4,2022-07-13T10:30:00Z,2022-07-04,2376,Gemeente,GM0109,Coevorden,2005-2010,64,61,12-17
4,2022-07-13T10:30:00Z,2022-07-04,97292,Gemeente,GM0114,Emmen,<=2010,84,82,12+
4,2022-07-13T10:30:00Z,2022-07-04,90203,Gemeente,GM0114,Emmen,<2005,86,84,18+
4,2022-07-13T10:30:00Z,2022-07-04,7089,Gemeente,GM0114,Emmen,2005-2010,61,57,12-17
4,2022-07-13T10:30:00Z,2022-07-04,49605,Gemeente,GM0118,Hoogeveen,<=2010,80,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,45533,Gemeente,GM0118,Hoogeveen,<2005,82,81,18+
4,2022-07-13T10:30:00Z,2022-07-04,4072,Gemeente,GM0118,Hoogeveen,2005-2010,54,52,12-17
4,2022-07-13T10:30:00Z,2022-07-04,31058,Gemeente,GM0119,Meppel,<=2010,84,83,12+
4,2022-07-13T10:30:00Z,2022-07-04,28424,Gemeente,GM0119,Meppel,<2005,86,85,18+
4,2022-07-13T10:30:00Z,2022-07-04,2634,Gemeente,GM0119,Meppel,2005-2010,65,62,12-17
4,2022-07-13T10:30:00Z,2022-07-04,65425,Gemeente,GM0141,Almelo,<=2010,80,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,60171,Gemeente,GM0141,Almelo,<2005,82,81,18+
4,2022-07-13T10:30:00Z,2022-07-04,5254,Gemeente,GM0141,Almelo,2005-2010,56,55,12-17
4,2022-07-13T10:30:00Z,2022-07-04,21118,Gemeente,GM0147,Borne,<=2010,89,88,12+
4,2022-07-13T10:30:00Z,2022-07-04,19407,Gemeente,GM0147,Borne,<2005,90,90,18+
4,2022-07-13T10:30:00Z,2022-07-04,1711,Gemeente,GM0147,Borne,2005-2010,69,67,12-17
4,2022-07-13T10:30:00Z,2022-07-04,25751,Gemeente,GM0148,Dalfsen,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,23592,Gemeente,GM0148,Dalfsen,<2005,90,89,18+
4,2022-07-13T10:30:00Z,2022-07-04,2159,Gemeente,GM0148,Dalfsen,2005-2010,68,66,12-17
4,2022-07-13T10:30:00Z,2022-07-04,90188,Gemeente,GM0150,Deventer,<=2010,84,83,12+
4,2022-07-13T10:30:00Z,2022-07-04,83078,Gemeente,GM0150,Deventer,<2005,86,85,18+
4,2022-07-13T10:30:00Z,2022-07-04,7110,Gemeente,GM0150,Deventer,2005-2010,64,61,12-17
4,2022-07-13T10:30:00Z,2022-07-04,143473,Gemeente,GM0153,Enschede,<=2010,78,77,12+
4,2022-07-13T10:30:00Z,2022-07-04,133313,Gemeente,GM0153,Enschede,<2005,80,79,18+
4,2022-07-13T10:30:00Z,2022-07-04,10160,Gemeente,GM0153,Enschede,2005-2010,54,52,12-17
4,2022-07-13T10:30:00Z,2022-07-04,21826,Gemeente,GM0158,Haaksbergen,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,20127,Gemeente,GM0158,Haaksbergen,<2005,89,88,18+
4,2022-07-13T10:30:00Z,2022-07-04,1699,Gemeente,GM0158,Haaksbergen,2005-2010,71,69,12-17
4,2022-07-13T10:30:00Z,2022-07-04,54336,Gemeente,GM0160,Hardenberg,<=2010,86,85,12+
4,2022-07-13T10:30:00Z,2022-07-04,49670,Gemeente,GM0160,Hardenberg,<2005,88,87,18+
4,2022-07-13T10:30:00Z,2022-07-04,4666,Gemeente,GM0160,Hardenberg,2005-2010,64,62,12-17
4,2022-07-13T10:30:00Z,2022-07-04,32108,Gemeente,GM0163,Hellendoorn,<=2010,89,88,12+
4,2022-07-13T10:30:00Z,2022-07-04,29481,Gemeente,GM0163,Hellendoorn,<2005,91,90,18+
4,2022-07-13T10:30:00Z,2022-07-04,2627,Gemeente,GM0163,Hellendoorn,2005-2010,70,69,12-17
4,2022-07-13T10:30:00Z,2022-07-04,73523,Gemeente,GM0164,Hengelo,<=2010,83,82,12+
4,2022-07-13T10:30:00Z,2022-07-04,67964,Gemeente,GM0164,Hengelo,<2005,85,84,18+
4,2022-07-13T10:30:00Z,2022-07-04,5559,Gemeente,GM0164,Hengelo,2005-2010,61,60,12-17
4,2022-07-13T10:30:00Z,2022-07-04,47492,Gemeente,GM0166,Kampen,<=2010,79,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,43064,Gemeente,GM0166,Kampen,<2005,82,81,18+
4,2022-07-13T10:30:00Z,2022-07-04,4428,Gemeente,GM0166,Kampen,2005-2010,54,52,12-17
4,2022-07-13T10:30:00Z,2022-07-04,20756,Gemeente,GM0168,Losser,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,19160,Gemeente,GM0168,Losser,<2005,89,88,18+
4,2022-07-13T10:30:00Z,2022-07-04,1596,Gemeente,GM0168,Losser,2005-2010,68,67,12-17
4,2022-07-13T10:30:00Z,2022-07-04,42360,Gemeente,GM0171,Noordoostpolder,<=2010,76,75,12+
4,2022-07-13T10:30:00Z,2022-07-04,38683,Gemeente,GM0171,Noordoostpolder,<2005,79,78,18+
4,2022-07-13T10:30:00Z,2022-07-04,3677,Gemeente,GM0171,Noordoostpolder,2005-2010,52,50,12-17
4,2022-07-13T10:30:00Z,2022-07-04,28533,Gemeente,GM0173,Oldenzaal,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,26087,Gemeente,GM0173,Oldenzaal,<2005,90,89,18+
4,2022-07-13T10:30:00Z,2022-07-04,2446,Gemeente,GM0173,Oldenzaal,2005-2010,69,67,12-17
4,2022-07-13T10:30:00Z,2022-07-04,16500,Gemeente,GM0175,Ommen,<=2010,86,85,12+
4,2022-07-13T10:30:00Z,2022-07-04,15126,Gemeente,GM0175,Ommen,<2005,87,86,18+
4,2022-07-13T10:30:00Z,2022-07-04,1374,Gemeente,GM0175,Ommen,2005-2010,66,65,12-17
4,2022-07-13T10:30:00Z,2022-07-04,33895,Gemeente,GM0177,Raalte,<=2010,92,91,12+
4,2022-07-13T10:30:00Z,2022-07-04,31302,Gemeente,GM0177,Raalte,<2005,93,92,18+
4,2022-07-13T10:30:00Z,2022-07-04,2593,Gemeente,GM0177,Raalte,2005-2010,74,72,12-17
4,2022-07-13T10:30:00Z,2022-07-04,14547,Gemeente,GM0180,Staphorst,<=2010,56,55,12+
4,2022-07-13T10:30:00Z,2022-07-04,12957,Gemeente,GM0180,Staphorst,<2005,60,59,18+
4,2022-07-13T10:30:00Z,2022-07-04,1590,Gemeente,GM0180,Staphorst,2005-2010,28,27,12-17
4,2022-07-13T10:30:00Z,2022-07-04,18998,Gemeente,GM0183,Tubbergen,<=2010,90,89,12+
4,2022-07-13T10:30:00Z,2022-07-04,17417,Gemeente,GM0183,Tubbergen,<2005,92,91,18+
4,2022-07-13T10:30:00Z,2022-07-04,1581,Gemeente,GM0183,Tubbergen,2005-2010,72,71,12-17
4,2022-07-13T10:30:00Z,2022-07-04,17274,Gemeente,GM0184,Urk,<=2010,30,30,12+
4,2022-07-13T10:30:00Z,2022-07-04,14871,Gemeente,GM0184,Urk,<2005,34,33,18+
4,2022-07-13T10:30:00Z,2022-07-04,2403,Gemeente,GM0184,Urk,2005-2010,9,9,12-17
4,2022-07-13T10:30:00Z,2022-07-04,21734,Gemeente,GM0189,Wierden,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,19856,Gemeente,GM0189,Wierden,<2005,90,89,18+
4,2022-07-13T10:30:00Z,2022-07-04,1878,Gemeente,GM0189,Wierden,2005-2010,67,65,12-17
4,2022-07-13T10:30:00Z,2022-07-04,114737,Gemeente,GM0193,Zwolle,<=2010,85,84,12+
4,2022-07-13T10:30:00Z,2022-07-04,105243,Gemeente,GM0193,Zwolle,<2005,87,86,18+
4,2022-07-13T10:30:00Z,2022-07-04,9494,Gemeente,GM0193,Zwolle,2005-2010,65,63,12-17
4,2022-07-13T10:30:00Z,2022-07-04,24247,Gemeente,GM0197,Aalten,<=2010,88,87,12+
4,2022-07-13T10:30:00Z,2022-07-04,22274,Gemeente,GM0197,Aalten,<2005,90,89,18+
4,2022-07-13T10:30:00Z,2022-07-04,1973,Gemeente,GM0197,Aalten,2005-2010,73,68,12-17
4,2022-07-13T10:30:00Z,2022-07-04,147207,Gemeente,GM0200,Apeldoorn,<=2010,83,81,12+
4,2022-07-13T10:30:00Z,2022-07-04,136121,Gemeente,GM0200,Apeldoorn,<2005,84,83,18+
4,2022-07-13T10:30:00Z,2022-07-04,11086,Gemeente,GM0200,Apeldoorn,2005-2010,61,59,12-17
4,2022-07-13T10:30:00Z,2022-07-04,146087,Gemeente,GM0202,Arnhem,<=2010,79,78,12+
4,2022-07-13T10:30:00Z,2022-07-04,135540,Gemeente,GM0202,Arnhem,<2005,81,80,18+
4,2022-07-13T10:30:00Z,2022-07-04,10547,Gemeente,GM0202,Arnhem,2005-2010,57,55,12-17
4,2022-07-13T10:30:00Z,2022-07-04,50887,Gemeente,GM0203,Barneveld,<=2010,68,67,12+
4,2022-07-13T10:30:00Z,2022-07-04,45806,Gemeente,GM0203,Barneveld,<2005,71,70,18+
4,2022-07-13T10:30:00Z,2022-07-04,5081,Gemeente,GM0203,Barneveld,2005-2010,39,38,12-17
4,2022-07-13T10:30:00Z,2022-07-04,23247,Gemeente,GM0209,Beuningen,<=2010,90,89,12+
4,2022-07-13T10:30:00Z,2022-07-04,21636,Gemeente,GM0209,Beuningen,<2005,91,90,18+
