<<<<<<< HEAD
"new.infection","corrections.cases","net.infection","V4","V5","V6","new.deaths","corrections.deaths","net.deaths","date"
77648,-29,77619,0,0,0,4,0,4,2022-02-07
=======
new.infection,corrections.cases,net.infection,V4,V5,V6,new.deaths,corrections.deaths,net.deaths,date
80946,13938,94884,0,0,0,8,0,8,2/6/2022
>>>>>>> 69cf2924cacbff4a4c091e288a09918ed48b761c
