Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2022-01-25T10:00:00Z,2020-11-01,2.782,
1,2022-01-25T10:00:00Z,2020-11-02,2.304,
1,2022-01-25T10:00:00Z,2020-11-03,3.33,
1,2022-01-25T10:00:00Z,2020-11-04,3.641,3.106
1,2022-01-25T10:00:00Z,2020-11-05,3.616,3.116
1,2022-01-25T10:00:00Z,2020-11-06,3.436,3.191
1,2022-01-25T10:00:00Z,2020-11-07,2.634,3.165
1,2022-01-25T10:00:00Z,2020-11-08,2.848,2.986
1,2022-01-25T10:00:00Z,2020-11-09,2.835,2.792
1,2022-01-25T10:00:00Z,2020-11-10,3.146,2.696
1,2022-01-25T10:00:00Z,2020-11-11,2.385,2.754
1,2022-01-25T10:00:00Z,2020-11-12,2.262,2.837
1,2022-01-25T10:00:00Z,2020-11-13,2.761,2.819
1,2022-01-25T10:00:00Z,2020-11-14,3.044,2.782
1,2022-01-25T10:00:00Z,2020-11-15,3.423,2.751
1,2022-01-25T10:00:00Z,2020-11-16,2.715,2.793
1,2022-01-25T10:00:00Z,2020-11-17,2.882,2.859
1,2022-01-25T10:00:00Z,2020-11-18,2.173,2.787
1,2022-01-25T10:00:00Z,2020-11-19,2.554,2.655
1,2022-01-25T10:00:00Z,2020-11-20,3.224,2.667
1,2022-01-25T10:00:00Z,2020-11-21,2.541,2.689
1,2022-01-25T10:00:00Z,2020-11-22,2.499,2.751
1,2022-01-25T10:00:00Z,2020-11-23,2.797,2.755
1,2022-01-25T10:00:00Z,2020-11-24,3.037,2.727
1,2022-01-25T10:00:00Z,2020-11-25,2.602,2.725
1,2022-01-25T10:00:00Z,2020-11-26,2.587,2.835
1,2022-01-25T10:00:00Z,2020-11-27,3.028,2.81
1,2022-01-25T10:00:00Z,2020-11-28,2.526,2.79
1,2022-01-25T10:00:00Z,2020-11-29,3.268,2.746
1,2022-01-25T10:00:00Z,2020-11-30,2.625,2.788
1,2022-01-25T10:00:00Z,2020-12-01,2.892,2.791
1,2022-01-25T10:00:00Z,2020-12-02,2.295,2.917
1,2022-01-25T10:00:00Z,2020-12-03,2.885,2.932
1,2022-01-25T10:00:00Z,2020-12-04,3.046,3.031
1,2022-01-25T10:00:00Z,2020-12-05,3.411,3.115
1,2022-01-25T10:00:00Z,2020-12-06,3.368,3.23
1,2022-01-25T10:00:00Z,2020-12-07,3.318,3.319
1,2022-01-25T10:00:00Z,2020-12-08,3.48,3.267
1,2022-01-25T10:00:00Z,2020-12-09,3.104,3.221
1,2022-01-25T10:00:00Z,2020-12-10,3.507,3.243
1,2022-01-25T10:00:00Z,2020-12-11,2.684,3.197
1,2022-01-25T10:00:00Z,2020-12-12,3.087,3.108
1,2022-01-25T10:00:00Z,2020-12-13,3.524,3.212
1,2022-01-25T10:00:00Z,2020-12-14,2.996,3.169
