"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"other",18604.5,0.994823421920822,0.00102353047218277,NA,0.992817339058264,0.996829504783379,2020-12-08,"other"
"B.1.1.7 (alpha)",18605.5,0.0045186771976911,0.000663074789529617,NA,0.00321907449115658,0.00581827990422563,2020-12-09,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18605.5,0.000228263033957266,0.000143724361039793,NA,-5.34315373817596e-05,0.000509957605296291,2020-12-09,"B.1.351 (beta)"
"P.1 (gamma)",18605.5,3.11036326886176e-08,8.30867143039741e-08,NA,-1.3174333494094e-07,1.93950600318176e-07,2020-12-09,"P.1 (gamma)"
"C.37 (lambda)",18605.5,3.48790218057409e-07,1.32157297918314e-06,NA,-2.24144522408285e-06,2.93902566019767e-06,2020-12-09,"C.37 (lambda)"
"B.1.617.2 (delta)",18605.5,0.000830191274199648,0.000778447145048834,NA,-0.000695537093964094,0.00235591964236339,2020-12-09,"B.1.617.2 (delta)"
"other",18605.5,0.994422488600301,0.00104076845965497,NA,0.992382619903132,0.99646235729747,2020-12-09,"other"
"B.1.1.7 (alpha)",18606.5,0.00493510830910894,0.00070981543779896,NA,0.00354389561535244,0.00632632100286543,2020-12-10,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18606.5,0.000249789752336599,0.000154163159556425,NA,-5.23644881368952e-05,0.000551943992810093,2020-12-10,"B.1.351 (beta)"
"P.1 (gamma)",18606.5,3.77738158510694e-08,9.92392501063023e-08,NA,-1.56731540210046e-07,2.32279171912185e-07,2020-12-10,"P.1 (gamma)"
"C.37 (lambda)",18606.5,3.51898619767001e-07,1.37889644175429e-06,NA,-2.35068874448184e-06,3.05448598401584e-06,2020-12-10,"C.37 (lambda)"
"B.1.617.2 (delta)",18606.5,0.000829697469367308,0.000762680767992627,NA,-0.00066512936759959,0.00232452430633421,2020-12-10,"B.1.617.2 (delta)"
"other",18606.5,0.993985014796752,0.00106197184581051,NA,0.991903588226367,0.996066441367136,2020-12-10,"other"
"B.1.1.7 (alpha)",18607.5,0.00538929968392952,0.000759475842597974,NA,0.00390075438530928,0.00687784498254976,2020-12-11,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18607.5,0.000273307648288113,0.000165277626701961,NA,-5.06305474979869e-05,0.000597245844074212,2020-12-11,"B.1.351 (beta)"
"P.1 (gamma)",18607.5,4.58636500919898e-08,1.18473966402691e-07,NA,-1.86341057162893e-07,2.78068357346873e-07,2020-12-11,"P.1 (gamma)"
"C.37 (lambda)",18607.5,3.55041796453446e-07,1.43705491155616e-06,NA,-2.46153407400302e-06,3.17161766690991e-06,2020-12-11,"C.37 (lambda)"
"B.1.617.2 (delta)",18607.5,0.000829191253457289,0.000747014726117225,NA,-0.000634930705653525,0.0022933132125681,2020-12-11,"B.1.617.2 (delta)"
"other",18607.5,0.993507800508879,0.00108739276433258,NA,0.991376549853737,0.99563905116402,2020-12-11,"other"
"B.1.1.7 (alpha)",18608.5,0.00588453441644601,0.000812189695243891,NA,0.00429267186515342,0.0074763969677386,2020-12-12,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18608.5,0.000298991751357088,0.000177100435456261,NA,-4.81187237835426e-05,0.00064610222649772,2020-12-12,"B.1.351 (beta)"
"P.1 (gamma)",18608.5,5.56712241080714e-08,1.41362545156077e-07,NA,-2.21394273160756e-07,3.32736721376899e-07,2020-12-12,"P.1 (gamma)"
"C.37 (lambda)",18608.5,3.58221992520291e-07,1.49604516882698e-06,NA,-2.57397265762574e-06,3.29041664266632e-06,2020-12-12,"C.37 (lambda)"
"B.1.617.2 (delta)",18608.5,0.000828672659765724,0.000731456727021379,NA,-0.000604956181445725,0.00226230150097717,2020-12-12,"B.1.617.2 (delta)"
"other",18608.5,0.992987387279215,0.00111726330043833,NA,0.990797591449107,0.995177183109322,2020-12-12,"other"
"B.1.1.7 (alpha)",18609.5,0.00642435799058027,0.00086809053474488,NA,0.00472293180716019,0.00812578417400035,2020-12-13,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18609.5,0.000327030964187619,0.000189664431609947,NA,-4.47044909161367e-05,0.000698766419291374,2020-12-13,"B.1.351 (beta)"
"P.1 (gamma)",18609.5,6.75559467527787e-08,1.68578417389308e-07,NA,-2.62851679901026e-07,3.97963573406583e-07,2020-12-13,"P.1 (gamma)"
"C.37 (lambda)",18609.5,3.61441418150021e-07,1.55586443094213e-06,NA,-2.68799683132346e-06,3.4108796676235e-06,2020-12-13,"C.37 (lambda)"
"B.1.617.2 (delta)",18609.5,0.000828141481127735,0.000716014410361829,NA,-0.000575220975593133,0.0022315039378486,2020-12-13,"B.1.617.2 (delta)"
"other",18609.5,0.99242004056674,0.00115179209460205,NA,0.990162569543642,0.994677511589838,2020-12-13,"other"
