"DATE_NUM","r","SE","df","r_LOWER","r_UPPER","DATE","Re","Re_LOWER","Re_UPPER"
18625.5,-0.0301256584073488,0.000359687605934122,327.01766459975,-0.030833251947779,-0.0294180648669186,2020-12-29,0.864546829891392,0.861511101013977,0.867589174433291
18626.5,-0.0300471328206516,0.000422415246073166,327.01766459975,-0.0308781269793865,-0.0292161386619167,2020-12-30,0.864884129316995,0.861318800406854,0.868458583421081
18627.5,-0.0298738896697382,0.000484853582050433,327.01766459975,-0.0308277153146956,-0.0289200640247807,2020-12-31,0.86562856751395,0.861534828698225,0.869734331003004
18628.5,-0.0296059289546097,0.000534736521468996,327.01766459975,-0.0306578865483135,-0.0285539713609059,2021-01-01,0.866780795177017,0.862262840076545,0.87131338112819
18629.5,-0.0292432506752629,0.000566934798973544,327.01766459975,-0.0303585501600948,-0.028127951190431,2021-01-02,0.868341819194839,0.863546943938433,0.873153147354301
18630.5,-0.0287858548317011,0.000579375345580885,327.01766459975,-0.0299256279160498,-0.0276460817473524,2021-01-03,0.870313003214179,0.865406203032521,0.875236995588143
18631.5,-0.0282337414239225,0.000571558768955653,327.01766459975,-0.0293581373892461,-0.0271093454585989,2021-01-04,0.872696068403315,0.8678471405791,0.87756173857447
18632.5,-0.0275869104519295,0.00054420321860736,327.01766459975,-0.0286574913555105,-0.0265163295483484,2021-01-05,0.875493094414048,0.870866693367342,0.880134685129745
18633.5,-0.0268453619157193,0.00049961703180171,327.01766459975,-0.0278282308791179,-0.0258624929523208,2021-01-06,0.878706520542067,0.874448928579062,0.882976926370745
18634.5,-0.0260090958152929,0.000443108153777411,327.01766459975,-0.0268807979872667,-0.0251373936433191,2021-01-07,0.88233914708494,0.878552795984095,0.886135587290543
18635.5,-0.0250781121506494,0.000386526176776289,327.01766459975,-0.0258385037276229,-0.0243177205736759,2021-01-08,0.886394136897272,0.88308131596943,0.889714643217494
18636.5,-0.0240524109217911,0.000354442608410005,327.01766459975,-0.0247496862685821,-0.0233551355750001,2021-01-09,0.890875017142206,0.887827376034091,0.89392912852203
18637.5,-0.0229589499992262,0.000379910587082713,327.01766459975,-0.023706327092364,-0.0222115729060883,2021-01-10,0.895667331742893,0.892390077759287,0.898952028748749
18638.5,-0.022022586618465,0.000449312675957697,327.01766459975,-0.022906494603883,-0.021138678633047,2021-01-11,0.899783796856099,0.895897628487229,0.903680387414231
18639.5,-0.0212994951709657,0.000525014499826526,327.01766459975,-0.022332327169012,-0.0202666631729194,2021-01-12,0.902970673051675,0.898420813447119,0.907534774641064
18640.5,-0.0207896756567294,0.00058923894470001,327.01766459975,-0.0219488528542778,-0.019630498459181,2021-01-13,0.905221792847096,0.900108443743787,0.910353092129237
18641.5,-0.0204931280757557,0.000634692869612534,327.01766459975,-0.0217417242666881,-0.0192445318848234,2021-01-14,0.906532802607731,0.901020810904239,0.912065627851292
18642.5,-0.0204098524280451,0.00065838799704044,327.01766459975,-0.0217050627330894,-0.0191146421230009,2021-01-15,0.906901167963453,0.901182358523038,0.912642397720017
18643.5,-0.0205398487135976,0.000659340186512096,327.01766459975,-0.0218369322083439,-0.0192427652188512,2021-01-16,0.906326176957292,0.900601364585797,0.912073471140431
18644.5,-0.020883116932413,0.000637869738038932,327.01766459975,-0.0221379628009551,-0.0196282710638709,2021-01-17,0.904808940929349,0.899275945550164,0.910362969376223
18645.5,-0.0214396570844905,0.000595708893891331,327.01766459975,-0.0226115622553667,-0.0202677519136142,2021-01-18,0.902352393136917,0.897193162944793,0.907529955973461
18646.5,-0.0222094691698314,0.000536957618611948,327.01766459975,-0.0232657962051426,-0.0211531421345202,2021-01-19,0.898961285109351,0.894320908660358,0.90361654306374
18647.5,-0.0231925531884351,0.000470671788727657,327.01766459975,-0.0241184797754841,-0.0222666266013862,2021-01-20,0.894642180733951,0.890585966931563,0.898709815538043
18648.5,-0.0243889091403014,0.000416480674468519,327.01766459975,-0.0252082285444342,-0.0235695897361685,2021-01-21,0.889403448066643,0.885826710034099,0.892989116050423
18649.5,-0.0257982306484456,0.000409541865986707,327.01766459975,-0.0266038997182911,-0.0249925615786001,2021-01-22,0.883256582276653,0.879754446645384,0.886767338506758
18650.5,-0.0271619333894615,0.000468899892612913,327.01766459975,-0.0280843742232501,-0.0262394925556729,2021-01-23,0.877333797946181,0.873341469788472,0.881337408568529
18651.5,-0.0281414017339961,0.000553584699742425,327.01766459975,-0.0292304383067226,-0.0270523651612695,2021-01-24,0.87309502449917,0.868396997444735,0.877808759162044
18652.5,-0.028731838954592,0.000633623465184965,327.01766459975,-0.0299783313653201,-0.0274853465438639,2021-01-25,0.870545971725261,0.865179726604097,0.875932780556253
18653.5,-0.0289332450512504,0.000696218759899798,327.01766459975,-0.0303028777244475,-0.0275636123780534,2021-01-26,0.869677510986065,0.863785900053649,0.875593943359018
18654.5,-0.0287456200239705,0.000736003369465972,327.01766459975,-0.0301935187599206,-0.0272977212880203,2021-01-27,0.870486530805694,0.864255407625318,0.876745399417132
