"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"other",18605.5,0.977478190448768,0.00357716670118343,NA,0.970467072547752,0.984489308349783,2020-12-09,"other"
"B.1.1.7 (alpha)",18606.5,0.0224356678190046,0.00353689324399531,NA,0.0155034844436108,0.0293678511943985,2020-12-10,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18606.5,0.00122364837247587,0.000717440553479687,NA,0.001,0.00262980601834454,2020-12-10,"B.1.351 (beta)"
"P.1 (gamma)",18606.5,0.001,3.41431379810806e-07,NA,0.001,0.001,2020-12-10,"P.1 (gamma)"
"C.37 (lambda)",18606.5,0.001,2.04455737869719e-09,NA,0.001,0.001,2020-12-10,"C.37 (lambda)"
"B.1.617.2 (delta)",18606.5,0.001,4.34537145911021e-05,NA,0.001,0.001,2020-12-10,"B.1.617.2 (delta)"
"other",18606.5,0.976335320897697,0.00367073706911201,NA,0.969140808445521,0.983529833349872,2020-12-10,"other"
"B.1.1.7 (alpha)",18607.5,0.0235745385383614,0.00362819190426926,NA,0.0164634130769939,0.030685663999729,2020-12-11,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18607.5,0.00128579068324456,0.000738027497824145,NA,0.001,0.0027322979985801,2020-12-11,"B.1.351 (beta)"
"P.1 (gamma)",18607.5,0.001,3.95390322680956e-07,NA,0.001,0.001,2020-12-11,"P.1 (gamma)"
"C.37 (lambda)",18607.5,0.001,1.47355795297491e-09,NA,0.001,0.001,2020-12-11,"C.37 (lambda)"
"B.1.617.2 (delta)",18607.5,0.001,4.39175921334683e-05,NA,0.001,0.001,2020-12-11,"B.1.617.2 (delta)"
"other",18607.5,0.975134140666685,0.00376494616015879,NA,0.967754981789042,0.982513299544329,2020-12-11,"other"
"B.1.1.7 (alpha)",18608.5,0.0247717378345872,0.00372006811786747,NA,0.0174805383035312,0.0320629373656431,2020-12-12,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18608.5,0.00135108208430475,0.000758907361515663,NA,0.001,0.00283851318047776,2020-12-12,"B.1.351 (beta)"
"P.1 (gamma)",18608.5,0.001,4.57687272218838e-07,NA,0.001,0.001,2020-12-12,"P.1 (gamma)"
"C.37 (lambda)",18608.5,0.001,1.06197409888696e-09,NA,0.001,0.001,2020-12-12,"C.37 (lambda)"
"B.1.617.2 (delta)",18608.5,0.001,4.43785523907543e-05,NA,0.001,0.001,2020-12-12,"B.1.617.2 (delta)"
"other",18608.5,0.9738714745983,0.00385969826039369,NA,0.966306605016737,0.981436344179864,2020-12-12,"other"
"B.1.1.7 (alpha)",18609.5,0.0260304610562061,0.00381242672237362,NA,0.0185582419866557,0.0335026801257565,2020-12-13,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18609.5,0.00141968713574433,0.000780068633734586,NA,0.001,0.00294859356333349,2020-12-13,"B.1.351 (beta)"
"P.1 (gamma)",18609.5,0.001,5.29570703094779e-07,NA,0.001,0.001,2020-12-13,"P.1 (gamma)"
"C.37 (lambda)",18609.5,0.001,7.65520268529706e-10,NA,0.001,0.001,2020-12-13,"C.37 (lambda)"
"B.1.617.2 (delta)",18609.5,0.001,4.48368445152154e-05,NA,0.001,0.001,2020-12-13,"B.1.617.2 (delta)"
"other",18609.5,0.972543961917604,0.00395489035835494,NA,0.964792519252424,0.980295404582784,2020-12-13,"other"
"B.1.1.7 (alpha)",18610.5,0.0273540911140657,0.00390516541238176,NA,0.019700107552126,0.0350080746760055,2020-12-14,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18610.5,0.00149177916208952,0.000801498520806283,NA,0.001,0.00306268739653196,2020-12-14,"B.1.351 (beta)"
"P.1 (gamma)",18610.5,0.001,6.12467893257492e-07,NA,0.001,0.001,2020-12-14,"P.1 (gamma)"
"C.37 (lambda)",18610.5,0.001,5.52088653148049e-10,NA,0.001,0.001,2020-12-14,"C.37 (lambda)"
"B.1.617.2 (delta)",18610.5,0.001,4.52927200290221e-05,NA,0.001,0.001,2020-12-14,"B.1.617.2 (delta)"
"other",18610.5,0.971148045398977,0.00405041182846434,NA,0.963209384092632,0.979086706705322,2020-12-14,"other"
"B.1.1.7 (alpha)",18611.5,0.0287462093978131,0.00399817444352559,NA,0.0209099314845945,0.0365824873110318,2020-12-15,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18611.5,0.00156754067991619,0.000823182873386577,NA,0.001,0.00318094946444407,2020-12-15,"B.1.351 (beta)"
"P.1 (gamma)",18611.5,0.001,7.08008911204863e-07,NA,0.001,0.001,2020-12-15,"P.1 (gamma)"
"C.37 (lambda)",18611.5,0.001,3.98455751301383e-10,NA,0.001,0.001,2020-12-15,"C.37 (lambda)"
"B.1.617.2 (delta)",18611.5,0.001,4.57464311383719e-05,NA,0.001,0.001,2020-12-15,"B.1.617.2 (delta)"
"other",18611.5,0.969679960002918,0.00414614412739839,NA,0.961553666838505,0.977806253167331,2020-12-15,"other"
"B.1.1.7 (alpha)",18612.5,0.0302106072129544,0.00409133635313761,NA,0.0221917353121653,0.0382294791137436,2020-12-16,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18612.5,0.00164716383690747,0.000845106112591402,NA,0.001,0.00330354138070127,2020-12-16,"B.1.351 (beta)"
"P.1 (gamma)",18612.5,0.001,8.18053501652311e-07,NA,0.001,0.001,2020-12-16,"P.1 (gamma)"
"C.37 (lambda)",18612.5,0.001,2.87857289567575e-10,NA,0.001,0.001,2020-12-16,"C.37 (lambda)"
"B.1.617.2 (delta)",18612.5,0.001,4.61982289821316e-05,NA,0.001,0.001,2020-12-16,"B.1.617.2 (delta)"
"other",18612.5,0.968135720977659,0.00424196051006768,NA,0.959821631154085,0.976449810801232,2020-12-16,"other"
"B.1.1.7 (alpha)",18613.5,0.0317512977403073,0.00418452570478486,NA,0.0235497780665469,0.0399528174140677,2020-12-17,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18613.5,0.00173085086090277,0.000867251155648824,NA,0.001,0.00343063189152521,2020-12-17,"B.1.351 (beta)"
"P.1 (gamma)",18613.5,0.001,9.44721156350437e-07,NA,0.001,0.001,2020-12-17,"P.1 (gamma)"
"C.37 (lambda)",18613.5,0.001,2.08211242519655e-10,NA,0.001,0.001,2020-12-17,"C.37 (lambda)"
"B.1.617.2 (delta)",18613.5,0.001,4.66483618107936e-05,NA,0.001,0.001,2020-12-17,"B.1.617.2 (delta)"
"other",18613.5,0.966511111424759,0.00433772577311649,NA,0.958009325134639,0.975012897714878,2020-12-17,"other"
"B.1.1.7 (alpha)",18614.5,0.0333725285146491,0.00427760886525807,NA,0.024988569198794,0.0417564878305042,2020-12-18,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18614.5,0.00181881451709446,0.000889599341783526,NA,0.001,0.00356239718766071,2020-12-18,"B.1.351 (beta)"
"P.1 (gamma)",18614.5,0.001,1.09042467203844e-06,NA,0.001,0.001,2020-12-18,"P.1 (gamma)"
"C.37 (lambda)",18614.5,0.001,1.50821216832029e-10,NA,0.001,0.001,2020-12-18,"C.37 (lambda)"
"B.1.617.2 (delta)",18614.5,0.001,4.70970730911109e-05,NA,0.001,0.001,2020-12-18,"B.1.617.2 (delta)"
"other",18614.5,0.964801669333202,0.00443329603528952,NA,0.95611256877123,0.973490769895173,2020-12-18,"other"
"B.1.1.7 (alpha)",18615.5,0.035078794413272,0.00437044382410109,NA,0.0265128819215784,0.0436447069049657,2020-12-19,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18615.5,0.0019112785710765,0.000912130359196182,NA,0.001,0.0036990212243066,2020-12-19,"B.1.351 (beta)"
"P.1 (gamma)",18615.5,0.001,1.25790751044226e-06,NA,0.001,0.001,2020-12-19,"P.1 (gamma)"
"C.37 (lambda)",18615.5,0.001,1.09433763242551e-10,NA,0.001,0.001,2020-12-19,"C.37 (lambda)"
"B.1.617.2 (delta)",18615.5,0.001,4.75445995314189e-05,NA,0.001,0.001,2020-12-19,"B.1.617.2 (delta)"
"other",18615.5,0.96300267409293,0.00452851856564203,NA,0.954126940800951,0.97187840738491,2020-12-19,"other"
"B.1.1.7 (alpha)",18616.5,0.0368748511378362,0.00446288006747526,NA,0.028127766938263,0.0456219353374094,2020-12-20,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18616.5,0.00200847825492864,0.0009348221741753,NA,0.001,0.00384069604826166,2020-12-20,"B.1.351 (beta)"
"P.1 (gamma)",18616.5,0.001,1.4502852848556e-06,NA,0.001,0.001,2020-12-20,"P.1 (gamma)"
"C.37 (lambda)",18616.5,0.001,7.95551282643208e-11,NA,0.001,0.001,2020-12-20,"C.37 (lambda)"
"B.1.617.2 (delta)",18616.5,0.001,4.79911690223736e-05,NA,0.001,0.001,2020-12-20,"B.1.617.2 (delta)"
"other",18616.5,0.961109132506539,0.0046232316724076,NA,0.952047764936435,0.970170500076643,2020-12-20,"other"
"B.1.1.7 (alpha)",18617.5,0.0387657291641556,0.00455475852007062,NA,0.0298385665065402,0.0476928918217709,2020-12-21,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18617.5,0.00211066073292028,0.000957650963579882,NA,0.001,0.00398762213129693,2020-12-21,"B.1.351 (beta)"
"P.1 (gamma)",18617.5,0.001,1.67109170298835e-06,NA,0.001,0.001,2020-12-21,"P.1 (gamma)"
"C.37 (lambda)",18617.5,0.001,5.79573472837127e-11,NA,0.001,0.001,2020-12-21,"C.37 (lambda)"
"B.1.617.2 (delta)",18617.5,0.001,4.84369984876609e-05,NA,0.001,0.001,2020-12-21,"B.1.617.2 (delta)"
"other",18617.5,0.959115764327075,0.00471726466740424,NA,0.949870095473419,0.968361433180731,2020-12-21,"other"
"B.1.1.7 (alpha)",18618.5,0.0407567481241704,0.00464591157091685,NA,0.0316509287698155,0.0498625674785253,2020-12-22,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18618.5,0.00221808556273212,0.000980591052160015,NA,0.001,0.00414000870852799,2020-12-22,"B.1.351 (beta)"
"P.1 (gamma)",18618.5,0.001,1.92432929501001e-06,NA,0.001,0.001,2020-12-22,"P.1 (gamma)"
"C.37 (lambda)",18618.5,0.001,4.23219984962788e-11,NA,0.001,0.001,2020-12-22,"C.37 (lambda)"
"B.1.617.2 (delta)",18618.5,0.001,4.88822916391661e-05,NA,0.001,0.001,2020-12-22,"B.1.617.2 (delta)"
"other",18618.5,0.957016987360862,0.00481043792316183,NA,0.947588702281599,0.966445272440125,2020-12-22,"other"
"B.1.1.7 (alpha)",18619.5,0.0428535315721244,0.00473616320131914,NA,0.0335708222726349,0.0521362408716138,2020-12-23,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18619.5,0.00233102514731083,0.00100361485644271,NA,0.001,0.00429807412028787,2020-12-23,"B.1.351 (beta)"
"P.1 (gamma)",18619.5,0.001,2.21452524736797e-06,NA,0.001,0.001,2020-12-23,"P.1 (gamma)"
"C.37 (lambda)",18619.5,0.001,3.09837192839298e-11,NA,0.001,0.001,2020-12-23,"C.37 (lambda)"
"B.1.617.2 (delta)",18619.5,0.001,4.93272366311919e-05,NA,0.001,0.001,2020-12-23,"B.1.617.2 (delta)"
"other",18619.5,0.954806902187139,0.00490256304250723,NA,0.945198055191888,0.96441574918239,2020-12-23,"other"
"B.1.1.7 (alpha)",18620.5,0.045062022072615,0.00482532923574961,NA,0.0356045505569976,0.0545194935882324,2020-12-24,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18620.5,0.00244976517158178,0.00102669283720413,NA,0.001,0.00446204615568712,2020-12-24,"B.1.351 (beta)"
"P.1 (gamma)",18620.5,0.001,2.54679264504499e-06,NA,0.001,0.001,2020-12-24,"P.1 (gamma)"
"C.37 (lambda)",18620.5,0.001,2.27458209375653e-11,NA,0.001,0.001,2020-12-24,"C.37 (lambda)"
"B.1.617.2 (delta)",18620.5,0.001,4.9772003608587e-05,NA,0.001,0.001,2020-12-24,"B.1.617.2 (delta)"
"other",18620.5,0.952479276561415,0.00499344316314492,NA,0.942692307802803,0.962266245320026,2020-12-24,"other"
