Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-08-11T17:42:43Z,2020-11-30,B.1.1.7,Alpha,VOC,202,1
1,2021-08-11T17:42:43Z,2020-11-30,B.1.1.7+S:E484K,"",VOC,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.351,Beta,VOC,202,0
1,2021-08-11T17:42:43Z,2020-11-30,P.1,Gamma,VOC,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.617.2,Delta,VOC,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.525,Eta,VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,P.3,"",VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.617.1,Kappa,VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.620,"",VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.621,"",VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,C.37,Lambda,VOI,202,0
1,2021-08-11T17:42:43Z,2020-11-30,B.1.526,Iota,VUM,202,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.1.7,Alpha,VOC,223,1
1,2021-08-11T17:42:43Z,2020-12-07,B.1.1.7+S:E484K,"",VOC,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.351,Beta,VOC,223,0
1,2021-08-11T17:42:43Z,2020-12-07,P.1,Gamma,VOC,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.617.2,Delta,VOC,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.525,Eta,VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,P.3,"",VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.617.1,Kappa,VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.620,"",VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.621,"",VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,C.37,Lambda,VOI,223,0
1,2021-08-11T17:42:43Z,2020-12-07,B.1.526,Iota,VUM,223,0
1,2021-08-11T17:42:43Z,2020-12-14,B.1.1.7,Alpha,VOC,336,1
1,2021-08-11T17:42:43Z,2020-12-14,B.1.1.7+S:E484K,"",VOC,336,0
