Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Is_subvariant_of,Sample_size,Variant_cases
4,2023-04-14T15:20:27Z,2020-12-07,B.1.1.7,Alpha,DEV,"","",127,1
4,2023-04-14T15:20:27Z,2020-12-07,B.1.621,Mu,DEV,"","",127,0
4,2023-04-14T15:20:27Z,2020-12-07,C.37,Lambda,DEV,"","",127,0
4,2023-04-14T15:20:27Z,2020-12-07,BA.2+S:L452X,Omicron,DEV,"",BA.2,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XAK,Omicron,DEV,"",Recombinants,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XBF,Omicron,"",VUM,Recombinants,127,0
4,2023-04-14T15:20:27Z,2020-12-07,XBB.1.9,Omicron,VOI,VUM,XBB,127,0
4,2023-04-14T15:20:27Z,2020-12-14,Recombinants,Recombinants,"","","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,B.1.1.529,Omicron,"",VOC,"",203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.2,Omicron,VOC,"",B.1.1.529,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.4,Omicron,VOC,VUM,B.1.1.529,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.5,Omicron,VOC,VUM,B.1.1.529,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.2.75,Omicron,VOI,VUM,BA.2,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BQ.1,Omicron,VOI,VUM,BA.5,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XBB,Omicron,VOI,VUM,Recombinants,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XBB.1.5,Omicron,VOI,VUM,XBB,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.2.3.20,Omicron,DEV,VUM,BA.2,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BF.7,Omicron,DEV,VUM,BA.5,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XBC,Omicron,VUM,"",Recombinants,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BN.1,Omicron,VUM,"",BA.2.75,203,0
4,2023-04-14T15:20:27Z,2020-12-14,CH.1.1,Omicron,VUM,"",BA.2.75,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XAY,Omicron,VUM,"",Recombinants,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BQ.1.1,Omicron,"",VUM,BQ.1,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.4.6,Omicron,"",VUM,BA.4,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.3,Omicron,DEV,"",B.1.1.529,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.1,Omicron,DEV,"",B.1.1.529,203,0
4,2023-04-14T15:20:27Z,2020-12-14,B.1.617.2,Delta,DEV,"","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,B.1.351,Beta,DEV,"","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,P.1,Gamma,DEV,"","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,B.1.1.7,Alpha,DEV,"","",203,1
4,2023-04-14T15:20:27Z,2020-12-14,B.1.621,Mu,DEV,"","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,C.37,Lambda,DEV,"","",203,0
4,2023-04-14T15:20:27Z,2020-12-14,BA.2+S:L452X,Omicron,DEV,"",BA.2,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XAK,Omicron,DEV,"",Recombinants,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XBF,Omicron,"",VUM,Recombinants,203,0
4,2023-04-14T15:20:27Z,2020-12-14,XBB.1.9,Omicron,VOI,VUM,XBB,203,0
4,2023-04-14T15:20:27Z,2020-12-21,Recombinants,Recombinants,"","","",257,0
4,2023-04-14T15:20:27Z,2020-12-21,B.1.1.529,Omicron,"",VOC,"",257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.2,Omicron,VOC,"",B.1.1.529,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.4,Omicron,VOC,VUM,B.1.1.529,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.5,Omicron,VOC,VUM,B.1.1.529,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.2.75,Omicron,VOI,VUM,BA.2,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BQ.1,Omicron,VOI,VUM,BA.5,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XBB,Omicron,VOI,VUM,Recombinants,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XBB.1.5,Omicron,VOI,VUM,XBB,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.2.3.20,Omicron,DEV,VUM,BA.2,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BF.7,Omicron,DEV,VUM,BA.5,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XBC,Omicron,VUM,"",Recombinants,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BN.1,Omicron,VUM,"",BA.2.75,257,0
4,2023-04-14T15:20:27Z,2020-12-21,CH.1.1,Omicron,VUM,"",BA.2.75,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XAY,Omicron,VUM,"",Recombinants,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BQ.1.1,Omicron,"",VUM,BQ.1,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.4.6,Omicron,"",VUM,BA.4,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.3,Omicron,DEV,"",B.1.1.529,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.1,Omicron,DEV,"",B.1.1.529,257,0
4,2023-04-14T15:20:27Z,2020-12-21,B.1.617.2,Delta,DEV,"","",257,0
4,2023-04-14T15:20:27Z,2020-12-21,B.1.351,Beta,DEV,"","",257,1
4,2023-04-14T15:20:27Z,2020-12-21,P.1,Gamma,DEV,"","",257,0
4,2023-04-14T15:20:27Z,2020-12-21,B.1.1.7,Alpha,DEV,"","",257,5
4,2023-04-14T15:20:27Z,2020-12-21,B.1.621,Mu,DEV,"","",257,0
4,2023-04-14T15:20:27Z,2020-12-21,C.37,Lambda,DEV,"","",257,0
4,2023-04-14T15:20:27Z,2020-12-21,BA.2+S:L452X,Omicron,DEV,"",BA.2,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XAK,Omicron,DEV,"",Recombinants,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XBF,Omicron,"",VUM,Recombinants,257,0
4,2023-04-14T15:20:27Z,2020-12-21,XBB.1.9,Omicron,VOI,VUM,XBB,257,0
4,2023-04-14T15:20:27Z,2020-12-28,Recombinants,Recombinants,"","","",207,0
4,2023-04-14T15:20:27Z,2020-12-28,B.1.1.529,Omicron,"",VOC,"",207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.2,Omicron,VOC,"",B.1.1.529,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.4,Omicron,VOC,VUM,B.1.1.529,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.5,Omicron,VOC,VUM,B.1.1.529,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.2.75,Omicron,VOI,VUM,BA.2,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BQ.1,Omicron,VOI,VUM,BA.5,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XBB,Omicron,VOI,VUM,Recombinants,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XBB.1.5,Omicron,VOI,VUM,XBB,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.2.3.20,Omicron,DEV,VUM,BA.2,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BF.7,Omicron,DEV,VUM,BA.5,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XBC,Omicron,VUM,"",Recombinants,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BN.1,Omicron,VUM,"",BA.2.75,207,0
4,2023-04-14T15:20:27Z,2020-12-28,CH.1.1,Omicron,VUM,"",BA.2.75,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XAY,Omicron,VUM,"",Recombinants,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BQ.1.1,Omicron,"",VUM,BQ.1,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.4.6,Omicron,"",VUM,BA.4,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.3,Omicron,DEV,"",B.1.1.529,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.1,Omicron,DEV,"",B.1.1.529,207,0
4,2023-04-14T15:20:27Z,2020-12-28,B.1.617.2,Delta,DEV,"","",207,0
4,2023-04-14T15:20:27Z,2020-12-28,B.1.351,Beta,DEV,"","",207,1
4,2023-04-14T15:20:27Z,2020-12-28,P.1,Gamma,DEV,"","",207,0
4,2023-04-14T15:20:27Z,2020-12-28,B.1.1.7,Alpha,DEV,"","",207,9
4,2023-04-14T15:20:27Z,2020-12-28,B.1.621,Mu,DEV,"","",207,0
4,2023-04-14T15:20:27Z,2020-12-28,C.37,Lambda,DEV,"","",207,0
4,2023-04-14T15:20:27Z,2020-12-28,BA.2+S:L452X,Omicron,DEV,"",BA.2,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XAK,Omicron,DEV,"",Recombinants,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XBF,Omicron,"",VUM,Recombinants,207,0
4,2023-04-14T15:20:27Z,2020-12-28,XBB.1.9,Omicron,VOI,VUM,XBB,207,0
4,2023-04-14T15:20:27Z,2021-01-04,Recombinants,Recombinants,"","","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,B.1.1.529,Omicron,"",VOC,"",356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.2,Omicron,VOC,"",B.1.1.529,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.4,Omicron,VOC,VUM,B.1.1.529,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.5,Omicron,VOC,VUM,B.1.1.529,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.2.75,Omicron,VOI,VUM,BA.2,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BQ.1,Omicron,VOI,VUM,BA.5,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XBB,Omicron,VOI,VUM,Recombinants,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XBB.1.5,Omicron,VOI,VUM,XBB,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.2.3.20,Omicron,DEV,VUM,BA.2,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BF.7,Omicron,DEV,VUM,BA.5,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XBC,Omicron,VUM,"",Recombinants,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BN.1,Omicron,VUM,"",BA.2.75,356,0
4,2023-04-14T15:20:27Z,2021-01-04,CH.1.1,Omicron,VUM,"",BA.2.75,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XAY,Omicron,VUM,"",Recombinants,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BQ.1.1,Omicron,"",VUM,BQ.1,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.4.6,Omicron,"",VUM,BA.4,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.3,Omicron,DEV,"",B.1.1.529,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.1,Omicron,DEV,"",B.1.1.529,356,0
4,2023-04-14T15:20:27Z,2021-01-04,B.1.617.2,Delta,DEV,"","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,B.1.351,Beta,DEV,"","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,P.1,Gamma,DEV,"","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,B.1.1.7,Alpha,DEV,"","",356,45
4,2023-04-14T15:20:27Z,2021-01-04,B.1.621,Mu,DEV,"","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,C.37,Lambda,DEV,"","",356,0
4,2023-04-14T15:20:27Z,2021-01-04,BA.2+S:L452X,Omicron,DEV,"",BA.2,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XAK,Omicron,DEV,"",Recombinants,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XBF,Omicron,"",VUM,Recombinants,356,0
4,2023-04-14T15:20:27Z,2021-01-04,XBB.1.9,Omicron,VOI,VUM,XBB,356,0
4,2023-04-14T15:20:27Z,2021-01-11,Recombinants,Recombinants,"","","",303,0
4,2023-04-14T15:20:27Z,2021-01-11,B.1.1.529,Omicron,"",VOC,"",303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.2,Omicron,VOC,"",B.1.1.529,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.4,Omicron,VOC,VUM,B.1.1.529,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.5,Omicron,VOC,VUM,B.1.1.529,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.2.75,Omicron,VOI,VUM,BA.2,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BQ.1,Omicron,VOI,VUM,BA.5,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XBB,Omicron,VOI,VUM,Recombinants,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XBB.1.5,Omicron,VOI,VUM,XBB,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.2.3.20,Omicron,DEV,VUM,BA.2,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BF.7,Omicron,DEV,VUM,BA.5,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XBC,Omicron,VUM,"",Recombinants,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BN.1,Omicron,VUM,"",BA.2.75,303,0
4,2023-04-14T15:20:27Z,2021-01-11,CH.1.1,Omicron,VUM,"",BA.2.75,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XAY,Omicron,VUM,"",Recombinants,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BQ.1.1,Omicron,"",VUM,BQ.1,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.4.6,Omicron,"",VUM,BA.4,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.3,Omicron,DEV,"",B.1.1.529,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.1,Omicron,DEV,"",B.1.1.529,303,0
4,2023-04-14T15:20:27Z,2021-01-11,B.1.617.2,Delta,DEV,"","",303,0
4,2023-04-14T15:20:27Z,2021-01-11,B.1.351,Beta,DEV,"","",303,3
4,2023-04-14T15:20:27Z,2021-01-11,P.1,Gamma,DEV,"","",303,0
4,2023-04-14T15:20:27Z,2021-01-11,B.1.1.7,Alpha,DEV,"","",303,61
4,2023-04-14T15:20:27Z,2021-01-11,B.1.621,Mu,DEV,"","",303,0
4,2023-04-14T15:20:27Z,2021-01-11,C.37,Lambda,DEV,"","",303,0
4,2023-04-14T15:20:27Z,2021-01-11,BA.2+S:L452X,Omicron,DEV,"",BA.2,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XAK,Omicron,DEV,"",Recombinants,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XBF,Omicron,"",VUM,Recombinants,303,0
4,2023-04-14T15:20:27Z,2021-01-11,XBB.1.9,Omicron,VOI,VUM,XBB,303,0
4,2023-04-14T15:20:27Z,2021-01-18,Recombinants,Recombinants,"","","",651,0
4,2023-04-14T15:20:27Z,2021-01-18,B.1.1.529,Omicron,"",VOC,"",651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.2,Omicron,VOC,"",B.1.1.529,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.4,Omicron,VOC,VUM,B.1.1.529,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.5,Omicron,VOC,VUM,B.1.1.529,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.2.75,Omicron,VOI,VUM,BA.2,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BQ.1,Omicron,VOI,VUM,BA.5,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XBB,Omicron,VOI,VUM,Recombinants,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XBB.1.5,Omicron,VOI,VUM,XBB,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.2.3.20,Omicron,DEV,VUM,BA.2,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BF.7,Omicron,DEV,VUM,BA.5,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XBC,Omicron,VUM,"",Recombinants,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BN.1,Omicron,VUM,"",BA.2.75,651,0
4,2023-04-14T15:20:27Z,2021-01-18,CH.1.1,Omicron,VUM,"",BA.2.75,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XAY,Omicron,VUM,"",Recombinants,651,0
