Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Sample_size,Variant_cases
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.526,"",DEV,VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.1.519,"",DEV,VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,R.1,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.466.2,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,C.36.3,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.1.523,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.619,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-07T00:00:00Z,B.1.630,"","",VUM,127,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.351,Beta,VOC,VOC,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,P.1,Gamma,VOC,VOC,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.2,Delta,VOC,VOC,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.621,Mu,VOI,VOI,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,C.37,Lambda,VOI,VOI,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,C.36+S:L452R,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.1.318,"",VUM,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,P.1+S:P681H,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.2+S:K417N,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,C.1.2,"",VUM,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.2+S:E484del,"",VUM,"",203,0
