Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,May_include_samples_listed_before,Sample_size,Variant_cases
3,2021-12-17T12:31:14Z,2020-11-30,B.1.351,Beta,VOC,VOC,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,P.1,Gamma,VOC,VOC,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.2,Delta,VOC,VOC,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.1.529,Omicron,VOC,VOC,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.621,Mu,VOI,VOI,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,C.37,Lambda,VOI,VOI,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,AY.4.2,"",VOI,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,C.36+S:L452R,"",VUM,"",FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.1.318,"",VUM,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,P.1+S:P681H,"",VUM,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.2+S:K417N,"",VUM,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,C.1.2,"",VUM,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.2+S:E484del,"",VUM,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.2+S:Q613H,"",VUM,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.2+S:Q677H,"",VUM,"",TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.640,"",VUM,"",FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.1.7,Alpha,DEV,VOI,FALSE,75,1
3,2021-12-17T12:31:14Z,2020-11-30,B.1.427/B.1.429,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.525,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.617.1,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.620,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.214.2,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.526,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.1.519,"",DEV,VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,R.1,"","",VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.466.2,"","",VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,C.36.3,"","",VUM,TRUE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.1.523,"","",VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.619,"","",VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-11-30,B.1.630,"","",VUM,FALSE,75,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.351,Beta,VOC,VOC,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,P.1,Gamma,VOC,VOC,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.2,Delta,VOC,VOC,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.1.529,Omicron,VOC,VOC,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.621,Mu,VOI,VOI,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,C.37,Lambda,VOI,VOI,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,AY.4.2,"",VOI,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,C.36+S:L452R,"",VUM,"",FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.1.318,"",VUM,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,P.1+S:P681H,"",VUM,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.2+S:K417N,"",VUM,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,C.1.2,"",VUM,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.2+S:E484del,"",VUM,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.2+S:Q613H,"",VUM,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.2+S:Q677H,"",VUM,"",TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.640,"",VUM,"",FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.1.7,Alpha,DEV,VOI,FALSE,127,1
3,2021-12-17T12:31:14Z,2020-12-07,B.1.427/B.1.429,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.525,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.617.1,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.620,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.214.2,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.526,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.1.519,"",DEV,VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,R.1,"","",VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.466.2,"","",VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,C.36.3,"","",VUM,TRUE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.1.523,"","",VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.619,"","",VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-07,B.1.630,"","",VUM,FALSE,127,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.351,Beta,VOC,VOC,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,P.1,Gamma,VOC,VOC,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.2,Delta,VOC,VOC,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.1.529,Omicron,VOC,VOC,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.621,Mu,VOI,VOI,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,C.37,Lambda,VOI,VOI,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,AY.4.2,"",VOI,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,C.36+S:L452R,"",VUM,"",FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.1.318,"",VUM,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,P.1+S:P681H,"",VUM,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.2+S:K417N,"",VUM,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,C.1.2,"",VUM,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.2+S:E484del,"",VUM,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.2+S:Q613H,"",VUM,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.2+S:Q677H,"",VUM,"",TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.640,"",VUM,"",FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.1.7,Alpha,DEV,VOI,FALSE,203,1
3,2021-12-17T12:31:14Z,2020-12-14,B.1.427/B.1.429,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.525,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.617.1,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.620,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.214.2,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.526,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.1.519,"",DEV,VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,R.1,"","",VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.466.2,"","",VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,C.36.3,"","",VUM,TRUE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.1.523,"","",VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.619,"","",VUM,FALSE,203,0
3,2021-12-17T12:31:14Z,2020-12-14,B.1.630,"","",VUM,FALSE,203,0
