Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,May_include_samples_listed_before,Sample_size,Variant_cases
3,2022-05-05T10:56:26Z,2020-11-30,B.1.617.2,Delta,VOC,VOC,FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,B.1.1.529,Omicron,VOC,VOC,FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,BA.1,"",VOC,VOC,TRUE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,BA.2,"",VOC,VOC,TRUE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,BA.4,"",VOI,VOC,TRUE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,BA.5,"",VOI,VOC,TRUE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,XD,"",VUM,VUM,FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,BA.3,"",VUM,VOC,TRUE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,B.1.640,"",DEV,VUM,FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,B.1.351,Beta,DEV,"",FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,P.1,Gamma,DEV,"",FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,B.1.1.7,Alpha,DEV,"",FALSE,75,1
3,2022-05-05T10:56:26Z,2020-11-30,B.1.621,Mu,DEV,"",FALSE,75,0
3,2022-05-05T10:56:26Z,2020-11-30,C.37,Lambda,DEV,"",FALSE,75,0
3,2022-05-05T10:56:26Z,2020-12-07,B.1.617.2,Delta,VOC,VOC,FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,B.1.1.529,Omicron,VOC,VOC,FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,BA.1,"",VOC,VOC,TRUE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,BA.2,"",VOC,VOC,TRUE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,BA.4,"",VOI,VOC,TRUE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,BA.5,"",VOI,VOC,TRUE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,XD,"",VUM,VUM,FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,BA.3,"",VUM,VOC,TRUE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,B.1.640,"",DEV,VUM,FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,B.1.351,Beta,DEV,"",FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,P.1,Gamma,DEV,"",FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,B.1.1.7,Alpha,DEV,"",FALSE,127,1
3,2022-05-05T10:56:26Z,2020-12-07,B.1.621,Mu,DEV,"",FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-07,C.37,Lambda,DEV,"",FALSE,127,0
3,2022-05-05T10:56:26Z,2020-12-14,B.1.617.2,Delta,VOC,VOC,FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,B.1.1.529,Omicron,VOC,VOC,FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,BA.1,"",VOC,VOC,TRUE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,BA.2,"",VOC,VOC,TRUE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,BA.4,"",VOI,VOC,TRUE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,BA.5,"",VOI,VOC,TRUE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,XD,"",VUM,VUM,FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,BA.3,"",VUM,VOC,TRUE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,B.1.640,"",DEV,VUM,FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,B.1.351,Beta,DEV,"",FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,P.1,Gamma,DEV,"",FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,B.1.1.7,Alpha,DEV,"",FALSE,203,1
3,2022-05-05T10:56:26Z,2020-12-14,B.1.621,Mu,DEV,"",FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-14,C.37,Lambda,DEV,"",FALSE,203,0
3,2022-05-05T10:56:26Z,2020-12-21,B.1.617.2,Delta,VOC,VOC,FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,B.1.1.529,Omicron,VOC,VOC,FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,BA.1,"",VOC,VOC,TRUE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,BA.2,"",VOC,VOC,TRUE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,BA.4,"",VOI,VOC,TRUE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,BA.5,"",VOI,VOC,TRUE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,XD,"",VUM,VUM,FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,BA.3,"",VUM,VOC,TRUE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,B.1.640,"",DEV,VUM,FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,B.1.351,Beta,DEV,"",FALSE,257,1
3,2022-05-05T10:56:26Z,2020-12-21,P.1,Gamma,DEV,"",FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,B.1.1.7,Alpha,DEV,"",FALSE,257,5
3,2022-05-05T10:56:26Z,2020-12-21,B.1.621,Mu,DEV,"",FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-21,C.37,Lambda,DEV,"",FALSE,257,0
3,2022-05-05T10:56:26Z,2020-12-28,B.1.617.2,Delta,VOC,VOC,FALSE,207,0
3,2022-05-05T10:56:26Z,2020-12-28,B.1.1.529,Omicron,VOC,VOC,FALSE,207,0
3,2022-05-05T10:56:26Z,2020-12-28,BA.1,"",VOC,VOC,TRUE,207,0
3,2022-05-05T10:56:26Z,2020-12-28,BA.2,"",VOC,VOC,TRUE,207,0
3,2022-05-05T10:56:26Z,2020-12-28,BA.4,"",VOI,VOC,TRUE,207,0
3,2022-05-05T10:56:26Z,2020-12-28,BA.5,"",VOI,VOC,TRUE,207,0
