Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-16T12:56:39Z,2021-01-11,C.37,Lambda,VOI,303,0
1,2021-09-16T12:56:39Z,2021-01-11,B.1.1.7,Alpha,"",303,60
1,2021-09-16T12:56:39Z,2021-01-11,B.1.525,Eta,"",303,0
1,2021-09-16T12:56:39Z,2021-01-11,B.1.617.1,Kappa,"",303,0
1,2021-09-16T12:56:39Z,2021-01-11,B.1.526,Iota,"",303,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.351,Beta,VOC,651,3
1,2021-09-16T12:56:39Z,2021-01-18,P.1,Gamma,VOC,651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.617.2,Delta,VOC,651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.620,"",VOI,651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.621,Mu,VOI,651,0
1,2021-09-16T12:56:39Z,2021-01-18,C.37,Lambda,VOI,651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.1.7,Alpha,"",651,158
1,2021-09-16T12:56:39Z,2021-01-18,B.1.525,Eta,"",651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.617.1,Kappa,"",651,0
1,2021-09-16T12:56:39Z,2021-01-18,B.1.526,Iota,"",651,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.351,Beta,VOC,842,14
1,2021-09-16T12:56:39Z,2021-01-25,P.1,Gamma,VOC,842,1
1,2021-09-16T12:56:39Z,2021-01-25,B.1.617.2,Delta,VOC,842,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.620,"",VOI,842,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.621,Mu,VOI,842,0
1,2021-09-16T12:56:39Z,2021-01-25,C.37,Lambda,VOI,842,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.1.7,Alpha,"",842,212
1,2021-09-16T12:56:39Z,2021-01-25,B.1.525,Eta,"",842,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.617.1,Kappa,"",842,0
1,2021-09-16T12:56:39Z,2021-01-25,B.1.526,Iota,"",842,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.351,Beta,VOC,898,18
1,2021-09-16T12:56:39Z,2021-02-01,P.1,Gamma,VOC,898,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.617.2,Delta,VOC,898,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.620,"",VOI,898,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.621,Mu,VOI,898,0
1,2021-09-16T12:56:39Z,2021-02-01,C.37,Lambda,VOI,898,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.1.7,Alpha,"",898,205
1,2021-09-16T12:56:39Z,2021-02-01,B.1.525,Eta,"",898,2
1,2021-09-16T12:56:39Z,2021-02-01,B.1.617.1,Kappa,"",898,0
1,2021-09-16T12:56:39Z,2021-02-01,B.1.526,Iota,"",898,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.351,Beta,VOC,955,31
1,2021-09-16T12:56:39Z,2021-02-08,P.1,Gamma,VOC,955,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.617.2,Delta,VOC,955,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.620,"",VOI,955,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.621,Mu,VOI,955,0
1,2021-09-16T12:56:39Z,2021-02-08,C.37,Lambda,VOI,955,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.1.7,Alpha,"",955,256
1,2021-09-16T12:56:39Z,2021-02-08,B.1.525,Eta,"",955,1
1,2021-09-16T12:56:39Z,2021-02-08,B.1.617.1,Kappa,"",955,0
1,2021-09-16T12:56:39Z,2021-02-08,B.1.526,Iota,"",955,0
1,2021-09-16T12:56:39Z,2021-02-15,B.1.351,Beta,VOC,1043,32
1,2021-09-16T12:56:39Z,2021-02-15,P.1,Gamma,VOC,1043,1
1,2021-09-16T12:56:39Z,2021-02-15,B.1.617.2,Delta,VOC,1043,0
1,2021-09-16T12:56:39Z,2021-02-15,B.1.620,"",VOI,1043,0
1,2021-09-16T12:56:39Z,2021-02-15,B.1.621,Mu,VOI,1043,0
1,2021-09-16T12:56:39Z,2021-02-15,C.37,Lambda,VOI,1043,0
1,2021-09-16T12:56:39Z,2021-02-15,B.1.1.7,Alpha,"",1043,613
1,2021-09-16T12:56:39Z,2021-02-15,B.1.525,Eta,"",1043,4
1,2021-09-16T12:56:39Z,2021-02-15,B.1.617.1,Kappa,"",1043,0
1,2021-09-16T12:56:39Z,2021-02-15,B.1.526,Iota,"",1043,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.351,Beta,VOC,1037,19
1,2021-09-16T12:56:39Z,2021-02-22,P.1,Gamma,VOC,1037,3
1,2021-09-16T12:56:39Z,2021-02-22,B.1.617.2,Delta,VOC,1037,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.620,"",VOI,1037,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.621,Mu,VOI,1037,0
1,2021-09-16T12:56:39Z,2021-02-22,C.37,Lambda,VOI,1037,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.1.7,Alpha,"",1037,794
1,2021-09-16T12:56:39Z,2021-02-22,B.1.525,Eta,"",1037,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.617.1,Kappa,"",1037,0
1,2021-09-16T12:56:39Z,2021-02-22,B.1.526,Iota,"",1037,0
1,2021-09-16T12:56:39Z,2021-03-01,B.1.351,Beta,VOC,1515,24
1,2021-09-16T12:56:39Z,2021-03-01,P.1,Gamma,VOC,1515,10
1,2021-09-16T12:56:39Z,2021-03-01,B.1.617.2,Delta,VOC,1515,0
1,2021-09-16T12:56:39Z,2021-03-01,B.1.620,"",VOI,1515,0
1,2021-09-16T12:56:39Z,2021-03-01,B.1.621,Mu,VOI,1515,0
1,2021-09-16T12:56:39Z,2021-03-01,C.37,Lambda,VOI,1515,0
1,2021-09-16T12:56:39Z,2021-03-01,B.1.1.7,Alpha,"",1515,1269
1,2021-09-16T12:56:39Z,2021-03-01,B.1.525,Eta,"",1515,7
1,2021-09-16T12:56:39Z,2021-03-01,B.1.617.1,Kappa,"",1515,0
1,2021-09-16T12:56:39Z,2021-03-01,B.1.526,Iota,"",1515,0
1,2021-09-16T12:56:39Z,2021-03-08,B.1.351,Beta,VOC,1973,56
1,2021-09-16T12:56:39Z,2021-03-08,P.1,Gamma,VOC,1973,13
1,2021-09-16T12:56:39Z,2021-03-08,B.1.617.2,Delta,VOC,1973,0
1,2021-09-16T12:56:39Z,2021-03-08,B.1.620,"",VOI,1973,0
