Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,9-9-2021 13:04,30-11-2020,B.1.351,Beta,VOC,107,0
1,9-9-2021 13:04,30-11-2020,P.1,Gamma,VOC,107,0
1,9-9-2021 13:04,30-11-2020,B.1.617.2,Delta,VOC,107,0
1,9-9-2021 13:04,30-11-2020,B.1.620,"",VOI,107,0
1,9-9-2021 13:04,30-11-2020,B.1.621,Mu,VOI,107,0
1,9-9-2021 13:04,30-11-2020,C.37,Lambda,VOI,107,0
1,9-9-2021 13:04,30-11-2020,B.1.1.7,Alpha,"",107,1
1,9-9-2021 13:04,30-11-2020,B.1.525,Eta,"",107,0
1,9-9-2021 13:04,30-11-2020,B.1.617.1,Kappa,"",107,0
1,9-9-2021 13:04,30-11-2020,B.1.526,Iota,"",107,0
1,9-9-2021 13:04,7-12-2020,B.1.351,Beta,VOC,127,0
1,9-9-2021 13:04,7-12-2020,P.1,Gamma,VOC,127,0
1,9-9-2021 13:04,7-12-2020,B.1.617.2,Delta,VOC,127,0
1,9-9-2021 13:04,7-12-2020,B.1.620,"",VOI,127,0
1,9-9-2021 13:04,7-12-2020,B.1.621,Mu,VOI,127,0
1,9-9-2021 13:04,7-12-2020,C.37,Lambda,VOI,127,0
1,9-9-2021 13:04,7-12-2020,B.1.1.7,Alpha,"",127,1
1,9-9-2021 13:04,7-12-2020,B.1.525,Eta,"",127,0
1,9-9-2021 13:04,7-12-2020,B.1.617.1,Kappa,"",127,0
1,9-9-2021 13:04,7-12-2020,B.1.526,Iota,"",127,0
1,9-9-2021 13:04,14-12-2020,B.1.351,Beta,VOC,203,0
1,9-9-2021 13:04,14-12-2020,P.1,Gamma,VOC,203,0
1,9-9-2021 13:04,14-12-2020,B.1.617.2,Delta,VOC,203,0
1,9-9-2021 13:04,14-12-2020,B.1.620,"",VOI,203,0
1,9-9-2021 13:04,14-12-2020,B.1.621,Mu,VOI,203,0
1,9-9-2021 13:04,14-12-2020,C.37,Lambda,VOI,203,0
1,9-9-2021 13:04,14-12-2020,B.1.1.7,Alpha,"",203,1
1,9-9-2021 13:04,14-12-2020,B.1.525,Eta,"",203,0
1,9-9-2021 13:04,14-12-2020,B.1.617.1,Kappa,"",203,0
1,9-9-2021 13:04,14-12-2020,B.1.526,Iota,"",203,0
1,9-9-2021 13:04,21-12-2020,B.1.351,Beta,VOC,257,1
1,9-9-2021 13:04,21-12-2020,P.1,Gamma,VOC,257,0
1,9-9-2021 13:04,21-12-2020,B.1.617.2,Delta,VOC,257,0
1,9-9-2021 13:04,21-12-2020,B.1.620,"",VOI,257,0
1,9-9-2021 13:04,21-12-2020,B.1.621,Mu,VOI,257,0
1,9-9-2021 13:04,21-12-2020,C.37,Lambda,VOI,257,0
1,9-9-2021 13:04,21-12-2020,B.1.1.7,Alpha,"",257,5
1,9-9-2021 13:04,21-12-2020,B.1.525,Eta,"",257,0
1,9-9-2021 13:04,21-12-2020,B.1.617.1,Kappa,"",257,0
1,9-9-2021 13:04,21-12-2020,B.1.526,Iota,"",257,0
1,9-9-2021 13:04,28-12-2020,B.1.351,Beta,VOC,207,1
1,9-9-2021 13:04,28-12-2020,P.1,Gamma,VOC,207,0
1,9-9-2021 13:04,28-12-2020,B.1.617.2,Delta,VOC,207,0
1,9-9-2021 13:04,28-12-2020,B.1.620,"",VOI,207,0
1,9-9-2021 13:04,28-12-2020,B.1.621,Mu,VOI,207,0
1,9-9-2021 13:04,28-12-2020,C.37,Lambda,VOI,207,0
1,9-9-2021 13:04,28-12-2020,B.1.1.7,Alpha,"",207,9
1,9-9-2021 13:04,28-12-2020,B.1.525,Eta,"",207,0
1,9-9-2021 13:04,28-12-2020,B.1.617.1,Kappa,"",207,0
1,9-9-2021 13:04,28-12-2020,B.1.526,Iota,"",207,0
1,9-9-2021 13:04,4-1-2021,B.1.351,Beta,VOC,356,0
1,9-9-2021 13:04,4-1-2021,P.1,Gamma,VOC,356,0
1,9-9-2021 13:04,4-1-2021,B.1.617.2,Delta,VOC,356,0
1,9-9-2021 13:04,4-1-2021,B.1.620,"",VOI,356,0
1,9-9-2021 13:04,4-1-2021,B.1.621,Mu,VOI,356,0
1,9-9-2021 13:04,4-1-2021,C.37,Lambda,VOI,356,0
1,9-9-2021 13:04,4-1-2021,B.1.1.7,Alpha,"",356,45
1,9-9-2021 13:04,4-1-2021,B.1.525,Eta,"",356,0
1,9-9-2021 13:04,4-1-2021,B.1.617.1,Kappa,"",356,0
1,9-9-2021 13:04,4-1-2021,B.1.526,Iota,"",356,0
1,9-9-2021 13:04,11-1-2021,B.1.351,Beta,VOC,303,3
1,9-9-2021 13:04,11-1-2021,P.1,Gamma,VOC,303,0
1,9-9-2021 13:04,11-1-2021,B.1.617.2,Delta,VOC,303,0
1,9-9-2021 13:04,11-1-2021,B.1.620,"",VOI,303,0
1,9-9-2021 13:04,11-1-2021,B.1.621,Mu,VOI,303,0
1,9-9-2021 13:04,11-1-2021,C.37,Lambda,VOI,303,0
1,9-9-2021 13:04,11-1-2021,B.1.1.7,Alpha,"",303,60
1,9-9-2021 13:04,11-1-2021,B.1.525,Eta,"",303,0
1,9-9-2021 13:04,11-1-2021,B.1.617.1,Kappa,"",303,0
1,9-9-2021 13:04,11-1-2021,B.1.526,Iota,"",303,0
1,9-9-2021 13:04,18-1-2021,B.1.351,Beta,VOC,652,3
1,9-9-2021 13:04,18-1-2021,P.1,Gamma,VOC,652,0
1,9-9-2021 13:04,18-1-2021,B.1.617.2,Delta,VOC,652,0
1,9-9-2021 13:04,18-1-2021,B.1.620,"",VOI,652,0
1,9-9-2021 13:04,18-1-2021,B.1.621,Mu,VOI,652,0
1,9-9-2021 13:04,18-1-2021,C.37,Lambda,VOI,652,0
1,9-9-2021 13:04,18-1-2021,B.1.1.7,Alpha,"",652,158
1,9-9-2021 13:04,18-1-2021,B.1.525,Eta,"",652,0
1,9-9-2021 13:04,18-1-2021,B.1.617.1,Kappa,"",652,0
1,9-9-2021 13:04,18-1-2021,B.1.526,Iota,"",652,0
1,9-9-2021 13:04,25-1-2021,B.1.351,Beta,VOC,842,14
1,9-9-2021 13:04,25-1-2021,P.1,Gamma,VOC,842,1
1,9-9-2021 13:04,25-1-2021,B.1.617.2,Delta,VOC,842,0
