"Week","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+","Week","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+"
"2022-21","104","366","1053","1346","1097","1320","864","547","233","67","2022-21","1.49","5.23","15.05","19.24","15.68","18.87","12.35","7.82","3.33","0.96"
"2022-22","111","576","1580","1731","1582","1880","1198","709","307","93","2022-22","1.14","5.9","16.18","17.72","16.2","19.25","12.27","7.26","3.14","0.95"
"2022-23","195","795","2211","2536","2416","2846","1660","1124","465","136","2022-23","1.36","5.53","15.37","17.63","16.8","19.79","11.54","7.81","3.23","0.95"
"2022-24","340","1441","3839","4334","4273","5061","2812","1693","805","197","2022-24","1.37","5.81","15.48","17.48","17.23","20.41","11.34","6.83","3.25","0.79"
"2022-25","522","1913","5021","5849","5888","6696","3741","2324","1107","302","2022-25","1.56","5.73","15.05","17.53","17.65","20.07","11.21","6.97","3.32","0.91"
"2022-26","649","2090","6269","6841","6587","7240","4321","2767","1366","333","2022-26","1.69","5.43","16.3","17.79","17.13","18.82","11.23","7.19","3.55","0.87"
"2022-27","757","2628","7289","7832","6896","7566","4502","3020","1520","465","2022-27","1.78","6.19","17.16","18.44","16.24","17.81","10.6","7.11","3.58","1.09"
"2022-28","673","2344","6210","6799","5879","6747","4464","2714","1506","450","2022-28","1.78","6.2","16.43","17.99","15.56","17.86","11.81","7.18","3.99","1.19"
"2022-29","85","274","678","748","676","832","543","369","150","24","2022-29","1.94","6.26","15.48","17.08","15.44","19","12.4","8.43","3.43","0.55"
"Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Aantal besmettingen","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage"
