Version,Date_of_report,Date_of_publication,Security_region_name,Security_region_code,Source_and_contact_tracing_phase,Total_reported,Reports_with_settings,Setting_reported,Number_settings_reported
4,2022-03-02T10:00:00Z,2020-12-15,Flevoland,VR25,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Groningen,VR01,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Fryslân,VR02,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Drenthe,VR03,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,IJsselland,VR04,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Twente,VR05,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Noord- en Oost-Gelderland,VR06,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Gelderland-Midden,VR07,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Gelderland-Zuid,VR08,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Utrecht,VR09,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Noord-Holland-Noord,VR10,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Zaanstreek-Waterland,VR11,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Kennemerland,VR12,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Amsterdam-Amstelland,VR13,4,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Gooi en Vechtstreek,VR14,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Haaglanden,VR15,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Hollands-Midden,VR16,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Rotterdam-Rijnmond,VR17,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Zuid-Holland-Zuid,VR18,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Zeeland,VR19,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Midden- en West-Brabant,VR20,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Brabant-Noord,VR21,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Brabant-Zuidoost,VR22,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Limburg-Noord,VR23,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Limburg-Zuid,VR24,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-16,Flevoland,VR25,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Onbekend,Onbekend,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Groningen,VR01,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Fryslân,VR02,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Drenthe,VR03,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,IJsselland,VR04,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Twente,VR05,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Noord- en Oost-Gelderland,VR06,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Gelderland-Midden,VR07,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Gelderland-Zuid,VR08,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Utrecht,VR09,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Noord-Holland-Noord,VR10,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Zaanstreek-Waterland,VR11,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Kennemerland,VR12,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Amsterdam-Amstelland,VR13,4,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Gooi en Vechtstreek,VR14,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Haaglanden,VR15,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Hollands-Midden,VR16,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Rotterdam-Rijnmond,VR17,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Zuid-Holland-Zuid,VR18,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Zeeland,VR19,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Midden- en West-Brabant,VR20,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Brabant-Noord,VR21,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Brabant-Zuidoost,VR22,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Limburg-Noord,VR23,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Limburg-Zuid,VR24,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-17,Flevoland,VR25,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Onbekend,Onbekend,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Groningen,VR01,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Fryslân,VR02,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Drenthe,VR03,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,IJsselland,VR04,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Twente,VR05,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Noord- en Oost-Gelderland,VR06,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Gelderland-Midden,VR07,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Gelderland-Zuid,VR08,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Utrecht,VR09,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Noord-Holland-Noord,VR10,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Zaanstreek-Waterland,VR11,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Kennemerland,VR12,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Amsterdam-Amstelland,VR13,4,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Gooi en Vechtstreek,VR14,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Haaglanden,VR15,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Hollands-Midden,VR16,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Rotterdam-Rijnmond,VR17,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Zuid-Holland-Zuid,VR18,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Zeeland,VR19,3,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Midden- en West-Brabant,VR20,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Brabant-Noord,VR21,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Brabant-Zuidoost,VR22,2,-9999,-9999,-9999,-9999
4,2022-03-02T10:00:00Z,2020-12-18,Limburg-Noord,VR23,3,-9999,-9999,-9999,-9999
