"Datum","IC_Bedden_COVID_Nederland","IC_Bedden_COVID_Internationaal","IC_Bedden_Non_COVID_Nederland","Kliniek_Bedden_Nederland","IC_Nieuwe_Opnames_COVID_Nederland","Kliniek_Nieuwe_Opnames_COVID_Nederland"
"15-3-2020",120,NA,NA,500,NA,NA
"14-3-2020",96,NA,NA,424,NA,NA
"13-3-2020",79,NA,NA,350,NA,NA
"12-3-2020",68,NA,NA,283,NA,NA
"11-3-2020",48,NA,NA,215,NA,NA
"10-3-2020",39,NA,NA,174,NA,NA
"9-3-2020",32,NA,NA,141,NA,NA
"8-3-2020",27,NA,NA,108,NA,NA
"7-3-2020",21,NA,NA,93,NA,NA
"6-3-2020",19,NA,NA,77,NA,NA
"5-3-2020",15,NA,NA,65,NA,NA
"4-3-2020",15,NA,NA,53,NA,NA
"3-3-2020",12,NA,NA,40,NA,NA
"2-3-2020",10,NA,NA,34,NA,NA
"1-3-2020",11,NA,NA,20,NA,NA
"29-2-2020",9,NA,NA,10,NA,NA
"28-2-2020",8,NA,NA,9,NA,NA
"27-2-2020",7,NA,NA,1,NA,NA
