"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Blaricum","GM0376",2022-08-18,5440,5440,5428,5425,5417,495,495,2021-01-01,4945,0,12,23,9.09090909090908,"&#x279A;",12385,0,96.8914008881712,185.708518368995,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"Bloemendaal","GM0377",2022-08-18,11263,11262,11252,11252,11239,797,797,2021-01-01,10466,1,11,24,-15.3846153846154,"&#x2798;",23679,4.22315131551164,46.454664470628,101.355631572279,"&#128721;","&#128721;","&#128721;","&#128721;"
"Castricum","GM0383",2022-08-18,16320,16319,16292,16287,16270,1351,1351,2021-01-01,14969,1,28,50,27.2727272727273,"&#x279A;",36265,2.75747966358748,77.2094305804495,137.873983179374,"&#128721;","&#128721;","&#128721;","&#128721;"
"Diemen","GM0384",2022-08-18,15285,15285,15270,15263,15232,1827,1827,2021-01-01,13458,0,15,53,-60.5263157894737,"&#x2798;&#x2798;",32011,0,46.8588922557871,165.568085970448,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Edam-Volendam","GM0385",2022-08-18,19591,19591,19575,19574,19556,1740,1740,2021-01-01,17851,0,16,35,-15.7894736842105,"&#x2798;",36439,0,43.9089986004007,96.0509344383765,"&#128721;","&#128721;","&#128721;","&#128721;"
"Enkhuizen","GM0388",2022-08-18,7736,7736,7724,7723,7718,1016,1016,2021-01-01,6720,0,12,18,100,"&#x279A;",18652,0,64.3362642075917,96.5043963113875,"&#128721;","&#128721;","&#128721;","&#128999;"
"Haarlem","GM0392",2022-08-18,78427,78426,78310,78296,78185,6600,6600,2021-01-01,71827,1,117,242,-6.4,"&#x2798;",163065,0.613252384018643,71.7505289301812,148.407076932512,"&#128721;","&#128721;","&#128721;","&#128721;"
"Haarlemmermeer","GM0394",2022-08-18,74882,74879,74795,74781,74688,7162,7162,2021-01-01,67720,3,87,194,-18.6915887850467,"&#x2798;",159342,1.88274277968144,54.5995406107618,121.750699752733,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heemskerk","GM0396",2022-08-18,18426,18426,18413,18410,18381,1748,1748,2021-01-01,16678,0,13,45,-59.375,"&#x2798;&#x2798;",39145,0,33.2098607740452,114.957210371695,"&#128999;","&#128999;","&#128721;","&#128721;"
"Heemstede","GM0397",2022-08-18,13114,13112,13092,13090,13078,1017,1017,2021-01-01,12097,2,22,36,57.1428571428571,"&#x279A;",27578,7.25215751686127,79.7737326854739,130.538835303503,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heiloo","GM0399",2022-08-18,10562,10562,10553,10553,10542,817,817,2021-01-01,9745,0,9,20,-18.1818181818182,"&#x2798;",24430,0,36.8399508800655,81.8665575112566,"&#128721;","&#128721;","&#128721;","&#128721;"
"Den Helder","GM0400",2022-08-18,24999,24996,24961,24958,24923,1700,1700,2021-01-01,23299,3,38,76,0,"-",56356,5.32330186670452,67.4284903115906,134.856980623181,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hilversum","GM0402",2022-08-18,40820,40816,40773,40763,40723,3456,3456,2021-01-01,37364,4,47,97,-6.00000000000001,"&#x2798;",91840,4.35540069686411,51.1759581881533,105.618466898955,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hoorn","GM0405",2022-08-18,35303,35303,35273,35266,35229,3126,3126,2021-01-01,32177,0,30,74,-31.8181818181818,"&#x2798;",74397,0,40.3242066212347,99.466376332379,"&#128721;","&#128721;","&#128721;","&#128721;"
"Huizen","GM0406",2022-08-18,18826,18825,18803,18799,18772,2251,2251,2021-01-01,16575,1,23,54,-25.8064516129032,"&#x2798;",40962,2.44128704653093,56.1496020702114,131.82950051267,"&#128721;","&#128721;","&#128721;","&#128721;"
"Landsmeer","GM0415",2022-08-18,5729,5729,5723,5723,5707,530,530,2021-01-01,5199,0,6,22,-62.5,"&#x2798;&#x2798;",11565,0,51.8806744487678,190.229139645482,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Laren","GM0417",2022-08-18,4935,4931,4919,4919,4914,529,529,2021-01-01,4406,4,16,21,220,"&#x279A;&#x279A;",11571,34.5691815746262,138.276726298505,181.488203266788,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
"Medemblik","GM0420",2022-08-18,20555,20554,20541,20539,20532,2086,2086,2021-01-01,18469,1,14,23,55.5555555555556,"&#x279A;",45478,2.1988653854611,30.7841153964554,50.5739038656053,"&#128999;","&#128999;","&#128999;","&#128999;"
"Oostzaan","GM0431",2022-08-18,4708,4708,4705,4705,4692,540,540,2021-01-01,4168,0,3,16,-76.9230769230769,"&#x2798;&#x2798;",9665,0,31.0398344542162,165.54578375582,"&#128999;","&#128999;","&#128999;","&#x1F7E3;"
"Opmeer","GM0432",2022-08-18,5646,5646,5640,5636,5631,466,466,2021-01-01,5180,0,6,15,-33.3333333333333,"&#x2798;",12126,0,49.480455220188,123.70113805047,"&#128721;","&#128721;","&#128721;","&#128721;"
"Ouder-Amstel","GM0437",2022-08-18,6960,6960,6953,6953,6948,755,755,2021-01-01,6205,0,7,12,40,"&#x279A;",14187,0,49.3409459364207,84.5844787481497,"&#128721;","&#128721;","&#128721;","&#128721;"
"Purmerend","GM0439",2022-08-18,42462,42462,42409,42401,42311,3423,3423,2021-01-01,39039,0,53,151,-45.9183673469388,"&#x2798;",92504,0,57.2948196834731,163.236184381216,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Schagen","GM0441",2022-08-18,20707,20706,20683,20678,20659,1846,1846,2021-01-01,18861,1,24,48,0,"-",46856,2.13419839508281,51.2207614819874,102.441522963975,"&#128721;","&#128721;","&#128721;","&#128721;"
"Texel","GM0448",2022-08-18,4190,4190,4190,4190,4190,256,256,2021-01-01,3934,0,0,0,0,"-",13690,0,0,0,"&#9989;","&#9989;","&#9989;","&#9989;"
"Uitgeest","GM0450",2022-08-18,6849,6849,6838,6836,6826,680,680,2021-01-01,6169,0,11,23,-8.33333333333334,"&#x2798;",13534,0,81.2767843948574,169.942367371065,"&#128721;","&#128721;","&#128721;","&#128721;"
"Uithoorn","GM0451",2022-08-18,14362,14362,14346,14344,14328,1262,1262,2021-01-01,13100,0,16,34,-11.1111111111111,"&#x2798;",31004,0,51.606244355567,109.66326925558,"&#128721;","&#128721;","&#128721;","&#128721;"
"Velsen","GM0453",2022-08-18,31840,31837,31780,31765,31708,3140,3140,2021-01-01,28700,3,60,132,-16.6666666666667,"&#x2798;",68452,4.38263308595804,87.6526617191609,192.835855782154,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Zandvoort","GM0473",2022-08-18,7044,7044,7033,7030,7017,684,684,2021-01-01,6360,0,11,27,-31.25,"&#x2798;",17161,0,64.098828739584,157.333488724433,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zaanstad","GM0479",2022-08-18,72592,72588,72506,72498,72384,8221,8221,2021-01-01,64371,4,86,208,-29.5081967213115,"&#x2798;",157375,2.54169976171565,54.6465448768864,132.168387609214,"&#128721;","&#128721;","&#128721;","&#128721;"
"Alblasserdam","GM0482",2022-08-18,9956,9956,9945,9938,9930,1297,1297,2021-01-01,8659,0,11,26,-26.6666666666667,"&#x2798;",20129,0,54.6475234735953,129.166873664862,"&#128721;","&#128721;","&#128721;","&#128721;"
"Alphen aan den Rijn","GM0484",2022-08-18,53485,53485,53418,53409,53333,6092,6092,2021-01-01,47393,0,67,152,-21.1764705882353,"&#x2798;",113026,0,59.2783961212464,134.482331498947,"&#128721;","&#128721;","&#128721;","&#128721;"
"Barendrecht","GM0489",2022-08-18,24210,24207,24174,24170,24135,2770,2770,2021-01-01,21440,3,36,75,-7.69230769230769,"&#x2798;",48712,6.15864674002299,73.9037608802759,153.966168500575,"&#128721;","&#128721;","&#128721;","&#128721;"
"Drechterland","GM0498",2022-08-18,9102,9102,9097,9096,9086,903,903,2021-01-01,8199,0,5,16,-54.5454545454545,"&#x2798;&#x2798;",20006,0,24.9925022493252,79.9760071978406,"&#128999;","&#128999;","&#128999;","&#128721;"
"Brielle","GM0501",2022-08-18,7613,7613,7600,7599,7586,746,746,2021-01-01,6867,0,13,27,-7.14285714285714,"&#x2798;",17750,0,73.2394366197183,152.112676056338,"&#128721;","&#128721;","&#128721;","&#128721;"
"Capelle aan den IJssel","GM0502",2022-08-18,30462,30462,30427,30417,30372,3808,3808,2021-01-01,26654,0,35,90,-36.3636363636364,"&#x2798;",67281,0,52.0206298955128,133.767334017033,"&#128721;","&#128721;","&#128721;","&#128721;"
"Delft","GM0503",2022-08-18,48166,48165,48116,48109,48032,5029,5029,2021-01-01,43137,1,50,134,-40.4761904761905,"&#x2798;",104638,0.955675758328714,47.7837879164357,128.060551616048,"&#128721;","&#128721;","&#128721;","&#128721;"
"Dordrecht","GM0505",2022-08-18,57271,57258,57179,57171,57076,6991,6991,2021-01-01,50280,13,92,195,-10.6796116504854,"&#x2798;",119589,10.8705650185218,76.9301524387695,163.058475277827,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gorinchem","GM0512",2022-08-18,18437,18434,18421,18417,18406,2083,2083,2021-01-01,16354,3,16,31,6.66666666666667,"&#x279A;",37858,7.92434888266681,42.2631940408896,81.8849384542237,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gouda","GM0513",2022-08-18,35367,35367,35300,35292,35240,4136,4136,2021-01-01,31231,0,67,127,11.6666666666667,"&#x279A;",74131,0,90.380542553048,171.318341854285,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"'s-Gravenhage","GM0518",2022-08-18,239051,239050,238771,238710,238350,28625,28625,2021-01-01,210426,1,280,701,-33.4916864608076,"&#x2798;",553769,0.180580711451887,50.5625992065284,126.587078727773,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hardinxveld-Giessendam","GM0523",2022-08-18,9897,9897,9888,9888,9882,1164,1164,2021-01-01,8733,0,9,15,50,"&#x279A;",18501,0,48.6460191341009,81.0766985568348,"&#128721;","&#128721;","&#128721;","&#128999;"
"Hellevoetsluis","GM0530",2022-08-18,16276,16276,16251,16245,16222,1571,1571,2021-01-01,14705,0,25,54,-13.7931034482759,"&#x2798;",40620,0,61.5460364352536,132.939438700148,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hendrik-Ido-Ambacht","GM0531",2022-08-18,16124,16122,16112,16112,16100,1769,1769,2021-01-01,14355,2,12,24,0,"-",31767,6.29584159662543,37.7750495797526,75.5500991595052,"&#128721;","&#128721;","&#128999;","&#128721;"
"Stede Broec","GM0532",2022-08-18,9674,9674,9669,9668,9652,987,987,2021-01-01,8687,0,5,22,-70.5882352941176,"&#x2798;&#x2798;",21943,0,22.786309984961,100.259763933829,"&#128999;","&#128999;","&#128999;","&#128721;"
"Hillegom","GM0534",2022-08-18,9845,9845,9836,9836,9830,862,862,2021-01-01,8983,0,9,15,50,"&#x279A;",22295,0,40.3677954698363,67.2796591163938,"&#128721;","&#128721;","&#128721;","&#128999;"
"Katwijk","GM0537",2022-08-18,33852,33852,33808,33805,33775,4184,4184,2021-01-01,29668,0,44,77,33.3333333333333,"&#x279A;",66160,0,66.5054413542926,116.384522370012,"&#128721;","&#128721;","&#128721;","&#128721;"
"Krimpen aan den IJssel","GM0542",2022-08-18,13674,13674,13662,13661,13644,1889,1889,2021-01-01,11785,0,12,30,-33.3333333333333,"&#x2798;",29431,0,40.7733342394074,101.933335598519,"&#128721;","&#128721;","&#128721;","&#128721;"
"Leiden","GM0546",2022-08-18,60117,60115,60048,60030,59943,5631,5631,2021-01-01,54486,2,69,174,-34.2857142857143,"&#x2798;",125304,1.59611824043925,55.0660792951542,138.862286918215,"&#128721;","&#128721;","&#128721;","&#128721;"
"Leiderdorp","GM0547",2022-08-18,12315,12315,12302,12299,12284,1224,1224,2021-01-01,11091,0,13,31,-27.7777777777778,"&#x2798;",27443,0,47.3709142586452,112.961410924462,"&#128721;","&#128721;","&#128721;","&#128721;"
"Lisse","GM0553",2022-08-18,10704,10704,10692,10690,10681,1050,1050,2021-01-01,9654,0,12,23,9.09090909090908,"&#x279A;",23005,0,52.1625733536188,99.978265594436,"&#128721;","&#128721;","&#128721;","&#128721;"
"Maassluis","GM0556",2022-08-18,14694,14694,14674,14673,14659,1925,1925,2021-01-01,12769,0,20,35,33.3333333333333,"&#x279A;",34408,0,58.1260172053011,101.720530109277,"&#128721;","&#128721;","&#128721;","&#128721;"
"Nieuwkoop","GM0569",2022-08-18,14425,14425,14415,14411,14392,1417,1417,2021-01-01,13008,0,10,33,-56.5217391304348,"&#x2798;&#x2798;",29284,0,34.148340390657,112.689523289168,"&#128999;","&#128999;","&#128721;","&#128721;"
"Noordwijk","GM0575",2022-08-18,20529,20527,20485,20479,20450,1983,1983,2021-01-01,18546,2,44,79,25.7142857142857,"&#x279A;",44390,4.50551926109484,99.1214237440865,177.968010813246,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"Oegstgeest","GM0579",2022-08-18,11655,11655,11639,11636,11616,1144,1144,2021-01-01,10511,0,16,39,-30.4347826086957,"&#x2798;",25534,0,62.6615493068066,152.737526435341,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oudewater","GM0589",2022-08-18,4596,4596,4595,4595,4593,524,524,2021-01-01,4072,0,1,3,-50,"&#x2798;&#x2798;",10166,0,9.83671060397403,29.5101318119221,"&#128999;","&#128999;","&#128999;","&#128999;"
"Papendrecht","GM0590",2022-08-18,14815,14812,14793,14788,14766,1657,1657,2021-01-01,13158,3,22,49,-18.5185185185185,"&#x2798;",32151,9.33096948772977,68.427109576685,152.405834966253,"&#128721;","&#128721;","&#128721;","&#128721;"
"Ridderkerk","GM0597",2022-08-18,21688,21688,21660,21657,21631,2635,2635,2021-01-01,19053,0,28,57,-3.44827586206896,"-",47058,0,59.5010412682222,121.127119724595,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rotterdam","GM0599",2022-08-18,310279,310279,309893,309812,309400,42151,42151,2021-01-01,268128,0,386,879,-21.7038539553753,"&#x2798;",656338,0,58.8111613223674,133.924898451712,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rijswijk","GM0603",2022-08-18,24809,24809,24773,24763,24717,2696,2696,2021-01-01,22113,0,36,92,-35.7142857142857,"&#x2798;",57220,0,62.9150646627054,160.782943026914,"&#128721;","&#128721;","&#128721;","&#128721;"
"Schiedam","GM0606",2022-08-18,35177,35177,35139,35131,35085,5044,5044,2021-01-01,30133,0,38,92,-29.6296296296296,"&#x2798;",79759,0,47.6435261224439,115.347484296443,"&#128721;","&#128721;","&#128721;","&#128721;"
"Sliedrecht","GM0610",2022-08-18,13069,13067,13053,13050,13032,1627,1627,2021-01-01,11442,2,16,37,-23.8095238095238,"&#x2798;",25942,7.70950582067689,61.6760465654152,142.625857682523,"&#128721;","&#128721;","&#128721;","&#128721;"
"Albrandswaard","GM0613",2022-08-18,13066,13066,13050,13045,13020,1685,1685,2021-01-01,11381,0,16,46,-46.6666666666667,"&#x2798;",25990,0,61.5621392843401,176.991150442478,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Westvoorne","GM0614",2022-08-18,5915,5915,5907,5906,5894,545,545,2021-01-01,5370,0,8,21,-38.4615384615385,"&#x2798;",14950,0,53.5117056856187,140.468227424749,"&#128721;","&#128721;","&#128721;","&#128721;"
"Vlaardingen","GM0622",2022-08-18,33873,33873,33826,33815,33784,4625,4625,2021-01-01,29248,0,47,89,11.9047619047619,"&#x279A;",74119,0,63.4115409004439,120.077173194458,"&#128721;","&#128721;","&#128721;","&#128721;"
"Voorschoten","GM0626",2022-08-18,11352,11352,11335,11333,11302,975,975,2021-01-01,10377,0,17,50,-48.4848484848485,"&#x2798;",25560,0,66.510172143975,195.618153364632,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Waddinxveen","GM0627",2022-08-18,14957,14957,14937,14934,14910,1493,1493,2021-01-01,13464,0,20,47,-25.9259259259259,"&#x2798;",31451,0,63.5909827986392,149.438809576802,"&#128721;","&#128721;","&#128721;","&#128721;"
"Wassenaar","GM0629",2022-08-18,11202,11202,11190,11189,11160,1044,1044,2021-01-01,10158,0,12,42,-60,"&#x2798;&#x2798;",27252,0,44.0334654337296,154.117129018054,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Woerden","GM0632",2022-08-18,26156,26156,26119,26114,26087,2532,2532,2021-01-01,23624,0,37,69,15.625,"&#x279A;",52951,0,69.8759230231724,130.309153745916,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zoetermeer","GM0637",2022-08-18,56564,56564,56489,56473,56352,6149,6149,2021-01-01,50415,0,75,212,-45.2554744525547,"&#x2798;",125840,0,59.5994914176732,168.467895740623,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Zoeterwoude","GM0638",2022-08-18,4627,4627,4626,4626,4614,387,387,2021-01-01,4240,0,1,13,-91.6666666666667,"&#x2798;&#x2798;",9320,0,10.7296137339056,139.484978540773,"&#128999;","&#128999;","&#128999;","&#x1F7E3;"
"Zwijndrecht","GM0642",2022-08-18,20298,20295,20273,20268,20220,2609,2609,2021-01-01,17689,3,25,78,-52.8301886792453,"&#x2798;&#x2798;",44728,6.70720801287784,55.8934001073153,174.387408334824,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Borsele","GM0654",2022-08-18,11211,11211,11203,11200,11184,512,512,2021-01-01,10699,0,8,27,-57.8947368421053,"&#x2798;&#x2798;",22837,0,35.0308709550291,118.229189473223,"&#128721;","&#128721;","&#128721;","&#128721;"
"Goes","GM0664",2022-08-18,18704,18703,18681,18669,18626,912,912,2021-01-01,17792,1,23,78,-58.1818181818182,"&#x2798;&#x2798;",39079,2.55891911256685,58.8551395890376,199.595690780214,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"West Maas en Waal","GM0668",2022-08-18,9815,9815,9809,9808,9798,713,713,2021-01-01,9102,0,6,17,-45.4545454545455,"&#x2798;",19673,0,30.4986529761602,86.4128500991206,"&#128999;","&#128999;","&#128721;","&#128721;"
"Hulst","GM0677",2022-08-18,11793,11791,11772,11765,11741,861,861,2021-01-01,10932,2,21,52,-32.258064516129,"&#x2798;",27552,7.25900116144019,76.219512195122,188.734030197445,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Kapelle","GM0678",2022-08-18,6461,6461,6459,6458,6443,321,321,2021-01-01,6140,0,2,18,-87.5,"&#x2798;&#x2798;",13006,0,15.3775180685837,138.397662617254,"&#128999;","&#128999;","&#128999;","&#x1F7E3;"
"Middelburg","GM0687",2022-08-18,22532,22531,22510,22505,22470,1067,1067,2021-01-01,21465,1,22,62,-45,"&#x2798;",49248,2.03053931124107,44.6718648473034,125.893437296946,"&#128721;","&#128721;","&#128721;","&#128721;"
"Reimerswaal","GM0703",2022-08-18,12809,12808,12801,12800,12788,838,838,2021-01-01,11971,1,8,21,-38.4615384615385,"&#x2798;",22916,4.36376330947809,34.9101064758248,91.63902949904,"&#128999;","&#128999;","&#128999;","&#128721;"
"Terneuzen","GM0715",2022-08-18,22782,22779,22742,22735,22694,1880,1880,2021-01-01,20902,3,40,88,-16.6666666666667,"&#x2798;",54509,5.50367829165826,73.3823772221101,161.441229888642,"&#128721;","&#128721;","&#128721;","&#128721;"
"Tholen","GM0716",2022-08-18,13230,13230,13223,13218,13208,1102,1102,2021-01-01,12128,0,7,22,-53.3333333333333,"&#x2798;&#x2798;",26442,0,26.4730353225928,83.2009681567204,"&#128999;","&#128999;","&#128721;","&#128721;"
"Veere","GM0717",2022-08-18,9665,9664,9655,9652,9637,482,482,2021-01-01,9183,1,10,28,-44.4444444444444,"&#x2798;",21816,4.58379171250458,45.8379171250458,128.346167950128,"&#128721;","&#128721;","&#128721;","&#128721;"
"Vlissingen","GM0718",2022-08-18,19340,19340,19298,19295,19254,875,875,2021-01-01,18465,0,42,86,-4.54545454545454,"-",44541,0,94.2951438000943,193.08053254305,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"De Ronde Venen","GM0736",2022-08-18,21189,21189,21172,21167,21129,2035,2035,2021-01-01,19154,0,17,60,-60.4651162790698,"&#x2798;&#x2798;",45063,0,37.724962829816,133.146927634645,"&#128721;","&#128721;","&#128721;","&#128721;"
"Tytsjerksteradiel","GM0737",2022-08-18,14348,14347,14333,14329,14311,570,570,2021-01-01,13778,1,15,37,-31.8181818181818,"&#x2798;",32287,3.09722179205253,46.4583268807879,114.597206305944,"&#128721;","&#128721;","&#128721;","&#128721;"
"Asten","GM0743",2022-08-18,8268,8268,8257,8256,8253,752,752,2021-01-01,7516,0,11,15,175,"&#x279A;&#x279A;",17071,0,64.4367641028645,87.8683146857243,"&#128721;","&#128721;","&#128721;","&#128999;"
"Baarle-Nassau","GM0744",2022-08-18,2856,2855,2852,2852,2844,263,263,2021-01-01,2593,1,4,12,-50,"&#x2798;&#x2798;",6953,14.3822810297713,57.5291241190853,172.587372357256,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Bergen op Zoom","GM0748",2022-08-18,32603,32603,32574,32570,32538,3589,3589,2021-01-01,29014,0,29,65,-19.4444444444444,"&#x2798;",67959,0,42.6727880045321,95.6459041480893,"&#128721;","&#128721;","&#128721;","&#128721;"
"Best","GM0753",2022-08-18,14459,14459,14441,14441,14421,1419,1419,2021-01-01,13040,0,18,38,-10,"&#x2798;",30658,0,58.7122447648248,123.948072281297,"&#128721;","&#128721;","&#128721;","&#128721;"
"Boekel","GM0755",2022-08-18,5553,5553,5546,5546,5543,512,512,2021-01-01,5041,0,7,10,133.333333333333,"&#x279A;&#x279A;",11060,0,63.2911392405063,90.4159132007233,"&#128721;","&#128721;","&#128721;","&#128999;"
"Boxtel","GM0757",2022-08-18,15992,15991,15977,15975,15964,1444,1444,2021-01-01,14548,1,15,28,15.3846153846154,"&#x279A;",33116,3.01968836816041,45.2953255224061,84.5512743084914,"&#128721;","&#128721;","&#128721;","&#128721;"
"Breda","GM0758",2022-08-18,91266,91259,91135,91116,90960,8722,8722,2021-01-01,82544,7,131,306,-25.1428571428571,"&#x2798;",184841,3.78703858992323,70.871722182849,165.54768693093,"&#128721;","&#128721;","&#128721;","&#128721;"
"Deurne","GM0762",2022-08-18,16219,16219,16211,16206,16188,1559,1559,2021-01-01,14660,0,8,31,-65.2173913043478,"&#x2798;&#x2798;",32597,0,24.5421357793662,95.100776145044,"&#128999;","&#128999;","&#128721;","&#128721;"
"Pekela","GM0765",2022-08-18,4963,4963,4959,4957,4953,234,234,2021-01-01,4729,0,4,10,-33.3333333333333,"&#x2798;",12188,0,32.8191663931736,82.047915982934,"&#128999;","&#128999;","&#128721;","&#128721;"
"Dongen","GM0766",2022-08-18,12827,12827,12816,12814,12797,1533,1533,2021-01-01,11294,0,11,30,-42.1052631578947,"&#x2798;",26604,0,41.3471658397233,112.7649977447,"&#128721;","&#128721;","&#128721;","&#128721;"
"Eersel","GM0770",2022-08-18,10320,10319,10310,10309,10307,1138,1138,2021-01-01,9182,1,10,13,233.333333333333,"&#x279A;&#x279A;",19852,5.03727584122507,50.3727584122507,65.4845859359258,"&#128721;","&#128721;","&#128721;","&#128999;"
"Eindhoven","GM0772",2022-08-18,110309,110307,110138,110129,109949,9742,9742,2021-01-01,100567,2,171,360,-9.52380952380952,"&#x2798;",238657,0.838022769078636,71.6509467562234,150.844098434154,"&#128721;","&#128721;","&#128721;","&#128721;"
"Etten-Leur","GM0777",2022-08-18,20407,20407,20397,20392,20374,2111,2111,2021-01-01,18296,0,10,33,-56.5217391304348,"&#x2798;&#x2798;",44165,0,22.6423638627873,74.719800747198,"&#128999;","&#128999;","&#128999;","&#128721;"
"Geertruidenberg","GM0779",2022-08-18,10766,10766,10757,10752,10737,1047,1047,2021-01-01,9719,0,9,29,-55,"&#x2798;&#x2798;",21924,0,41.0509031198686,132.275132275132,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gilze en Rijen","GM0784",2022-08-18,12392,12391,12375,12373,12354,1311,1311,2021-01-01,11081,1,17,38,-19.047619047619,"&#x2798;",26545,3.76718779431155,64.0421925032963,143.153136183839,"&#128721;","&#128721;","&#128721;","&#128721;"
"Goirle","GM0785",2022-08-18,11994,11993,11985,11981,11965,1177,1177,2021-01-01,10817,1,9,29,-55,"&#x2798;&#x2798;",24010,4.1649312786339,37.4843815077051,120.783007080383,"&#128721;","&#128721;","&#128721;","&#128721;"
"Helmond","GM0794",2022-08-18,45270,45270,45227,45205,45144,4564,4564,2021-01-01,40706,0,43,126,-48.1927710843374,"&#x2798;",93676,0,45.9028993552244,134.506170203681,"&#128721;","&#128721;","&#128721;","&#128721;"
"'s-Hertogenbosch","GM0796",2022-08-18,83435,83432,83374,83362,83276,7354,7354,2021-01-01,76081,3,61,159,-37.7551020408163,"&#x2798;",156697,1.91452293279386,38.9286329668086,101.469715438075,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heusden","GM0797",2022-08-18,23099,23099,23075,23073,23046,2270,2270,2021-01-01,20829,0,24,53,-17.2413793103448,"&#x2798;",45576,0,52.6592943654555,116.289275057048,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hilvarenbeek","GM0798",2022-08-18,7642,7641,7635,7634,7628,861,861,2021-01-01,6781,1,7,14,0,"-",15819,6.32151210569568,44.2505847398698,88.5011694797395,"&#128721;","&#128721;","&#128721;","&#128721;"
"Loon op Zand","GM0809",2022-08-18,11759,11758,11745,11736,11717,1350,1350,2021-01-01,10409,1,14,42,-50,"&#x2798;&#x2798;",23782,4.20486081910689,58.8680514674964,176.604154402489,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Nuenen, Gerwen en Nederwetten","GM0820",2022-08-18,10966,10966,10950,10948,10935,947,947,2021-01-01,10019,0,16,31,6.66666666666667,"&#x279A;",23822,0,67.1648056418437,130.131810931072,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oirschot","GM0823",2022-08-18,9327,9327,9322,9321,9313,1022,1022,2021-01-01,8305,0,5,14,-44.4444444444444,"&#x2798;",19083,0,26.2013310276162,73.3637268773254,"&#128999;","&#128999;","&#128999;","&#128721;"
"Oisterwijk","GM0824",2022-08-18,15000,14998,14978,14975,14954,1268,1268,2021-01-01,13732,2,22,46,-8.33333333333334,"&#x2798;",32534,6.14741501198746,67.6215651318621,141.390545275712,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oosterhout","GM0826",2022-08-18,26931,26931,26912,26911,26874,2793,2793,2021-01-01,24138,0,19,57,-50,"&#x2798;&#x2798;",56578,0,33.5819576513839,100.745872954152,"&#128999;","&#128999;","&#128721;","&#128721;"
"Oss","GM0828",2022-08-18,46046,46043,46006,46002,45960,4424,4424,2021-01-01,41622,3,40,86,-13.0434782608696,"&#x2798;",93456,3.2100667693888,42.8008902585174,92.0219140558124,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rucphen","GM0840",2022-08-18,10122,10122,10115,10111,10106,1163,1163,2021-01-01,8959,0,7,16,-22.2222222222222,"&#x2798;",23361,0,29.9644706990283,68.4902187406361,"&#128999;","&#128999;","&#128721;","&#128721;"
"Sint-Michielsgestel","GM0845",2022-08-18,15379,15378,15370,15368,15355,1487,1487,2021-01-01,13892,1,9,24,-40,"&#x2798;",29743,3.36213562855126,30.2592206569613,80.6912550852301,"&#128999;","&#128999;","&#128999;","&#128721;"
"Someren","GM0847",2022-08-18,9720,9720,9714,9714,9705,945,945,2021-01-01,8775,0,6,15,-33.3333333333333,"&#x2798;",19742,0,30.3920575422956,75.980143855739,"&#128999;","&#128999;","&#128999;","&#128721;"
