"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Dalfsen","GM0148",2022-08-18,14075,14071,14058,14057,14043,1088,1088,2021-01-01,12987,4,17,32,13.3333333333333,"&#x279A;",29182,13.7070797066685,58.2550887533411,109.656637653348,"&#128721;","&#128721;","&#128721;","&#128721;"
"Deventer","GM0150",2022-08-18,48718,48706,48660,48652,48602,4284,4284,2021-01-01,44434,12,58,116,0,"-",101553,11.8164899116717,57.1130345730801,114.22606914616,"&#128721;","&#128721;","&#128721;","&#128721;"
"Enschede","GM0153",2022-08-18,77359,77354,77239,77229,77118,7509,7509,2021-01-01,69850,5,120,241,-0.826446280991733,"-",160341,3.11835400802041,74.8404961924898,150.304663186584,"&#128721;","&#128721;","&#128721;","&#128721;"
"Haaksbergen","GM0158",2022-08-18,12025,12025,12018,12017,11994,1573,1573,2021-01-01,10452,0,7,31,-70.8333333333333,"&#x2798;&#x2798;",24257,0,28.8576493383353,127.798161355485,"&#128999;","&#128999;","&#128999;","&#128721;"
"Hardenberg","GM0160",2022-08-18,30854,30852,30832,30814,30783,2365,2365,2021-01-01,28489,2,22,71,-55.1020408163265,"&#x2798;&#x2798;",61890,3.23153982872839,35.5469381160123,114.719663919858,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hellendoorn","GM0163",2022-08-18,19007,19007,18996,18995,18987,2091,2091,2021-01-01,16916,0,11,20,22.2222222222222,"&#x279A;",35998,0,30.5572531807323,55.5586421467859,"&#128999;","&#128999;","&#128999;","&#128999;"
"Hengelo","GM0164",2022-08-18,39123,39120,39093,39091,39042,4076,4076,2021-01-01,35047,3,30,81,-41.1764705882353,"&#x2798;",81531,3.67958199948486,36.7958199948486,99.3487139860912,"&#128721;","&#128721;","&#128721;","&#128721;"
"Kampen","GM0166",2022-08-18,26670,26669,26641,26638,26614,1807,1807,2021-01-01,24863,1,29,56,7.40740740740742,"&#x279A;",54902,1.82142727040909,52.8213908418637,101.999927142909,"&#128721;","&#128721;","&#128721;","&#128721;"
"Losser","GM0168",2022-08-18,11261,11260,11248,11246,11232,1445,1445,2021-01-01,9816,1,13,29,-18.75,"&#x2798;",23142,4.32114769682828,56.1749200587676,125.31328320802,"&#128721;","&#128721;","&#128721;","&#128721;"
"Noordoostpolder","GM0171",2022-08-18,21294,21293,21270,21262,21235,1844,1844,2021-01-01,19450,1,24,59,-31.4285714285714,"&#x2798;",48199,2.07473184090956,49.7935641818295,122.409178613664,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oldenzaal","GM0173",2022-08-18,16265,16265,16248,16238,16227,1830,1830,2021-01-01,14435,0,17,38,-19.047619047619,"&#x2798;",31781,0,53.4910795758472,119.568295522482,"&#128721;","&#128721;","&#128721;","&#128721;"
"Ommen","GM0175",2022-08-18,8643,8643,8638,8636,8626,578,578,2021-01-01,8065,0,5,17,-58.3333333333333,"&#x2798;&#x2798;",18459,0,27.0870578037814,92.0959965328566,"&#128999;","&#128999;","&#128721;","&#128721;"
"Raalte","GM0177",2022-08-18,19669,19667,19657,19653,19636,1812,1812,2021-01-01,17857,2,12,33,-42.8571428571429,"&#x2798;",38166,5.24026620552324,31.4415972331394,86.4643923911335,"&#128999;","&#128999;","&#128721;","&#128721;"
"Staphorst","GM0180",2022-08-18,9281,9281,9274,9274,9269,1012,1012,2021-01-01,8269,0,7,12,40,"&#x279A;",17278,0,40.5139483736544,69.4524829262646,"&#128721;","&#128721;","&#128721;","&#128999;"
"Tubbergen","GM0183",2022-08-18,11203,11201,11198,11198,11188,1524,1524,2021-01-01,9679,2,5,15,-50,"&#x2798;&#x2798;",21359,9.36373425722178,23.4093356430545,70.2280069291634,"&#128999;","&#128999;","&#128999;","&#128721;"
"Urk","GM0184",2022-08-18,8358,8358,8357,8357,8353,1656,1656,2021-01-01,6702,0,1,5,-75,"&#x2798;&#x2798;",21507,0,4.64964895150416,23.2482447575208,"&#128993;","&#128993;","&#128993;","&#128999;"
"Wierden","GM0189",2022-08-18,13185,13185,13168,13167,13161,1881,1881,2021-01-01,11304,0,17,24,142.857142857143,"&#x279A;&#x279A;",24677,0,68.8900595696397,97.2565546865502,"&#128721;","&#128721;","&#128721;","&#128999;"
"Zwolle","GM0193",2022-08-18,64514,64504,64417,64392,64316,3786,3786,2021-01-01,60728,10,97,198,-3.96039603960396,"-",130943,7.63691071687681,74.078033953705,151.210832194161,"&#128721;","&#128721;","&#128721;","&#128721;"
"Aalten","GM0197",2022-08-18,12409,12409,12405,12403,12392,1044,1044,2021-01-01,11365,0,4,17,-69.2307692307692,"&#x2798;&#x2798;",27122,0,14.7481749133545,62.6797433817565,"&#128999;","&#128999;","&#128999;","&#128721;"
"Apeldoorn","GM0200",2022-08-18,77420,77413,77291,77256,77107,5842,5842,2021-01-01,71578,7,129,313,-29.8913043478261,"&#x2798;",165741,4.2234570806258,77.8322804858182,188.848866605125,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Arnhem","GM0202",2022-08-18,78202,78198,78110,78090,77939,6823,6823,2021-01-01,71379,4,92,263,-46.1988304093567,"&#x2798;",164319,2.43428940049538,55.9886562113937,160.054528082571,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Barneveld","GM0203",2022-08-18,31780,31776,31756,31753,31727,4059,4059,2021-01-01,27721,4,24,53,-17.2413793103448,"&#x2798;",60652,6.59500098925015,39.5700059355009,87.3837631075645,"&#128721;","&#128721;","&#128721;","&#128721;"
"Beuningen","GM0209",2022-08-18,13069,13069,13054,13053,13032,1034,1034,2021-01-01,12035,0,15,37,-31.8181818181818,"&#x2798;",26242,0,57.1602774178797,140.995350964103,"&#128721;","&#128721;","&#128721;","&#128721;"
"Brummen","GM0213",2022-08-18,9261,9258,9252,9252,9236,728,728,2021-01-01,8533,3,9,25,-43.75,"&#x2798;",20866,14.3774561487587,43.1323684462762,119.81213457299,"&#128721;","&#128721;","&#128999;","&#128721;"
"Buren","GM0214",2022-08-18,12155,12155,12147,12146,12132,1152,1152,2021-01-01,11003,0,8,23,-46.6666666666667,"&#x2798;",27237,0,29.3718104049638,84.443954914271,"&#128999;","&#128999;","&#128999;","&#128721;"
"Culemborg","GM0216",2022-08-18,13741,13740,13726,13724,13709,1333,1333,2021-01-01,12408,1,15,32,-11.7647058823529,"&#x2798;",29320,3.4106412005457,51.1596180081855,109.140518417462,"&#128721;","&#128721;","&#128721;","&#128721;"
"Doesburg","GM0221",2022-08-18,4669,4669,4665,4665,4658,386,386,2021-01-01,4283,0,4,11,-42.8571428571429,"&#x2798;",11037,0,36.2417323548066,99.664763975718,"&#128721;","&#128721;","&#128721;","&#128721;"
"Doetinchem","GM0222",2022-08-18,28275,28271,28243,28241,28196,2122,2122,2021-01-01,26153,4,32,79,-31.9148936170213,"&#x2798;",58593,6.8267540491185,54.614032392948,134.82839247009,"&#128721;","&#128721;","&#128721;","&#128721;"
"Druten","GM0225",2022-08-18,9599,9599,9592,9591,9579,827,827,2021-01-01,8772,0,7,20,-46.1538461538462,"&#x2798;",19191,0,36.4754311917044,104.215517690584,"&#128721;","&#128721;","&#128721;","&#128721;"
"Duiven","GM0226",2022-08-18,11821,11819,11804,11802,11779,1125,1125,2021-01-01,10696,2,17,42,-32,"&#x2798;",24908,8.02954873936085,68.2511642845672,168.620523526578,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Ede","GM0228",2022-08-18,58672,58672,58613,58599,58544,6312,6312,2021-01-01,52360,0,59,128,-14.4927536231884,"&#x2798;",120101,0,49.125319522735,106.576964388307,"&#128721;","&#128721;","&#128721;","&#128721;"
"Elburg","GM0230",2022-08-18,11334,11334,11324,11316,11307,976,976,2021-01-01,10358,0,10,27,-41.1764705882353,"&#x2798;",23728,0,42.1443020903574,113.789615643965,"&#128721;","&#128721;","&#128721;","&#128721;"
"Epe","GM0232",2022-08-18,14657,14656,14637,14633,14609,1223,1223,2021-01-01,13434,1,20,48,-28.5714285714286,"&#x2798;",33218,3.01041603949666,60.2083207899332,144.49996989584,"&#128721;","&#128721;","&#128721;","&#128721;"
"Ermelo","GM0233",2022-08-18,12985,12985,12972,12969,12944,1357,1357,2021-01-01,11628,0,13,41,-53.5714285714286,"&#x2798;&#x2798;",27268,0,47.6749303212557,150.359395628576,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Harderwijk","GM0243",2022-08-18,24104,24104,24075,24070,24037,2080,2080,2021-01-01,22024,0,29,67,-23.6842105263158,"&#x2798;",48824,0,59.3970178600688,137.227592987056,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hattem","GM0244",2022-08-18,5872,5872,5863,5862,5854,405,405,2021-01-01,5467,0,9,18,0,"-",12312,0,73.0994152046784,146.198830409357,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heerde","GM0246",2022-08-18,8301,8301,8289,8288,8274,600,600,2021-01-01,7701,0,12,27,-20,"&#x2798;",19038,0,63.0318310746927,141.821619918059,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heumen","GM0252",2022-08-18,8132,8132,8122,8122,8098,753,753,2021-01-01,7379,0,10,34,-58.3333333333333,"&#x2798;&#x2798;",16918,0,59.1086416834141,200.969381723608,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Lochem","GM0262",2022-08-18,14475,14475,14462,14456,14436,1093,1093,2021-01-01,13382,0,13,39,-50,"&#x2798;&#x2798;",34086,0,38.13882532418,114.41647597254,"&#128721;","&#128721;","&#128721;","&#128721;"
"Maasdriel","GM0263",2022-08-18,12918,12918,12912,12911,12903,1224,1224,2021-01-01,11694,0,6,15,-33.3333333333333,"&#x2798;",25618,0,23.421032086814,58.5525802170349,"&#128999;","&#128999;","&#128999;","&#128721;"
"Nijkerk","GM0267",2022-08-18,22681,22679,22648,22643,22606,2312,2312,2021-01-01,20369,2,33,75,-21.4285714285714,"&#x2798;",44436,4.50085516248087,74.2641101809344,168.782068593033,"&#128721;","&#128721;","&#128721;","&#128721;"
"Nijmegen","GM0268",2022-08-18,93238,93237,93129,93105,92894,7484,7484,2021-01-01,85754,1,109,344,-53.6170212765957,"&#x2798;&#x2798;",179494,0.557121686518769,60.7262638305459,191.649860162457,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Oldebroek","GM0269",2022-08-18,11656,11656,11648,11648,11642,958,958,2021-01-01,10698,0,8,14,33.3333333333333,"&#x279A;",23974,0,33.3694836072412,58.3965963126721,"&#128999;","&#128999;","&#128999;","&#128999;"
"Putten","GM0273",2022-08-18,12454,12454,12439,12439,12425,1309,1309,2021-01-01,11145,0,15,29,7.14285714285714,"&#x279A;",24627,0,60.9087586794981,117.75693344703,"&#128721;","&#128721;","&#128721;","&#128721;"
"Renkum","GM0274",2022-08-18,12566,12565,12542,12542,12516,1104,1104,2021-01-01,11462,1,24,50,-7.69230769230769,"&#x2798;",31320,3.19284802043423,76.6283524904215,159.642401021711,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rheden","GM0275",2022-08-18,19137,19135,19122,19118,19096,1725,1725,2021-01-01,17412,2,15,41,-42.3076923076923,"&#x2798;",43458,4.60214459938331,34.5160844953748,94.3439642873579,"&#128999;","&#128999;","&#128721;","&#128721;"
"Rozendaal","GM0277",2022-08-18,899,899,897,897,896,62,62,2021-01-01,837,0,2,3,100,"&#x279A;",1755,0,113.960113960114,170.940170940171,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
