"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Medemblik","GM0420",2022-02-09,45479,14470,12390,10827,4573.5,8010.3,31816.9,"&#x26a1;",219,215,213,8.8,13.2,481.5,29,29,29,0,0,63.8,31.8,0.5,0.1,0.2
"Oostzaan","GM0431",2022-02-09,9668,3262,2871,2540,4044.3,7467.9,33740.2,"&#x26a1;",44,44,43,0,10.3,455.1,8,8,8,0,0,82.7,33.7,0.5,0.1,0.2
"Opmeer","GM0432",2022-02-09,12065,3935,3307,2820,5205.1,9241.6,32615,"&#x26a1;",49,48,46,8.3,24.9,406.1,7,7,7,0,0,58,32.6,0.4,0.1,0.2
"Ouder-Amstel","GM0437",2022-02-09,14209,4673,4150,3756,3680.8,6453.7,32887.6,"&#9989;",48,48,48,0,0,337.8,6,6,6,0,0,42.2,32.9,0.3,0,0.1
"Purmerend","GM0439",2022-02-09,92218,28526,24866,21756,3968.9,7341.3,30933.2,"&#x26a1;",648,637,630,11.9,19.5,702.7,108,107,105,1.1,3.3,117.1,30.9,0.7,0.1,0.4
"Schagen","GM0441",2022-02-09,46805,14042,12043,10569,4270.9,7420.1,30001.1,"&#x26a1;",228,222,221,12.8,15,487.1,78,78,78,0,0,166.6,30,0.5,0.2,0.6
"Texel","GM0448",2022-02-09,13696,2470,1986,1775,3533.9,5074.5,18034.5,"&#x26a1;",27,27,26,0,7.3,197.1,4,4,4,0,0,29.2,18,0.2,0,0.2
"Uitgeest","GM0450",2022-02-09,13583,4415,3689,3318,5344.9,8076.3,32503.9,"&#9989;",37,37,37,0,0,272.4,17,16,16,7.4,7.4,125.2,32.5,0.3,0.1,0.4
"Uithoorn","GM0451",2022-02-09,30967,9707,8406,7330,4201.2,7675.9,31346.3,"&#x26a1;",125,124,121,3.2,12.9,403.7,21,21,21,0,0,67.8,31.3,0.4,0.1,0.2
"Velsen","GM0453",2022-02-09,68470,21580,17846,15757,5453.5,8504.5,31517.5,"&#x1F7E3;",247,247,244,0,4.4,360.7,99,98,98,1.5,1.5,144.6,31.5,0.4,0.1,0.5
"Weesp","GM0457",2022-02-09,20749,6253,5612,4773,3089.3,7132.9,30136.4,"&#x1F7E3;",69,69,68,0,4.8,332.5,23,23,23,0,0,110.8,30.1,0.3,0.1,0.4
"Zandvoort","GM0473",2022-02-09,17110,4868,4189,3812,3968.4,6171.8,28451.2,"&#x26a1;",56,56,54,0,11.7,327.3,47,47,47,0,0,274.7,28.5,0.3,0.3,1
"Zaanstad","GM0479",2022-02-09,157101,51747,45394,39372,4043.9,7877.1,32938.7,"&#x26a1;",932,922,909,6.4,14.6,593.2,195,194,193,0.6,1.3,124.1,32.9,0.6,0.1,0.4
"Alblasserdam","GM0482",2022-02-09,20083,7530,6530,5779,4979.3,8718.8,37494.4,"&#x26a1;",172,171,166,5,29.9,856.4,30,30,29,0,5,149.4,37.5,0.9,0.1,0.4
"Alphen aan den Rijn","GM0484",2022-02-09,112890,35341,30374,26707,4399.9,7648.2,31305.7,"&#x1F7E3;",509,506,504,2.7,4.4,450.9,148,148,147,0,0.9,131.1,31.3,0.5,0.1,0.4
"Barendrecht","GM0489",2022-02-09,48772,16805,14434,12797,4861.4,8217.8,34456.2,"&#x26a1;",297,295,288,4.1,18.5,609,50,50,50,0,0,102.5,34.5,0.6,0.1,0.3
"Drechterland","GM0498",2022-02-09,19976,6274,5256,4602,5096.1,8370,31407.7,"&#x26a1;",76,73,73,15,15,380.5,13,13,13,0,0,65.1,31.4,0.4,0.1,0.2
"Brielle","GM0501",2022-02-09,17701,4928,4211,3774,4050.6,6519.4,27840.2,"&#x26a1;",98,97,96,5.6,11.3,553.6,12,12,12,0,0,67.8,27.8,0.6,0.1,0.2
"Capelle aan den IJssel","GM0502",2022-02-09,67141,22074,19464,17173,3887.3,7299.6,32877.1,"&#x26a1;",596,586,579,14.9,25.3,887.7,159,159,159,0,0,236.8,32.9,0.9,0.2,0.7
"Delft","GM0503",2022-02-09,104550,31158,26618,23731,4342.4,7103.8,29802,"&#x26a1;",492,481,470,10.5,21,470.6,90,89,89,1,1,86.1,29.8,0.5,0.1,0.3
"Dordrecht","GM0505",2022-02-09,119509,40795,35101,30915,4764.5,8267.2,34135.5,"&#x26a1;",985,971,942,11.7,36,824.2,220,219,217,0.8,2.5,184.1,34.1,0.8,0.2,0.5
"Gorinchem","GM0512",2022-02-09,37608,12659,10959,9652,4520.3,7995.6,33660.4,"&#x26a1;",194,190,188,10.6,16,515.8,48,48,48,0,0,127.6,33.7,0.5,0.1,0.4
"Gouda","GM0513",2022-02-09,74105,24448,20315,17772,5577.2,9008.8,32991,"&#x26a1;",559,554,544,6.7,20.2,754.3,166,166,166,0,0,224,33,0.8,0.2,0.7
"'s-Gravenhage","GM0518",2022-02-09,553277,169169,148402,130209,3753.5,7041.7,30575.8,"&#x26a1;",3375,3317,3250,10.5,22.6,610,650,652,650,-0.4,0,117.5,30.6,0.6,0.1,0.4
"Hardinxveld-Giessendam","GM0523",2022-02-09,18491,7430,6540,5837,4813.2,8615,40181.7,"&#x26a1;",104,102,102,10.8,10.8,562.4,31,31,31,0,0,167.6,40.2,0.6,0.2,0.4
"Hellevoetsluis","GM0530",2022-02-09,40537,10996,9375,8386,3998.8,6438.6,27125.8,"&#x26a1;",241,236,232,12.3,22.2,594.5,50,50,50,0,0,123.3,27.1,0.6,0.1,0.5
"Hendrik-Ido-Ambacht","GM0531",2022-02-09,31654,11444,9927,8655,4792.4,8810.9,36153.4,"&#x26a1;",201,197,196,12.6,15.8,635,41,41,41,0,0,129.5,36.2,0.6,0.1,0.4
"Stede Broec","GM0532",2022-02-09,21928,6947,5800,5028,5230.8,8751.4,31681,"&#x1F7E3;",120,120,119,0,4.6,547.2,17,17,17,0,0,77.5,31.7,0.5,0.1,0.2
"Hillegom","GM0534",2022-02-09,22325,6371,5373,4620,4470.3,7843.2,28537.5,"&#x26a1;",58,55,54,13.4,17.9,259.8,23,23,23,0,0,103,28.5,0.3,0.1,0.4
"Katwijk","GM0537",2022-02-09,66042,25089,21742,18918,5068,9344.1,37989.5,"&#x26a1;",346,343,339,4.5,10.6,523.9,71,71,71,0,0,107.5,38,0.5,0.1,0.3
"Krimpen aan den IJssel","GM0542",2022-02-09,29407,10169,8981,7992,4039.9,7403,34580.2,"&#x26a1;",206,205,205,3.4,3.4,700.5,78,79,79,-3.4,-3.4,265.2,34.6,0.7,0.3,0.8
"Leiden","GM0546",2022-02-09,125019,37971,32188,28647,4625.7,7458.1,30372.2,"&#x26a1;",414,407,405,5.6,7.2,331.1,84,84,83,0,0.8,67.2,30.4,0.3,0.1,0.2
"Leiderdorp","GM0547",2022-02-09,27486,7781,6475,5632,4751.5,7818.5,28309,"&#x26a1;",106,106,104,0,7.3,385.7,28,28,28,0,0,101.9,28.3,0.4,0.1,0.4
"Lisse","GM0553",2022-02-09,22989,7005,6019,5341,4289,7238.2,30471.1,"&#x26a1;",95,93,93,8.7,8.7,413.2,24,24,24,0,0,104.4,30.5,0.4,0.1,0.3
"Maassluis","GM0556",2022-02-09,33936,10440,8876,7749,4608.7,7929.6,30763.8,"&#9989;",198,198,198,0,0,583.5,46,46,46,0,0,135.5,30.8,0.6,0.1,0.4
"Nieuwkoop","GM0569",2022-02-09,29319,9660,8449,7593,4130.4,7050,32947.9,"&#x26a1;",120,119,118,3.4,6.8,409.3,26,26,26,0,0,88.7,32.9,0.4,0.1,0.3
"Noordwijk","GM0575",2022-02-09,44358,13682,11576,10132,4747.7,8003.1,30844.5,"&#x1F7E3;",189,188,187,2.3,4.5,426.1,32,32,32,0,0,72.1,30.8,0.4,0.1,0.2
"Oegstgeest","GM0579",2022-02-09,25529,7414,6101,5315,5143.2,8222,29041.5,"&#x26a1;",83,82,81,3.9,7.8,325.1,32,32,32,0,0,125.3,29,0.3,0.1,0.4
"Oudewater","GM0589",2022-02-09,10148,3258,2843,2440,4089.5,8060.7,32104.8,"&#x26a1;",52,51,51,9.9,9.9,512.4,12,12,12,0,0,118.2,32.1,0.5,0.1,0.4
"Papendrecht","GM0590",2022-02-09,32207,10246,8800,7764,4489.7,7706.4,31813,"&#x26a1;",218,216,212,6.2,18.6,676.9,51,52,52,-3.1,-3.1,158.4,31.8,0.7,0.2,0.5
"Ridderkerk","GM0597",2022-02-09,47108,15623,13677,12036,4130.9,7614.4,33164.2,"&#x26a1;",425,420,405,10.6,42.5,902.2,109,109,108,0,2.1,231.4,33.2,0.9,0.2,0.7
"Rotterdam","GM0599",2022-02-09,655418,230716,204939,183604,3932.9,7188.1,35201.4,"&#x26a1;",5763,5701,5605,9.5,24.1,879.3,1077,1079,1078,-0.3,-0.2,164.3,35.2,0.9,0.2,0.5
"Rijswijk","GM0603",2022-02-09,56862,16813,14709,12833,3700.2,6999.4,29568.1,"&#x26a1;",324,319,314,8.8,17.6,569.8,78,78,78,0,0,137.2,29.6,0.6,0.1,0.5
"Schiedam","GM0606",2022-02-09,79764,25963,22904,19978,3835.1,7503.4,32549.8,"&#x1F7E3;",624,622,622,2.5,2.5,782.3,127,127,127,0,0,159.2,32.5,0.8,0.2,0.5
"Sliedrecht","GM0610",2022-02-09,25891,9702,8445,7535,4855,8369.7,37472.5,"&#x26a1;",215,213,209,7.7,23.2,830.4,52,52,52,0,0,200.8,37.5,0.8,0.2,0.5
"Albrandswaard","GM0613",2022-02-09,25929,9007,7922,6886,4184.5,8180,34737.2,"&#x26a1;",166,165,162,3.9,15.4,640.2,23,23,23,0,0,88.7,34.7,0.6,0.1,0.3
"Westvoorne","GM0614",2022-02-09,14958,3826,3274,2914,3690.3,6097.1,25578.3,"&#x26a1;",77,77,76,0,6.7,514.8,20,20,20,0,0,133.7,25.6,0.5,0.1,0.5
"Vlaardingen","GM0622",2022-02-09,74198,24629,21435,18595,4304.7,8132.3,33193.6,"&#x26a1;",506,503,497,4,12.1,682,112,112,109,0,4,150.9,33.2,0.7,0.2,0.5
"Voorschoten","GM0626",2022-02-09,25634,7263,6050,5199,4732,8051.8,28333.5,"&#x26a1;",65,64,64,3.9,3.9,253.6,24,24,24,0,0,93.6,28.3,0.3,0.1,0.3
"Waddinxveen","GM0627",2022-02-09,31301,10390,8816,7712,5028.6,8555.6,33193.8,"&#x26a1;",164,163,161,3.2,9.6,523.9,19,19,19,0,0,60.7,33.2,0.5,0.1,0.2
"Wassenaar","GM0629",2022-02-09,27064,7450,6388,5612,3924,6791.3,27527.3,"&#x26a1;",82,82,80,0,7.4,303,37,37,37,0,0,136.7,27.5,0.3,0.1,0.5
"Woerden","GM0632",2022-02-09,52918,16930,14819,12882,3989.2,7649.6,31992.9,"&#x26a1;",297,293,287,7.6,18.9,561.2,46,46,46,0,0,86.9,32,0.6,0.1,0.3
"Zoetermeer","GM0637",2022-02-09,125638,38540,33097,28384,4332.3,8083.5,30675.4,"&#x26a1;",639,628,617,8.8,17.5,508.6,78,78,78,0,0,62.1,30.7,0.5,0.1,0.2
"Zoeterwoude","GM0638",2022-02-09,9299,2835,2439,2099,4258.5,7914.8,30487.1,"&#x26a1;",31,30,30,10.8,10.8,333.4,1,1,1,0,0,10.8,30.5,0.3,0,0
"Zwijndrecht","GM0642",2022-02-09,44749,14503,12587,11083,4281.7,7642.6,32409.7,"&#x26a1;",372,369,364,6.7,17.9,831.3,120,119,119,2.2,2.2,268.2,32.4,0.8,0.3,0.8
"Borsele","GM0654",2022-02-09,22859,7420,6106,5281,5748.3,9357.4,32459.9,"&#x26a1;",83,80,77,13.1,26.2,363.1,13,12,12,4.4,4.4,56.9,32.5,0.4,0.1,0.2
"Goes","GM0664",2022-02-09,38983,11417,9541,8601,4812.4,7223.7,29287.1,"&#x26a1;",216,211,206,12.8,25.7,554.1,44,44,44,0,0,112.9,29.3,0.6,0.1,0.4
"West Maas en Waal","GM0668",2022-02-09,19654,5892,5193,4568,3556.5,6736.5,29978.6,"&#9989;",90,90,90,0,0,457.9,20,20,20,0,0,101.8,30,0.5,0.1,0.3
"Hulst","GM0677",2022-02-09,27531,7929,7233,6595,2528.1,4845.4,28800.3,"&#x26a1;",124,122,119,7.3,18.2,450.4,18,18,18,0,0,65.4,28.8,0.5,0.1,0.2
"Kapelle","GM0678",2022-02-09,13020,3966,3237,2807,5599.1,8901.7,30460.8,"&#x26a1;",36,33,31,23,38.4,276.5,8,8,8,0,0,61.4,30.5,0.3,0.1,0.2
"Middelburg","GM0687",2022-02-09,49211,14208,11779,10523,4935.9,7488.2,28871.6,"&#x26a1;",160,156,151,8.1,18.3,325.1,41,41,41,0,0,83.3,28.9,0.3,0.1,0.3
"Reimerswaal","GM0703",2022-02-09,22931,9401,7754,7016,7182.4,10400.8,40996.9,"&#x26a1;",122,118,116,17.4,26.2,532,25,25,25,0,0,109,41,0.5,0.1,0.3
"Terneuzen","GM0715",2022-02-09,54522,14926,13162,11636,3235.4,6034.3,27376.1,"&#x26a1;",305,300,298,9.2,12.8,559.4,41,41,41,0,0,75.2,27.4,0.6,0.1,0.3
"Tholen","GM0716",2022-02-09,26383,9563,8044,7103,5757.5,9324.2,36246.8,"&#x26a1;",205,203,202,7.6,11.4,777,36,36,36,0,0,136.5,36.2,0.8,0.1,0.4
"Veere","GM0717",2022-02-09,21871,6282,5053,4359,5619.3,8792.5,28723,"&#x1F7E3;",69,69,68,0,4.6,315.5,18,18,18,0,0,82.3,28.7,0.3,0.1,0.3
"Vlissingen","GM0718",2022-02-09,44532,12362,10391,9157,4426,7197.1,27759.8,"&#x26a1;",244,242,234,4.5,22.5,547.9,42,42,42,0,0,94.3,27.8,0.5,0.1,0.3
"De Ronde Venen","GM0736",2022-02-09,44929,14273,12604,10968,3714.7,7356.1,31767.9,"&#x26a1;",238,235,230,6.7,17.8,529.7,55,55,55,0,0,122.4,31.8,0.5,0.1,0.4
"Tytsjerksteradiel","GM0737",2022-02-09,32303,8278,6822,5957,4507.3,7185.1,25626.1,"&#x26a1;",106,102,100,12.4,18.6,328.1,36,36,36,0,0,111.4,25.6,0.3,0.1,0.4
"Asten","GM0743",2022-02-09,17069,5126,4497,3990,3685,6655.3,30031.1,"&#x26a1;",101,100,100,5.9,5.9,591.7,20,20,20,0,0,117.2,30,0.6,0.1,0.4
"Baarle-Nassau","GM0744",2022-02-09,6927,2029,1746,1523,4085.5,7304.7,29291.2,"&#x26a1;",38,37,36,14.4,28.9,548.6,4,4,4,0,0,57.7,29.3,0.5,0.1,0.2
"Bergen op Zoom","GM0748",2022-02-09,67860,22409,18813,16126,5299.1,9258.8,33022.4,"&#x26a1;",438,437,429,1.5,13.3,645.4,51,51,51,0,0,75.2,33,0.6,0.1,0.2
"Best","GM0753",2022-02-09,30572,9236,7841,6700,4563,8295.2,30210.7,"&#x26a1;",202,202,200,0,6.5,660.7,38,38,38,0,0,124.3,30.2,0.7,0.1,0.4
"Boekel","GM0755",2022-02-09,11037,3514,2664,2517,7701.4,9033.3,31838.4,"&#9989;",60,60,60,0,0,543.6,23,23,23,0,0,208.4,31.8,0.5,0.2,0.7
"Boxtel","GM0757",2022-02-09,33106,10753,8782,8059,5953.6,8137.5,32480.5,"&#128721;",175,175,174,0,3,528.6,73,73,73,0,0,220.5,32.5,0.5,0.2,0.7
"Breda","GM0758",2022-02-09,184762,59667,50473,43473,4976.1,8764.8,32294,"&#x26a1;",927,920,910,3.8,9.2,501.7,185,184,183,0.5,1.1,100.1,32.3,0.5,0.1,0.3
"Deurne","GM0762",2022-02-09,32608,10784,9278,7874,4618.5,8924.2,33071.6,"&#x26a1;",227,225,223,6.1,12.3,696.1,51,51,51,0,0,156.4,33.1,0.7,0.2,0.5
"Pekela","GM0765",2022-02-09,12204,2939,2563,2226,3081,5842.3,24082.3,"&#x26a1;",76,74,74,16.4,16.4,622.7,14,14,14,0,0,114.7,24.1,0.6,0.1,0.5
"Dongen","GM0766",2022-02-09,26494,8536,6902,6267,6167.4,8564.2,32218.6,"&#9989;",170,170,170,0,0,641.7,32,32,32,0,0,120.8,32.2,0.6,0.1,0.4
"Eersel","GM0770",2022-02-09,19817,6686,5588,4583,5540.7,10612.1,33738.7,"&#9989;",148,148,148,0,0,746.8,35,35,35,0,0,176.6,33.7,0.7,0.2,0.5
"Eindhoven","GM0772",2022-02-09,238376,70925,60726,50928,4278.5,8388.8,29753.4,"&#x26a1;",1589,1576,1554,5.5,14.7,666.6,413,413,413,0,0,173.3,29.8,0.7,0.2,0.6
"Etten-Leur","GM0777",2022-02-09,44104,13524,11104,9377,5487,9402.8,30663.9,"&#x26a1;",222,218,217,9.1,11.3,503.4,41,40,40,2.3,2.3,93,30.7,0.5,0.1,0.3
"Geertruidenberg","GM0779",2022-02-09,21945,7121,5957,5192,5304.2,8790.2,32449.3,"&#x26a1;",104,103,100,4.6,18.2,473.9,30,30,30,0,0,136.7,32.4,0.5,0.1,0.4
"Gilze en Rijen","GM0784",2022-02-09,26573,8241,6436,5851,6792.6,8994.1,31012.7,"&#x26a1;",140,137,136,11.3,15.1,526.9,21,21,21,0,0,79,31,0.5,0.1,0.3
"Goirle","GM0785",2022-02-09,23988,8127,6591,5899,6403.2,9288,33879.4,"&#x26a1;",148,145,143,12.5,20.8,617,43,43,43,0,0,179.3,33.9,0.6,0.2,0.5
"Helmond","GM0794",2022-02-09,93458,30432,25709,21472,5053.6,9587.2,32562.2,"&#x26a1;",682,671,665,11.8,18.2,729.7,93,93,93,0,0,99.5,32.6,0.7,0.1,0.3
"'s-Hertogenbosch","GM0796",2022-02-09,156488,53115,43202,39669,6334.7,8592.4,33941.9,"&#x26a1;",870,863,855,4.5,9.6,556,195,194,194,0.6,0.6,124.6,33.9,0.6,0.1,0.4
"Heusden","GM0797",2022-02-09,45532,15555,12484,11371,6744.7,9189.1,34162.8,"&#x26a1;",290,289,286,2.2,8.8,636.9,56,56,56,0,0,123,34.2,0.6,0.1,0.4
"Hilvarenbeek","GM0798",2022-02-09,15809,5121,4085,3711,6553.2,8919,32392.9,"&#9989;",73,73,73,0,0,461.8,20,20,20,0,0,126.5,32.4,0.5,0.1,0.4
"Loon op Zand","GM0809",2022-02-09,23797,7933,6450,5969,6231.9,8253.1,33336.1,"&#x26a1;",180,178,176,8.4,16.8,756.4,47,47,47,0,0,197.5,33.3,0.8,0.2,0.6
"Nuenen, Gerwen en Nederwetten","GM0820",2022-02-09,23818,6760,5525,4498,5185.2,9497,28381.9,"&#x26a1;",126,125,123,4.2,12.6,529,27,27,27,0,0,113.4,28.4,0.5,0.1,0.4
"Oirschot","GM0823",2022-02-09,19049,6062,5259,4534,4215.4,8021.4,31823.2,"&#x26a1;",119,119,117,0,10.5,624.7,27,27,27,0,0,141.7,31.8,0.6,0.1,0.4
"Oisterwijk","GM0824",2022-02-09,32524,9889,8194,7623,5211.5,6967.2,30405.2,"&#128721;",165,165,164,0,3.1,507.3,27,27,27,0,0,83,30.4,0.5,0.1,0.3
"Oosterhout","GM0826",2022-02-09,56517,17872,15148,12761,4819.8,9043.3,31622.3,"&#x26a1;",336,334,327,3.5,15.9,594.5,44,44,44,0,0,77.9,31.6,0.6,0.1,0.2
"Oss","GM0828",2022-02-09,93243,29502,23324,21525,6625.7,8555.1,31639.9,"&#x26a1;",625,624,616,1.1,9.7,670.3,143,143,143,0,0,153.4,31.6,0.7,0.2,0.5
"Rucphen","GM0840",2022-02-09,23358,7205,6084,5175,4799.2,8690.8,30846,"&#x26a1;",156,153,151,12.8,21.4,667.9,19,18,18,4.3,4.3,81.3,30.8,0.7,0.1,0.3
"Sint-Michielsgestel","GM0845",2022-02-09,29685,9799,8055,7477,5875,7822.1,33009.9,"&#x26a1;",174,172,171,6.7,10.1,586.2,46,45,44,3.4,6.7,155,33,0.6,0.2,0.5
"Someren","GM0847",2022-02-09,19677,6264,5425,4814,4263.9,7369,31834.1,"&#x26a1;",111,110,110,5.1,5.1,564.1,21,21,21,0,0,106.7,31.8,0.6,0.1,0.3
"Son en Breugel","GM0848",2022-02-09,17755,5190,4210,3404,5519.6,10059.1,29231.2,"&#x26a1;",105,105,103,0,11.3,591.4,30,30,30,0,0,169,29.2,0.6,0.2,0.6
"Steenbergen","GM0851",2022-02-09,24399,7250,5907,5099,5504.3,8815.9,29714.3,"&#x26a1;",159,158,158,4.1,4.1,651.7,22,22,22,0,0,90.2,29.7,0.7,0.1,0.3
"Waterland","GM0852",2022-02-09,17318,5399,4627,4039,4457.8,7853.1,31175.7,"&#x26a1;",89,88,88,5.8,5.8,513.9,18,18,18,0,0,103.9,31.2,0.5,0.1,0.3
"Tilburg","GM0855",2022-02-09,224368,77396,62510,57402,6634.6,8911.3,34495.1,"&#x26a1;",1533,1517,1502,7.1,13.8,683.3,301,301,300,0,0.4,134.2,34.5,0.7,0.1,0.4
"Valkenswaard","GM0858",2022-02-09,31245,9735,8366,6999,4381.5,8756.6,31157,"&#x26a1;",208,207,205,3.2,9.6,665.7,72,72,72,0,0,230.4,31.2,0.7,0.2,0.7
"Veldhoven","GM0861",2022-02-09,45829,13743,11469,9713,4961.9,8793.6,29987.6,"&#x26a1;",324,320,319,8.7,10.9,707,55,54,54,2.2,2.2,120,30,0.7,0.1,0.4
"Vught","GM0865",2022-02-09,31743,10477,8642,7996,5780.8,7815.9,33005.7,"&#128721;",168,168,167,0,3.2,529.3,56,56,56,0,0,176.4,33,0.5,0.2,0.5
"Waalre","GM0866",2022-02-09,17623,5281,4520,3760,4318.2,8630.8,29966.5,"&#9989;",107,107,107,0,0,607.2,18,18,18,0,0,102.1,30,0.6,0.1,0.3
"Waalwijk","GM0867",2022-02-09,49368,15791,12712,11627,6236.8,8434.6,31986.3,"&#x26a1;",331,327,325,8.1,12.2,670.5,83,83,83,0,0,168.1,32,0.7,0.2,0.5
"Woensdrecht","GM0873",2022-02-09,22134,6034,5156,4508,3966.7,6894.4,27261.2,"&#x26a1;",122,120,118,9,18.1,551.2,26,26,26,0,0,117.5,27.3,0.6,0.1,0.4
"Zundert","GM0879",2022-02-09,22335,6154,5096,4418,4737,7772.6,27553.2,"&#x26a1;",111,110,107,4.5,17.9,497,19,18,18,4.5,4.5,85.1,27.6,0.5,0.1,0.3
"Wormerland","GM0880",2022-02-09,16366,5060,4374,3739,4191.6,8071.6,30917.8,"&#9989;",104,104,104,0,0,635.5,37,37,37,0,0,226.1,30.9,0.6,0.2,0.7
"Landgraaf","GM0882",2022-02-09,37062,11714,10322,9185,3755.9,6823.7,31606.5,"&#x26a1;",248,245,240,8.1,21.6,669.1,95,94,93,2.7,5.4,256.3,31.6,0.7,0.3,0.8
"Beek","GM0888",2022-02-09,15842,4878,4294,3799,3686.4,6811,30791.6,"&#9989;",70,70,70,0,0,441.9,16,16,16,0,0,101,30.8,0.4,0.1,0.3
"Beesel","GM0889",2022-02-09,13442,4282,3693,3347,4381.8,6955.8,31855.4,"&#x26a1;",73,72,71,7.4,14.9,543.1,15,15,15,0,0,111.6,31.9,0.5,0.1,0.4
"Bergen (L.)","GM0893",2022-02-09,13112,4317,3677,3256,4881,8091.8,32924,"&#9989;",74,74,74,0,0,564.4,20,20,20,0,0,152.5,32.9,0.6,0.2,0.5
"Brunssum","GM0899",2022-02-09,27674,8807,7788,7027,3682.2,6432,31824.1,"&#x26a1;",196,195,194,3.6,7.2,708.2,71,71,71,0,0,256.6,31.8,0.7,0.3,0.8
"Gennep","GM0907",2022-02-09,17212,5517,4685,4189,4833.8,7715.5,32053.2,"&#x26a1;",99,99,96,0,17.4,575.2,31,31,31,0,0,180.1,32.1,0.6,0.2,0.6
"Heerlen","GM0917",2022-02-09,86874,25855,22818,20460,3495.9,6210.1,29761.5,"&#x26a1;",546,540,533,6.9,15,628.5,161,161,161,0,0,185.3,29.8,0.6,0.2,0.6
"Kerkrade","GM0928",2022-02-09,45366,12844,11468,10313,3033.1,5579.1,28312,"&#x26a1;",279,277,274,4.4,11,615,108,108,108,0,0,238.1,28.3,0.6,0.2,0.8
"Maastricht","GM0935",2022-02-09,121552,35242,31020,28333,3473.4,5684,28993.4,"&#x26a1;",801,800,794,0.8,5.8,659,255,254,254,0.8,0.8,209.8,29,0.7,0.2,0.7
"Meerssen","GM0938",2022-02-09,18607,5676,5077,4527,3219.2,6175.1,30504.6,"&#x26a1;",118,118,116,0,10.7,634.2,43,43,43,0,0,231.1,30.5,0.6,0.2,0.8
"Mook en Middelaar","GM0944",2022-02-09,7977,2005,1648,1423,4475.4,7296,25134.8,"&#9989;",31,31,31,0,0,388.6,13,13,13,0,0,163,25.1,0.4,0.2,0.6
"Nederweert","GM0946",2022-02-09,17307,5577,4918,4502,3807.7,6211.4,32224,"&#x26a1;",106,105,103,5.8,17.3,612.5,28,28,28,0,0,161.8,32.2,0.6,0.2,0.5
"Roermond","GM0957",2022-02-09,59080,18506,15904,14233,4404.2,7232.6,31323.6,"&#x26a1;",482,478,468,6.8,23.7,815.8,79,79,79,0,0,133.7,31.3,0.8,0.1,0.4
"Simpelveld","GM0965",2022-02-09,10436,2890,2473,2226,3995.8,6362.6,27692.6,"&#x26a1;",56,56,55,0,9.6,536.6,12,12,12,0,0,115,27.7,0.5,0.1,0.4
"Stein","GM0971",2022-02-09,24837,7833,6856,6026,3933.6,7275.4,31537.6,"&#x26a1;",151,151,149,0,8.1,608,28,28,28,0,0,112.7,31.5,0.6,0.1,0.4
"Vaals","GM0981",2022-02-09,10125,2179,1960,1725,2163,4484,21521,"&#x26a1;",47,47,46,0,9.9,464.2,23,23,23,0,0,227.2,21.5,0.5,0.2,1.1
"Venlo","GM0983",2022-02-09,102314,36595,32202,29251,4293.6,7177.9,35767.3,"&#x26a1;",605,594,588,10.8,16.6,591.3,201,201,201,0,0,196.5,35.8,0.6,0.2,0.5
"Venray","GM0984",2022-02-09,43940,15067,13086,11898,4508.4,7212.1,34289.9,"&#x26a1;",217,216,213,2.3,9.1,493.9,58,58,58,0,0,132,34.3,0.5,0.1,0.4
"Voerendaal","GM0986",2022-02-09,12434,3715,3223,2930,3956.9,6313.3,29877.8,"&#9989;",54,54,54,0,0,434.3,14,14,13,0,8,112.6,29.9,0.4,0.1,0.4
"Weert","GM0988",2022-02-09,50253,16294,13992,12661,4580.8,7229.4,32423.9,"&#x26a1;",328,325,319,6,17.9,652.7,99,98,97,2,4,197,32.4,0.7,0.2,0.6
"Valkenburg aan de Geul","GM0994",2022-02-09,16201,4417,3958,3646,2833.2,4759,27263.7,"&#9989;",74,74,74,0,0,456.8,36,36,36,0,0,222.2,27.3,0.5,0.2,0.8
"Lelystad","GM0995",2022-02-09,81048,23004,18955,16686,4995.8,7795.4,28383.2,"&#x26a1;",496,492,489,4.9,8.6,612,84,83,83,1.2,1.2,103.6,28.4,0.6,0.1,0.4
"Horst aan de Maas","GM1507",2022-02-09,43033,15560,13511,12338,4761.5,7487.3,36158.3,"&#x26a1;",175,172,171,7,9.3,406.7,78,78,78,0,0,181.3,36.2,0.4,0.2,0.5
"Oude IJsselstreek","GM1509",2022-02-09,39393,10695,8931,8137,4478,6493.5,27149.5,"&#x26a1;",173,170,168,7.6,12.7,439.2,58,58,58,0,0,147.2,27.1,0.4,0.1,0.5
"Teylingen","GM1525",2022-02-09,37941,11879,10088,8921,4720.5,7796.3,31309.1,"&#x1F7E3;",119,118,117,2.6,5.3,313.6,28,28,28,0,0,73.8,31.3,0.3,0.1,0.2
