"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Dalfsen","GM0148",2022-02-09,29133,8208,6649,5721,5351.3,8536.7,28174.2,"&#x1F7E3;",62,62,61,0,3.4,212.8,24,24,24,0,0,82.4,28.2,0.2,0.1,0.3
"Deventer","GM0150",2022-02-09,101453,28244,22801,19701,5365,8420.6,27839.5,"&#x26a1;",453,445,436,7.9,16.8,446.5,102,101,101,1,1,100.5,27.8,0.4,0.1,0.4
"Enschede","GM0153",2022-02-09,160698,48152,41316,35345,4253.9,7969.6,29964.3,"&#x26a1;",837,828,819,5.6,11.2,520.9,201,199,199,1.2,1.2,125.1,30,0.5,0.1,0.4
"Haaksbergen","GM0158",2022-02-09,24282,7516,6486,5660,4241.8,7643.5,30953,"&#x26a1;",113,112,110,4.1,12.4,465.4,34,34,34,0,0,140,31,0.5,0.1,0.5
"Hardenberg","GM0160",2022-02-09,61787,17814,14370,12726,5574,8234.7,28831.3,"&#x26a1;",249,245,245,6.5,6.5,403,51,51,51,0,0,82.5,28.8,0.4,0.1,0.3
"Hellendoorn","GM0163",2022-02-09,35956,11238,9731,8593,4191.2,7356.2,31254.9,"&#x26a1;",192,191,189,2.8,8.3,534,54,54,54,0,0,150.2,31.3,0.5,0.2,0.5
"Hengelo","GM0164",2022-02-09,81422,23902,20622,17641,4028.4,7689.6,29355.7,"&#x26a1;",385,382,381,3.7,4.9,472.8,74,74,74,0,0,90.9,29.4,0.5,0.1,0.3
"Kampen","GM0166",2022-02-09,54760,16512,13393,11512,5695.8,9130.8,30153.4,"&#x26a1;",151,148,148,5.5,5.5,275.7,59,58,57,1.8,3.7,107.7,30.2,0.3,0.1,0.4
"Losser","GM0168",2022-02-09,23054,7024,6137,5514,3847.5,6549.8,30467.6,"&#x26a1;",125,123,123,8.7,8.7,542.2,38,38,38,0,0,164.8,30.5,0.5,0.2,0.5
"Noordoostpolder","GM0171",2022-02-09,48051,13951,10847,9363,6459.8,9548.2,29033.7,"&#x26a1;",144,143,137,2.1,14.6,299.7,34,34,34,0,0,70.8,29,0.3,0.1,0.2
"Oldenzaal","GM0173",2022-02-09,31759,10040,8718,7630,4162.6,7588.4,31613.1,"&#x26a1;",178,176,172,6.3,18.9,560.5,53,53,53,0,0,166.9,31.6,0.6,0.2,0.5
"Ommen","GM0175",2022-02-09,18424,4942,4064,3519,4765.5,7723.6,26823.7,"&#9989;",59,59,59,0,0,320.2,19,19,19,0,0,103.1,26.8,0.3,0.1,0.4
"Raalte","GM0177",2022-02-09,38170,11298,9159,8229,5603.9,8040.3,29599.2,"&#x26a1;",134,131,131,7.9,7.9,351.1,52,52,52,0,0,136.2,29.6,0.4,0.1,0.5
"Staphorst","GM0180",2022-02-09,17288,7034,6028,5435,5819.1,9249.2,40687.2,"&#x26a1;",93,93,92,0,5.8,537.9,29,29,29,0,0,167.7,40.7,0.5,0.2,0.4
"Tubbergen","GM0183",2022-02-09,21362,7798,6964,6324,3904.1,6900.1,36504.1,"&#9989;",106,106,106,0,0,496.2,22,21,21,4.7,4.7,103,36.5,0.5,0.1,0.3
"Urk","GM0184",2022-02-09,21436,7664,6195,5273,6853,11154.1,35752.9,"&#x26a1;",181,177,173,18.7,37.3,844.4,24,24,24,0,0,112,35.8,0.8,0.1,0.3
"Wierden","GM0189",2022-02-09,24626,8747,7623,6762,4564.3,8060.6,35519.4,"&#x26a1;",135,133,131,8.1,16.2,548.2,31,31,31,0,0,125.9,35.5,0.5,0.1,0.4
"Zwolle","GM0193",2022-02-09,130592,37058,29953,25680,5440.6,8712.6,28376.9,"&#x26a1;",346,338,328,6.1,13.8,264.9,148,148,146,0,1.5,113.3,28.4,0.3,0.1,0.4
"Aalten","GM0197",2022-02-09,27090,6648,5619,5023,3798.4,5998.5,24540.4,"&#x26a1;",119,117,116,7.4,11.1,439.3,33,33,33,0,0,121.8,24.5,0.4,0.1,0.5
"Apeldoorn","GM0200",2022-02-09,165525,46361,38804,34057,4565.5,7433.3,28008.5,"&#x26a1;",794,785,772,5.4,13.3,479.7,197,197,196,0,0.6,119,28,0.5,0.1,0.4
"Arnhem","GM0202",2022-02-09,163972,47011,35038,33141,7301.9,8458.8,28670.1,"&#x26a1;",586,582,570,2.4,9.8,357.4,161,160,160,0.6,0.6,98.2,28.7,0.4,0.1,0.3
"Barneveld","GM0203",2022-02-09,60544,22260,17435,16857,7969.4,8924.1,36766.6,"&#x26a1;",319,316,312,5,11.6,526.9,83,83,82,0,1.7,137.1,36.8,0.5,0.1,0.4
"Beuningen","GM0209",2022-02-09,26225,7667,6494,5717,4472.8,7435.7,29235.5,"&#x26a1;",147,146,143,3.8,15.3,560.5,28,28,28,0,0,106.8,29.2,0.6,0.1,0.4
"Brummen","GM0213",2022-02-09,20902,4995,4238,3689,3621.7,6248.2,23897.2,"&#9989;",94,94,94,0,0,449.7,25,25,25,0,0,119.6,23.9,0.4,0.1,0.5
"Buren","GM0214",2022-02-09,27184,7659,6517,5599,4201,7578,28174.7,"&#x26a1;",168,166,163,7.4,18.4,618,26,26,26,0,0,95.6,28.2,0.6,0.1,0.3
"Culemborg","GM0216",2022-02-09,29425,8647,7525,6551,3813.1,7123.2,29386.6,"&#x26a1;",178,175,173,10.2,17,604.9,24,24,24,0,0,81.6,29.4,0.6,0.1,0.3
"Doesburg","GM0221",2022-02-09,11051,2562,1849,1753,6451.9,7320.6,23183.4,"&#9989;",41,41,41,0,0,371,9,9,9,0,0,81.4,23.2,0.4,0.1,0.4
"Doetinchem","GM0222",2022-02-09,58563,16199,13619,12139,4405.5,6932.7,27660.8,"&#x26a1;",218,216,215,3.4,5.1,372.2,54,54,53,0,1.7,92.2,27.7,0.4,0.1,0.3
"Druten","GM0225",2022-02-09,19167,5971,5212,4638,3959.9,6954.7,31152.5,"&#x26a1;",147,144,139,15.7,41.7,766.9,31,31,31,0,0,161.7,31.2,0.8,0.2,0.5
"Duiven","GM0226",2022-02-09,24945,6709,4794,4556,7676.9,8631,26895.2,"&#x26a1;",80,80,78,0,8,320.7,18,18,18,0,0,72.2,26.9,0.3,0.1,0.3
"Ede","GM0228",2022-02-09,119970,38860,28232,26815,8858.9,10040,32391.4,"&#x1F7E3;",522,520,517,1.7,4.2,435.1,118,118,118,0,0,98.4,32.4,0.4,0.1,0.3
"Elburg","GM0230",2022-02-09,23745,7578,6244,5396,5618,9189.3,31914.1,"&#x26a1;",110,110,106,0,16.8,463.3,26,26,23,0,12.6,109.5,31.9,0.5,0.1,0.3
"Epe","GM0232",2022-02-09,33256,8830,7335,6584,4495.4,6753.7,26551.6,"&#x26a1;",187,186,185,3,6,562.3,55,55,55,0,0,165.4,26.6,0.6,0.2,0.6
"Ermelo","GM0233",2022-02-09,27294,8206,6807,5932,5125.7,8331.5,30065.2,"&#x26a1;",167,164,163,11,14.7,611.9,45,45,45,0,0,164.9,30.1,0.6,0.2,0.5
"Harderwijk","GM0243",2022-02-09,48810,14947,12158,10380,5714,9356.7,30622.8,"&#x26a1;",291,288,281,6.1,20.5,596.2,63,62,62,2,2,129.1,30.6,0.6,0.1,0.4
"Hattem","GM0244",2022-02-09,12311,3556,2920,2440,5166.1,9065.1,28884.7,"&#x26a1;",37,36,36,8.1,8.1,300.5,7,7,7,0,0,56.9,28.9,0.3,0.1,0.2
"Heerde","GM0246",2022-02-09,18974,4584,3691,3246,4706.4,7051.8,24159.4,"&#9989;",58,58,58,0,0,305.7,33,33,33,0,0,173.9,24.2,0.3,0.2,0.7
"Heumen","GM0252",2022-02-09,17142,4566,3862,3412,4106.9,6732,26636.3,"&#9989;",80,80,80,0,0,466.7,21,21,21,0,0,122.5,26.6,0.5,0.1,0.5
"Lochem","GM0262",2022-02-09,34094,8203,7041,6246,3408.2,5740,24060,"&#9989;",109,109,109,0,0,319.7,43,43,43,0,0,126.1,24.1,0.3,0.1,0.5
"Maasdriel","GM0263",2022-02-09,25515,9053,8012,7060,4080,7811.1,35481.1,"&#x26a1;",157,157,155,0,7.8,615.3,45,45,45,0,0,176.4,35.5,0.6,0.2,0.5
"Nijkerk","GM0267",2022-02-09,44214,14842,10895,10321,8927,10225.3,33568.6,"&#x26a1;",200,196,194,9,13.6,452.3,34,34,34,0,0,76.9,33.6,0.5,0.1,0.2
"Nijmegen","GM0268",2022-02-09,179171,53922,45262,39305,4833.4,8158.1,30095.3,"&#x26a1;",954,941,926,7.3,15.6,532.5,235,235,235,0,0,131.2,30.1,0.5,0.1,0.4
"Oldebroek","GM0269",2022-02-09,23926,7455,6167,5487,5383.3,8225.4,31158.6,"&#x26a1;",109,108,105,4.2,16.7,455.6,43,43,42,0,4.2,179.7,31.2,0.5,0.2,0.6
