"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
130,"&#x26a1;","Gorinchem",0,2,"&#x2798;"
349,"&#x26a1;","Gouda",0,9,"-"
407,"&#x26a1;","Groningen",3,11,"&#x279A;"
33,"&#9989;","Gulpen-Wittem",0,0,"-"
52,"&#x26a1;","Haaksbergen",0,2,"&#x279A;"
321,"&#x26a1;","Haarlem",0,4,"&#x2798;"
325,"&#x26a1;","Haarlemmermeer",0,9,"&#x279A;"
102,"&#x26a1;","Halderberge",0,3,"&#x279A;"
169,"&#128721;","Hardenberg",0,0,"&#x2798;"
167,"&#x26a1;","Harderwijk",0,6,"&#x279A;"
76,"&#x26a1;","Hardinxveld-Giessendam",0,0,"&#x2798;"
38,"&#x26a1;","Harlingen",0,1,"-"
26,"&#x26a1;","Hattem",0,0,"&#x2798;"
102,"&#128165;","Heemskerk",1,1,"&#x279A;"
46,"&#x26a1;","Heemstede",0,1,"-"
36,"&#9989;","Heerde",0,0,"-"
113,"&#9989;","Heerenveen",0,0,"-"
330,"&#x26a1;","Heerlen",1,7,"&#x279A;"
48,"&#9989;","Heeze-Leende",0,0,"-"
50,"&#x26a1;","Heiloo",1,2,"&#x279A;"
134,"&#x26a1;","Hellendoorn",0,2,"&#x279A;"
161,"&#x26a1;","Hellevoetsluis",0,2,"&#x2798;"
385,"&#x26a1;","Helmond",0,5,"&#x279A;"
116,"&#x26a1;","Hendrik-Ido-Ambacht",0,1,"&#x2798;"
220,"&#128721;","Hengelo",0,1,"&#x279A;"
73,"&#x26a1;","Het Hogeland",1,2,"&#x279A;"
40,"&#9989;","Heumen",0,0,"-"
161,"&#x26a1;","Heusden",0,3,"-"
38,"&#x26a1;","Hillegom",0,0,"&#x2798;"
35,"&#x26a1;","Hilvarenbeek",0,0,"&#x2798;"
207,"&#x26a1;","Hilversum",0,0,"&#x2798;"
323,"&#x26a1;","Hoeksche Waard",0,8,"&#x279A;"
93,"&#x26a1;","Hof van Twente",0,1,"&#x279A;"
127,"&#9989;","Hollands Kroon",0,0,"-"
173,"&#x26a1;","Hoogeveen",0,5,"&#x279A;"
300,"&#x26a1;","Hoorn",1,4,"&#x2798;"
122,"&#x1F7E3;","Horst aan de Maas",0,1,"-"
89,"&#9989;","Houten",0,0,"-"
110,"&#128721;","Huizen",0,0,"&#x2798;"
87,"&#x26a1;","Hulst",0,2,"&#x2798;"
90,"&#x26a1;","IJsselstein",0,3,"&#x2798;"
44,"&#x26a1;","Kaag en Braassem",0,3,"&#x279A;"
103,"&#x26a1;","Kampen",1,2,"&#x2798;"
23,"&#x26a1;","Kapelle",0,2,"&#x279A;"
194,"&#x26a1;","Katwijk",0,3,"&#x2798;"
158,"&#x26a1;","Kerkrade",0,2,"&#x2798;"
72,"&#x26a1;","Koggenland",0,2,"-"
128,"&#x26a1;","Krimpen aan den IJssel",0,0,"&#x2798;"
224,"&#x26a1;","Krimpenerwaard",0,4,"&#x279A;"
82,"&#x1F7E3;","Laarbeek",0,0,"&#x2798;"
284,"&#x26a1;","Land van Cuijk",0,4,"&#x2798;"
147,"&#x26a1;","Landgraaf",1,6,"&#x279A;"
40,"&#x26a1;","Landsmeer",0,1,"&#x2798;"
154,"&#128721;","Lansingerland",0,1,"-"
17,"&#x26a1;","Laren",0,0,"&#x2798;"
360,"&#x26a1;","Leeuwarden",0,8,"&#x279A;"
237,"&#x26a1;","Leiden",0,2,"&#x2798;"
44,"&#x26a1;","Leiderdorp",0,2,"&#x279A;"
171,"&#x26a1;","Leidschendam-Voorburg",0,4,"&#x2798;"
297,"&#x26a1;","Lelystad",0,2,"&#x2798;"
132,"&#x26a1;","Leudal",0,3,"&#x2798;"
51,"&#x1F7E3;","Leusden",0,0,"&#x2798;"
133,"&#128721;","Lingewaard",0,0,"&#x2798;"
54,"&#9989;","Lisse",0,0,"-"
61,"&#9989;","Lochem",0,0,"-"
92,"&#x26a1;","Loon op Zand",0,2,"&#x279A;"
45,"&#x26a1;","Lopik",0,0,"&#x2798;"
58,"&#x26a1;","Losser",0,0,"&#x2798;"
108,"&#x26a1;","Maasdriel",0,2,"-"
115,"&#x26a1;","Maasgouw",0,1,"-"
170,"&#9989;","Maashorst",0,0,"-"
105,"&#9989;","Maassluis",0,0,"-"
476,"&#x26a1;","Maastricht",0,5,"&#x2798;"
144,"&#x26a1;","Medemblik",0,2,"&#x279A;"
80,"&#x26a1;","Meerssen",0,1,"-"
248,"&#x26a1;","Meierijstad",0,3,"&#x2798;"
76,"&#x26a1;","Meppel",0,3,"&#x279A;"
115,"&#x26a1;","Middelburg",0,4,"&#x279A;"
34,"&#x26a1;","Midden-Delfland",0,2,"&#x279A;"
70,"&#128721;","Midden-Drenthe",0,0,"&#x2798;"
213,"&#x26a1;","Midden-Groningen",0,2,"&#x2798;"
129,"&#x26a1;","Moerdijk",0,1,"&#x2798;"
158,"&#x26a1;","Molenlanden",0,2,"&#x2798;"
111,"&#x26a1;","Montferland",0,1,"-"
44,"&#x26a1;","Montfoort",0,2,"&#x279A;"
11,"&#9989;","Mook en Middelaar",0,0,"-"
145,"&#x26a1;","Neder-Betuwe",0,2,"-"
70,"&#x26a1;","Nederweert",0,2,"&#x279A;"
221,"&#x26a1;","Nieuwegein",0,4,"&#x2798;"
80,"&#x26a1;","Nieuwkoop",0,1,"-"
120,"&#x26a1;","Nijkerk",0,2,"&#x279A;"
578,"&#x26a1;","Nijmegen",0,11,"&#x279A;"
387,"&#x26a1;","Nissewaard",0,6,"&#x2798;"
195,"&#x26a1;","Noardeast-Fryslân",0,5,"&#x279A;"
28,"&#x26a1;","Noord-Beveland",0,0,"&#x2798;"
77,"&#x26a1;","Noordenveld",0,1,"-"
101,"&#x26a1;","Noordoostpolder",0,6,"&#x279A;"
102,"&#x26a1;","Noordwijk",0,0,"&#x2798;"
79,"&#x26a1;","Nuenen, Gerwen en Nederwetten",0,2,"&#x279A;"
118,"&#x26a1;","Nunspeet",0,1,"&#x279A;"
47,"&#x26a1;","Oegstgeest",0,1,"-"
69,"&#x26a1;","Oirschot",0,1,"-"
98,"&#x26a1;","Oisterwijk",0,1,"-"
155,"&#x1F7E3;","Oldambt",0,1,"-"
80,"&#x26a1;","Oldebroek",0,3,"&#x279A;"
95,"&#x26a1;","Oldenzaal",1,4,"&#x279A;"
30,"&#9989;","Olst-Wijhe",0,0,"-"
30,"&#x26a1;","Ommen",0,0,"&#x2798;"
60,"&#x26a1;","Oost Gelre",0,1,"&#x279A;"
180,"&#x26a1;","Oosterhout",0,4,"&#x2798;"
54,"&#x26a1;","Ooststellingwerf",0,0,"&#x2798;"
20,"&#x26a1;","Oostzaan",0,1,"-"
40,"&#x26a1;","Opmeer",0,2,"&#x279A;"
75,"&#x26a1;","Opsterland",0,1,"-"
326,"&#x26a1;","Oss",0,6,"&#x279A;"
111,"&#x1F7E3;","Oude IJsselstreek",0,1,"-"
29,"&#9989;","Ouder-Amstel",0,0,"-"
15,"&#9989;","Oudewater",0,0,"-"
105,"&#x1F7E3;","Overbetuwe",0,1,"-"
126,"&#x26a1;","Papendrecht",1,3,"&#x279A;"
119,"&#x26a1;","Peel en Maas",0,3,"&#x279A;"
56,"&#9989;","Pekela",0,0,"-"
138,"&#x26a1;","Pijnacker-Nootdorp",0,8,"&#x279A;"
434,"&#x26a1;","Purmerend",0,5,"&#x279A;"
79,"&#x26a1;","Putten",0,4,"&#x279A;"
81,"&#9989;","Raalte",0,0,"-"
100,"&#x26a1;","Reimerswaal",0,2,"&#x279A;"
63,"&#9989;","Renkum",0,0,"-"
15,"&#9989;","Renswoude",0,0,"-"
42,"&#9989;","Reusel-De Mierden",0,0,"-"
128,"&#9989;","Rheden",0,0,"-"
74,"&#x26a1;","Rhenen",0,1,"&#x279A;"
283,"&#x26a1;","Ridderkerk",0,11,"&#x279A;"
185,"&#x26a1;","Rijssen-Holten",0,2,"&#x279A;"
183,"&#x26a1;","Rijswijk",0,3,"&#x2798;"
96,"&#x26a1;","Roerdalen",0,2,"&#x279A;"
334,"&#x26a1;","Roermond",0,9,"&#x279A;"
278,"&#x26a1;","Roosendaal",0,3,"-"
3377,"&#x26a1;","Rotterdam",1,82,"-"
0,"&#9989;","Rozendaal",0,0,"-"
93,"&#x26a1;","Rucphen",0,2,"&#x279A;"
153,"&#x26a1;","Schagen",0,1,"&#x2798;"
31,"&#x26a1;","Scherpenzeel",0,1,"&#x279A;"
361,"&#x26a1;","Schiedam",0,0,"&#x2798;"
1,"&#9989;","Schiermonnikoog",0,0,"-"
107,"&#x26a1;","Schouwen-Duiveland",0,2,"&#x2798;"
29,"&#x26a1;","Simpelveld",0,1,"&#x279A;"
92,"&#x26a1;","Sint-Michielsgestel",0,1,"-"
281,"&#128165;","Sittard-Geleen",1,1,"&#x2798;"
118,"&#x26a1;","Sliedrecht",0,4,"&#x279A;"
61,"&#x26a1;","Sluis",0,1,"&#x279A;"
172,"&#x26a1;","Smallingerland",0,3,"&#x279A;"
128,"&#x26a1;","Soest",0,5,"&#x279A;"
64,"&#9989;","Someren",0,0,"-"
53,"&#x26a1;","Son en Breugel",0,1,"&#x279A;"
118,"&#x26a1;","Stadskanaal",0,2,"-"
69,"&#x26a1;","Staphorst",0,1,"&#x279A;"
72,"&#x26a1;","Stede Broec",0,1,"&#x279A;"
92,"&#x1F7E3;","Steenbergen",0,0,"&#x2798;"
95,"&#9989;","Steenwijkerland",0,0,"-"
80,"&#x26a1;","Stein",0,1,"&#x2798;"
215,"&#x26a1;","Stichtse Vecht",0,4,"&#x2798;"
242,"&#x26a1;","Súdwest-Fryslân",0,4,"&#x279A;"
216,"&#x26a1;","Terneuzen",1,2,"&#x2798;"
14,"&#9989;","Terschelling",0,0,"-"
13,"&#x26a1;","Texel",0,1,"&#x279A;"
65,"&#x1F7E3;","Teylingen",0,1,"&#x279A;"
138,"&#x26a1;","Tholen",0,0,"&#x2798;"
192,"&#x26a1;","Tiel",0,4,"&#x279A;"
767,"&#x26a1;","Tilburg",0,14,"&#x279A;"
59,"&#9989;","Tubbergen",0,0,"-"
130,"&#x26a1;","Twenterand",0,0,"&#x2798;"
46,"&#128721;","Tynaarlo",0,0,"&#x2798;"
88,"&#x26a1;","Tytsjerksteradiel",0,1,"-"
20,"&#9989;","Uitgeest",0,0,"-"
79,"&#x26a1;","Uithoorn",0,3,"-"
113,"&#x26a1;","Urk",0,4,"&#x279A;"
1004,"&#x26a1;","Utrecht",0,28,"-"
129,"&#x1F7E3;","Utrechtse Heuvelrug",0,0,"&#x2798;"
28,"&#x26a1;","Vaals",0,1,"&#x279A;"
47,"&#9989;","Valkenburg aan de Geul",0,0,"-"
141,"&#x26a1;","Valkenswaard",0,2,"-"
103,"&#x26a1;","Veendam",0,0,"&#x2798;"
184,"&#x26a1;","Veenendaal",0,2,"-"
54,"&#x26a1;","Veere",0,1,"&#x279A;"
192,"&#128721;","Veldhoven",0,0,"&#x2798;"
168,"&#x26a1;","Velsen",0,2,"-"
411,"&#x26a1;","Venlo",0,5,"&#x279A;"
148,"&#x26a1;","Venray",0,3,"-"
213,"&#x26a1;","Vijfheerenlanden",0,3,"&#x2798;"
