"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
13725,"&#x26a1;","Noordwijk",89,643,"&#x2798;"
6931,"&#x26a1;","Nuenen, Gerwen en Nederwetten",35,340,"&#x2798;"
9321,"&#x26a1;","Nunspeet",45,573,"&#x2798;"
7541,"&#x26a1;","Oegstgeest",47,332,"&#x2798;"
5987,"&#x26a1;","Oirschot",28,305,"&#x2798;"
9892,"&#x26a1;","Oisterwijk",35,334,"&#x2798;"
9652,"&#x26a1;","Oldambt",126,726,"&#x2798;"
7991,"&#x26a1;","Oldebroek",38,397,"&#x2798;"
10129,"&#x26a1;","Oldenzaal",82,511,"&#x2798;"
5139,"&#x26a1;","Olst-Wijhe",45,374,"&#x2798;"
5552,"&#x26a1;","Ommen",41,365,"&#x2798;"
9260,"&#x26a1;","Oost Gelre",71,537,"&#x2798;"
17251,"&#x26a1;","Oosterhout",51,625,"&#x2798;"
6708,"&#x26a1;","Ooststellingwerf",74,555,"&#x2798;"
3122,"&#x26a1;","Oostzaan",17,126,"&#x2798;"
3964,"&#x26a1;","Opmeer",8,134,"&#x2798;"
8934,"&#x26a1;","Opsterland",76,667,"&#x2798;"
29908,"&#x26a1;","Oss",211,1458,"&#x2798;"
11609,"&#x26a1;","Oude IJsselstreek",82,777,"&#x2798;"
4505,"&#x26a1;","Ouder-Amstel",24,234,"&#x279A;"
3148,"&#x26a1;","Oudewater",9,108,"&#x2798;"
15298,"&#x26a1;","Overbetuwe",107,932,"&#x2798;"
10229,"&#x26a1;","Papendrecht",74,448,"&#x2798;"
13943,"&#x26a1;","Peel en Maas",75,637,"&#x2798;"
3363,"&#x26a1;","Pekela",41,233,"&#x2798;"
18828,"&#x26a1;","Pijnacker-Nootdorp",113,818,"&#x2798;"
29012,"&#x26a1;","Purmerend",176,1230,"&#x2798;"
8566,"&#x26a1;","Putten",42,406,"&#x2798;"
12043,"&#x26a1;","Raalte",99,705,"&#x2798;"
9951,"&#x26a1;","Reimerswaal",46,359,"&#x2798;"
7652,"&#x26a1;","Renkum",53,518,"&#x2798;"
2077,"&#x26a1;","Renswoude",10,88,"&#x2798;"
4233,"&#x26a1;","Reusel-De Mierden",22,177,"&#x2798;"
11861,"&#x26a1;","Rheden",85,785,"&#x2798;"
6823,"&#x26a1;","Rhenen",43,310,"&#x2798;"
14798,"&#x26a1;","Ridderkerk",72,541,"&#x2798;"
14710,"&#x26a1;","Rijssen-Holten",94,744,"&#x2798;"
16295,"&#x26a1;","Rijswijk",119,682,"&#x2798;"
5848,"&#x26a1;","Roerdalen",29,231,"&#x2798;"
18514,"&#x26a1;","Roermond",56,610,"&#x2798;"
23218,"&#x26a1;","Roosendaal",83,699,"&#x2798;"
210438,"&#x26a1;","Rotterdam",880,6158,"&#x2798;"
595,"&#x26a1;","Rozendaal",9,45,"&#x2798;"
6691,"&#x26a1;","Rucphen",13,159,"&#x2798;"
14394,"&#x26a1;","Schagen",92,639,"&#x2798;"
3705,"&#x26a1;","Scherpenzeel",17,150,"&#x2798;"
23649,"&#x26a1;","Schiedam",75,792,"&#x2798;"
145,"&#x26a1;","Schiermonnikoog",2,5,"&#x2798;&#x2798;"
9454,"&#x26a1;","Schouwen-Duiveland",100,510,"&#x2798;"
2926,"&#x26a1;","Simpelveld",19,126,"&#x2798;"
9827,"&#x26a1;","Sint-Michielsgestel",50,481,"&#x2798;"
28248,"&#x26a1;","Sittard-Geleen",147,1219,"&#x2798;"
9347,"&#x26a1;","Sliedrecht",61,380,"&#x2798;"
4951,"&#x26a1;","Sluis",19,230,"&#x2798;"
