"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2023-01-20,1032,16527,21,0,7,690,354,155,13995,1,66,509,28,537,3.2,69.4,67,72.6,28,4.4,95.4,72.7,72.7,561.2,36.2,597.4,41.8,745,786.8,86.6,75.3,75.9
2023-01-19,1032,16537,32,0,10,683,375,164,14058,5,57,539,42,581,4,71.8,62,75.8,42,5.4,100.2,74.1,71.7,590.6,38,628.6,44,787.2,831.2,86.4,75,75.6
2023-01-18,1034,16516,32,0,7,707,393,181,14083,6,63,574,39,613,4,75.4,69,79.4,39,6,109,66.7,69.2,619.8,38.2,658,44.8,832.4,877.2,85.3,74.5,75
2023-01-17,1029,16487,28,0,5,711,407,179,13555,1,91,586,33,619,4,81.6,92,85.6,33,5.4,117,74.1,69.7,648.2,39,687.2,45.6,870,915.6,85.5,74.5,75.1
2023-01-16,1017,16211,30,0,9,658,425,173,13059,3,70,598,39,637,4.4,86.6,73,91,39,6.2,124.4,71,69.6,693.4,40.6,734,49.6,894.2,943.8,81.9,77.5,77.8
2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,95.4,NA,99.8,NA,7.2,129.4,61.1,73.7,745,41.8,786.8,50.2,904.2,954.4,83.3,82.4,82.4
2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,95.4,NA,99.8,NA,7.2,129.4,61.1,73.7,745,41.8,786.8,50.2,904.2,954.4,83.3,82.4,82.4
2023-01-13,1019,16494,31,0,6,724,480,176,13911,5,78,656,37,693,4.4,95.4,83,99.8,37,7.2,129.4,61.1,73.7,745,41.8,786.8,50.2,904.2,954.4,83.3,82.4,82.4
2023-01-12,1018,16517,35,0,8,735,509,176,14023,5,75,685,43,728,5.4,100.2,80,105.6,43,6.8,138.2,79.4,72.5,787.2,44,831.2,49.4,910.8,960.2,89.1,86.4,86.6
2023-01-11,1023,16340,37,0,6,726,526,190,13826,6,94,716,43,759,6,109,100,115,43,7.8,140.4,76.9,77.6,832.4,44.8,877.2,50.4,902.4,952.8,88.9,92.2,92.1
2023-01-10,1037,16380,36,0,5,745,628,184,13752,3,116,812,41,853,5.4,117,119,122.4,41,8.4,141.6,64.3,82.6,870,45.6,915.6,50.6,909.4,960,90.1,95.7,95.4
2023-01-09,1019,16092,39,0,6,702,675,181,12908,3,114,856,45,901,6.2,124.4,117,130.6,45,8.4,143.4,73.8,86.8,894.2,49.6,943.8,48,897.2,945.2,103.3,99.7,99.9
2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,129.4,NA,136.6,NA,8.5,144.5,84.7,89.6,904.2,50.2,954.4,48,895,943,104.6,101,101.2
2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,129.4,NA,136.6,NA,8.5,144.5,84.7,89.6,904.2,50.2,954.4,48,895,943,104.6,101,101.2
2023-01-06,1024,16052,45,0,3,765,673,194,13490,10,102,867,48,915,7.2,129.4,112,136.6,48,8.5,144.5,84.7,89.6,904.2,50.2,954.4,48,895,943,104.6,101,101.2
2023-01-05,1031,16081,41,0,6,768,711,200,13539,8,119,911,47,958,6.8,138.2,127,145,47,8.75,137.25,77.7,100.7,910.8,49.4,960.2,48.75,861.75,910.5,101.3,105.7,105.5
2023-01-04,1021,16026,39,0,8,749,724,180,13613,3,134,904,47,951,7.8,140.4,137,148.2,47,8.75,137.5,89.1,102.1,902.4,50.4,952.8,46.25,834.75,881,109,108.1,108.1
2023-01-03,1009,16030,52,0,9,737,767,166,13482,7,153,933,61,994,8.4,141.6,160,150,61,9.75,131.75,86.2,107.5,909.4,50.6,960,43.75,787.5,831.25,115.7,115.5,115.5
2023-01-02,1007,15709,43,0,5,689,740,166,12625,8,139,906,48,954,8.4,143.4,147,151.8,48,9.25,116,90.8,123.6,897.2,48,945.2,39.5,750.25,789.75,121.5,119.6,119.7
2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,144.5,NA,153,NA,8.6,114.2,98.8,126.5,895,48,943,38,745,783,126.3,120.1,120.4
2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,144.5,NA,153,NA,8.6,114.2,98.8,126.5,895,48,943,38,745,783,126.3,120.1,120.4
2022-12-30,1009,15593,39,0,5,688,726,174,12903,8,146,900,44,944,8.5,144.5,154,153,44,8.6,114.2,98.8,126.5,895,48,943,38,745,783,126.3,120.1,120.4
2022-12-29,1011,15630,46,0,6,706,711,158,12690,13,130,869,52,921,8.75,137.25,143,146,52,8,112,109.4,122.5,861.75,48.75,910.5,34,724.2,758.2,143.4,119,120.1
2022-12-28,1016,15473,40,0,8,685,773,166,12847,6,140,939,48,987,8.75,137.5,146,146.25,48,6.6,104.8,132.6,131.2,834.75,46.25,881,30.2,697,727.2,153.1,119.8,121.1
2022-12-27,1001,15392,42,0,6,646,750,122,12153,7,162,872,48,920,9.75,131.75,169,141.5,48,6.2,96.6,157.3,136.4,787.5,43.75,831.25,28,667.4,695.4,156.2,118,119.5
2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,116,NA,125.25,NA,6.4,96,144.5,120.8,750.25,39.5,789.75,26.8,644.4,671.2,147.4,116.4,117.7
2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,114.2,NA,122.8,NA,6.4,93.2,134.4,122.5,745,38,783,25.6,616.4,642,148.4,120.9,122
2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,114.2,NA,122.8,NA,6.4,93.2,134.4,122.5,745,38,783,25.6,616.4,642,148.4,120.9,122
2022-12-23,1027,16373,44,0,3,744,637,130,13638,9,117,767,47,814,8.6,114.2,126,122.8,47,6.4,93.2,134.4,122.5,745,38,783,25.6,616.4,642,148.4,120.9,122
2022-12-22,994,16000,39,0,3,741,615,146,13847,13,131,761,42,803,8,112,144,120,42,5.8,90.4,137.9,123.9,724.2,34,758.2,26.4,602.8,629.2,128.8,120.1,120.5
2022-12-21,1012,15962,31,0,7,754,601,149,14122,10,117,750,38,788,6.6,104.8,127,111.4,38,5.2,87.4,126.9,119.9,697,30.2,727.2,28.8,596.4,625.2,104.9,116.9,116.3
2022-12-20,1006,16129,26,0,5,737,584,139,14119,5,99,723,31,754,6.2,96.6,104,102.8,31,4.6,87.8,134.8,110,667.4,28,695.4,31.2,592.2,623.4,89.7,112.7,111.5
2022-12-19,1038,15941,26,0,6,739,593,131,13738,6,107,724,32,756,6.4,96,113,102.4,32,4.4,80,145.5,120,644.4,26.8,671.2,33.6,587.6,621.2,79.8,109.7,108
2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,93.2,NA,99.6,NA,3.6,73.4,177.8,127,616.4,25.6,642,35.8,593,628.8,71.5,103.9,102.1
2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,93.2,NA,99.6,NA,3.6,73.4,177.8,127,616.4,25.6,642,35.8,593,628.8,71.5,103.9,102.1
2022-12-16,1032,16119,20,0,7,762,510,153,14387,6,106,663,27,690,6.4,93.2,112,99.6,27,3.6,73.4,177.8,127,616.4,25.6,642,35.8,593,628.8,71.5,103.9,102.1
2022-12-15,1028,16014,19,0,4,768,459,166,14276,6,95,625,23,648,5.8,90.4,101,96.2,23,3.8,69.4,152.6,130.3,602.8,26.4,629.2,36.6,587.8,624.4,72.1,102.6,100.8
2022-12-14,1044,15954,21,0,6,752,439,163,14146,8,76,602,27,629,5.2,87.4,84,92.6,27,4.4,69,118.2,126.7,596.4,28.8,625.2,36.8,590.6,627.4,78.3,101,99.6
2022-12-13,1045,15822,19,0,6,734,458,150,13882,6,96,608,25,633,4.6,87.8,102,92.4,25,4.2,67.4,109.5,130.3,592.2,31.2,623.4,35.4,596.2,631.6,88.1,99.3,98.7
2022-12-12,1026,15308,17,0,9,709,456,128,12977,6,93,584,26,610,4.4,80,99,84.4,26,4.2,73,104.8,109.6,587.6,33.6,621.2,34.4,604.2,638.6,97.7,97.3,97.3
2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,73.4,NA,77,NA,4.4,74,81.8,99.2,593,35.8,628.8,33.6,599.4,633,106.5,98.9,99.3
2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,73.4,NA,77,NA,4.4,74,81.8,99.2,593,35.8,628.8,33.6,599.4,633,106.5,98.9,99.3
2022-12-09,1025,16177,17,0,14,738,416,179,14077,3,92,595,31,626,3.6,73.4,95,77,31,4.4,74,81.8,99.2,593,35.8,628.8,33.6,599.4,633,106.5,98.9,99.3
2022-12-08,1028,16367,20,0,15,705,395,198,14219,3,80,593,35,628,3.8,69.4,83,73.2,35,4.4,75.4,86.4,92,587.8,36.6,624.4,33,601.8,634.8,110.9,97.7,98.4
2022-12-07,1022,16399,23,0,16,689,390,191,13996,5,78,581,39,620,4.4,69,83,73.4,39,4.4,75.6,100,91.3,590.6,36.8,627.4,32.2,597.4,629.6,114.3,98.9,99.7
2022-12-06,1026,16106,20,0,17,675,389,196,13948,5,57,585,37,622,4.2,67.4,62,71.6,37,4.2,75.2,100,89.6,596.2,35.4,631.6,32.4,593.2,625.6,109.3,100.5,101
2022-12-05,1018,15576,24,0,13,626,402,209,12958,2,60,611,37,648,4.2,73,62,77.2,37,4.2,72.8,100,100.3,604.2,34.4,638.6,32.6,593,625.6,105.5,101.9,102.1
2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,74,NA,78.4,NA,5.8,70.6,75.9,104.8,599.4,33.6,633,32.6,602,634.6,103.1,99.6,99.7
2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,74,NA,78.4,NA,5.8,70.6,75.9,104.8,599.4,33.6,633,32.6,602,634.6,103.1,99.6,99.7
2022-12-02,1021,15908,26,0,9,704,396,173,13836,4,72,569,35,604,4.4,74,76,78.4,35,5.8,70.6,75.9,104.8,599.4,33.6,633,32.6,602,634.6,103.1,99.6,99.7
2022-12-01,1021,15968,25,0,11,679,396,211,13783,6,78,607,36,643,4.4,75.4,84,79.8,36,5.2,66.2,84.6,113.9,601.8,33,634.8,31.6,609.6,641.2,104.4,98.7,99
2022-11-30,1016,15897,23,0,9,673,386,223,13726,4,70,609,32,641,4.4,75.6,74,80,32,4.6,61,95.7,123.9,597.4,32.2,629.6,32.2,620.6,652.8,100,96.3,96.4
2022-11-29,1026,15746,23,0,9,684,400,225,13612,5,85,625,32,657,4.2,75.2,90,79.4,32,5.2,60,80.8,125.3,593.2,32.4,625.6,32.4,632,664.4,100,93.9,94.2
2022-11-28,1022,15292,22,0,11,658,372,215,12543,3,65,587,33,620,4.2,72.8,68,77,33,4.8,59.2,87.5,123,593,32.6,625.6,33,642.8,675.8,98.8,92.3,92.6
2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,70.6,NA,76.4,NA,2.6,60.2,223.1,117.3,602,32.6,634.6,33.6,651,684.6,97,92.5,92.7
2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,70.6,NA,76.4,NA,2.6,60.2,223.1,117.3,602,32.6,634.6,33.6,651,684.6,97,92.5,92.7
2022-11-25,1030,15618,24,0,8,717,349,232,13469,4,79,581,32,613,5.8,70.6,83,76.4,32,2.6,60.2,223.1,117.3,602,32.6,634.6,33.6,651,684.6,97,92.5,92.7
2022-11-24,1023,15679,21,0,11,702,344,241,13507,6,79,585,32,617,5.2,66.2,85,71.4,32,3.4,63,152.9,105.1,609.6,31.6,641.2,35.6,665.6,701.2,88.8,91.6,91.4
2022-11-23,1017,15764,21,0,12,674,340,248,13571,3,68,588,33,621,4.6,61,71,65.6,33,3,65.4,153.3,93.3,620.6,32.2,652.8,36.6,683.6,720.2,88,90.8,90.6
2022-11-22,1024,15537,20,0,13,660,359,265,13163,5,73,624,33,657,5.2,60,78,65.2,33,2.8,64.6,185.7,92.9,632,32.4,664.4,37.8,705.6,743.4,85.7,89.6,89.4
2022-11-21,1019,15072,22,0,11,644,367,265,12357,11,54,632,33,665,4.8,59.2,65,64,33,2.8,68,171.4,87.1,642.8,33,675.8,37.2,733.2,770.4,88.7,87.7,87.7
2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,60.2,NA,62.8,NA,3.6,75.2,72.2,80.1,651,33.6,684.6,37.8,761.8,799.6,88.9,85.5,85.6
2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,60.2,NA,62.8,NA,3.6,75.2,72.2,80.1,651,33.6,684.6,37.8,761.8,799.6,88.9,85.5,85.6
2022-11-18,1019,15620,19,0,8,693,347,272,13447,1,57,619,27,646,2.6,60.2,58,62.8,27,3.6,75.2,72.2,80.1,651,33.6,684.6,37.8,761.8,799.6,88.9,85.5,85.6
2022-11-17,1001,15711,23,0,12,680,354,286,13488,3,53,640,35,675,3.4,63,56,66.4,35,3.2,78.2,106.2,80.6,665.6,35.6,701.2,37.6,793.4,831,94.7,83.9,84.4
2022-11-16,1007,15407,21,0,13,682,353,292,13449,6,63,645,34,679,3,65.4,69,68.4,34,3.8,85.8,78.9,76.2,683.6,36.6,720.2,36.8,829.4,866.2,99.5,82.4,83.1
2022-11-15,1019,15608,24,0,12,657,394,284,13345,3,69,678,36,714,2.8,64.6,72,67.4,36,4.2,91,66.7,71,705.6,37.8,743.4,37.8,867.2,905,100,81.4,82.1
2022-11-14,1011,15140,25,0,11,629,403,270,12383,0,59,673,36,709,2.8,68,59,70.8,36,4.4,91.8,63.6,74.1,733.2,37.2,770.4,40.4,896.8,937.2,92.1,81.8,82.2
2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,75.2,NA,78.8,NA,6.4,93.6,56.2,80.3,761.8,37.8,799.6,42.6,937.8,980.4,88.7,81.2,81.6
2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,75.2,NA,78.8,NA,6.4,93.6,56.2,80.3,761.8,37.8,799.6,42.6,937.8,980.4,88.7,81.2,81.6
2022-11-11,1018,15545,30,0,7,685,402,290,13279,5,71,692,37,729,3.6,75.2,76,78.8,37,6.4,93.6,56.2,80.3,761.8,37.8,799.6,42.6,937.8,980.4,88.7,81.2,81.6
2022-11-10,1007,15839,30,0,10,675,422,308,13421,1,65,730,40,770,3.2,78.2,66,81.4,40,8.6,97.6,37.2,80.1,793.4,37.6,831,46,965.2,1011.2,81.7,82.2,82.2
2022-11-09,1010,15810,33,0,7,662,449,306,13479,5,59,755,40,795,3.8,85.8,64,89.6,40,10,103.4,38,83,829.4,36.8,866.2,50.2,993.4,1043.6,73.3,83.5,83
2022-11-08,1021,15838,25,0,8,656,494,322,13473,3,86,816,33,849,4.2,91,89,95.2,33,10.6,115,39.6,79.1,867.2,37.8,905,53,1023.2,1076.2,71.3,84.8,84.1
2022-11-07,1004,15310,30,0,9,589,507,309,12314,4,95,816,39,855,4.4,91.8,99,96.2,39,11.6,125.6,37.9,73.1,896.8,40.4,937.2,54.8,1054.8,1109.6,73.7,85,84.5
2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,93.6,NA,100,NA,10.4,132.4,61.5,70.7,937.8,42.6,980.4,55.8,1077.6,1133.4,76.3,87,86.5
2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,93.6,NA,100,NA,10.4,132.4,61.5,70.7,937.8,42.6,980.4,55.8,1077.6,1133.4,76.3,87,86.5
2022-11-04,1026,15449,26,0,10,643,515,335,12836,3,86,850,36,886,6.4,93.6,89,100,36,10.4,132.4,61.5,70.7,937.8,42.6,980.4,55.8,1077.6,1133.4,76.3,87,86.5
2022-11-03,1013,15406,28,0,8,641,563,347,12890,4,103,910,36,946,8.6,97.6,107,106.2,36,8.6,140.6,100,69.4,965.2,46,1011.2,56.4,1104.8,1161.2,81.6,87.4,87.1
2022-11-02,1028,15423,35,0,10,659,603,341,13046,7,85,944,45,989,10,103.4,92,113.4,45,7.8,140.4,128.2,73.6,993.4,50.2,1043.6,57.6,1117.2,1174.8,87.2,88.9,88.8
2022-11-01,1029,15549,35,0,11,636,618,346,12892,4,90,964,46,1010,10.6,115,94,125.6,46,9.6,145,110.4,79.3,1023.2,53,1076.2,58.8,1133,1191.8,90.1,90.3,90.3
2022-10-31,1016,14792,43,0,7,561,691,330,11895,14,104,1021,50,1071,11.6,125.6,118,137.2,50,9.8,153.6,118.4,81.8,1054.8,54.8,1109.6,58.2,1145,1203.2,94.2,92.1,92.2
2022-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,132.4,NA,142.8,NA,9.4,162.2,110.6,81.6,1077.6,55.8,1133.4,56.2,1151.2,1207.4,99.3,93.6,93.9
2022-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,132.4,NA,142.8,NA,9.4,162.2,110.6,81.6,1077.6,55.8,1133.4,56.2,1151.2,1207.4,99.3,93.6,93.9
2022-10-28,1021,15131,40,0,13,636,688,299,12560,14,106,987,53,1040,10.4,132.4,120,142.8,53,9.4,162.2,110.6,81.6,1077.6,55.8,1133.4,56.2,1151.2,1207.4,99.3,93.6,93.9
2022-10-27,1016,15033,41,0,16,651,736,315,12568,11,132,1051,57,1108,8.6,140.6,143,149.2,57,9.8,162.4,87.8,86.6,1104.8,56.4,1161.2,52.4,1138,1190.4,107.6,97.1,97.5
2022-10-26,1019,15091,43,0,16,624,780,313,12660,10,143,1093,59,1152,7.8,140.4,153,148.2,59,10.6,167.2,73.6,84,1117.2,57.6,1174.8,49,1137.4,1186.4,117.6,98.2,99
2022-10-25,1020,15057,41,0,14,626,796,326,12634,9,143,1122,55,1177,9.6,145,152,154.6,55,9.8,161.8,98,89.6,1133,58.8,1191.8,45.6,1122,1167.6,128.9,101,102.1
2022-10-24,1007,14634,42,0,13,581,834,301,11787,8,138,1135,55,1190,9.8,153.6,146,163.4,55,10.8,156,90.7,98.5,1145,58.2,1203.2,44.6,1108.2,1152.8,130.5,103.3,104.4
2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,162.2,NA,171.6,NA,11.4,152.2,82.5,106.6,1151.2,56.2,1207.4,45,1090.8,1135.8,124.9,105.5,106.3
2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,162.2,NA,171.6,NA,11.4,152.2,82.5,106.6,1151.2,56.2,1207.4,45,1090.8,1135.8,124.9,105.5,106.3
2022-10-21,1007,15197,38,0,18,650,837,286,12755,5,147,1123,56,1179,9.4,162.2,152,171.6,56,11.4,152.2,82.5,106.6,1151.2,56.2,1207.4,45,1090.8,1135.8,124.9,105.5,106.3
2022-10-20,995,14934,46,0,17,639,852,261,12482,7,131,1113,63,1176,9.8,162.4,138,172.2,63,12.2,151,80.3,107.5,1138,52.4,1190.4,45.6,1063.8,1109.4,114.9,107,107.3
2022-10-19,1017,15306,50,0,15,666,891,281,12869,19,166,1172,65,1237,10.6,167.2,185,177.8,65,10.8,148.2,98.1,112.8,1137.4,49,1186.4,44,1023.2,1067.2,111.4,111.2,111.2
2022-10-18,1015,15293,39,0,13,670,920,262,12862,10,186,1182,52,1234,9.8,161.8,196,171.6,52,9.4,148.6,104.3,108.9,1122,45.6,1167.6,42,984.8,1026.8,108.6,113.9,113.7
2022-10-17,1018,14900,36,0,9,642,918,248,12130,6,181,1166,45,1211,10.8,156,187,166.8,45,6.8,146.8,158.8,106.3,1108.2,44.6,1152.8,39.2,930.2,969.4,113.8,119.1,118.9
2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,152.2,NA,163.6,NA,6.2,143,183.9,106.4,1090.8,45,1135.8,38.6,874,912.6,116.6,124.8,124.5
2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,152.2,NA,163.6,NA,6.2,143,183.9,106.4,1090.8,45,1135.8,38.6,874,912.6,116.6,124.8,124.5
2022-10-14,1008,15261,27,0,10,683,802,255,12816,7,148,1057,37,1094,11.4,152.2,155,163.6,37,6.2,143,183.9,106.4,1090.8,45,1135.8,38.6,874,912.6,116.6,124.8,124.5
2022-10-13,1017,15265,28,0,18,661,852,258,12879,11,155,1110,46,1156,12.2,151,166,163.2,46,5.6,138.8,217.9,108.8,1063.8,45.6,1109.4,38.8,820.6,859.4,117.5,129.6,129.1
2022-10-12,1013,15085,35,0,13,658,856,239,12679,15,139,1095,48,1143,10.8,148.2,154,159,48,5.4,135.6,200,109.3,1023.2,44,1067.2,38.4,770.8,809.2,114.6,132.7,131.9
2022-10-11,996,14995,34,0,13,654,880,233,12582,15,157,1113,47,1160,9.4,148.6,172,158,47,5,131,188,113.4,984.8,42,1026.8,37,715.6,752.6,113.5,137.6,136.4
2022-10-10,1001,15011,37,0,10,630,876,203,12232,9,162,1079,47,1126,6.8,146.8,171,153.6,47,5.4,124,125.9,118.4,930.2,39.2,969.4,37.4,666.8,704.2,104.8,139.5,137.7
2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,143,NA,149.2,NA,4.4,113,140.9,126.5,874,38.6,912.6,35.2,620.8,656,109.7,140.8,139.1
2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,143,NA,149.2,NA,4.4,113,140.9,126.5,874,38.6,912.6,35.2,620.8,656,109.7,140.8,139.1
2022-10-07,1015,15205,31,0,9,663,746,176,12970,11,142,922,40,962,6.2,143,153,149.2,40,4.4,113,140.9,126.5,874,38.6,912.6,35.2,620.8,656,109.7,140.8,139.1
2022-10-06,1013,15235,29,0,9,658,731,176,12933,4,141,907,38,945,5.6,138.8,145,144.4,38,3.4,101.8,164.7,136.3,820.6,38.8,859.4,32.6,584,616.6,119,140.5,139.4
2022-10-05,1014,15033,27,0,11,677,732,171,12928,8,141,903,38,941,5.4,135.6,149,141,38,3.8,92.4,142.1,146.8,770.8,38.4,809.2,31,544.8,575.8,123.9,141.5,140.5
2022-10-04,1016,15310,20,0,13,656,683,157,12869,2,148,840,33,873,5,131,150,136,33,3.2,83.2,156.2,157.5,715.6,37,752.6,30,509.6,539.6,123.3,140.4,139.5
2022-10-03,1008,14802,32,0,12,612,648,150,12289,6,143,798,44,842,5.4,124,149,129.4,44,2.8,73.6,192.9,168.5,666.8,37.4,704.2,28,479.8,507.8,133.6,139,138.7
2022-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,113,NA,117.4,NA,3.8,65.8,115.8,171.7,620.8,35.2,656,27.2,453.6,480.8,129.4,136.9,136.4
2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,113,NA,117.4,NA,3.8,65.8,115.8,171.7,620.8,35.2,656,27.2,453.6,480.8,129.4,136.9,136.4
2022-09-30,1001,15318,27,0,14,649,520,135,13209,8,121,655,41,696,4.4,113,129,117.4,41,3.8,65.8,115.8,171.7,620.8,35.2,656,27.2,453.6,480.8,129.4,136.9,136.4
2022-09-29,1012,15504,26,0,10,651,511,147,13293,3,125,658,36,694,3.4,101.8,128,105.2,36,4.6,63.2,73.9,161.1,584,32.6,616.6,27.8,440,467.8,117.3,132.7,131.8
2022-09-28,1011,15460,20,0,11,665,487,140,13153,6,118,627,31,658,3.8,92.4,124,96.2,31,3.8,58.8,100,157.1,544.8,31,575.8,27.6,428.8,456.4,112.3,127.1,126.2
2022-09-27,1009,15281,23,0,12,635,458,138,13287,4,113,596,35,631,3.2,83.2,117,86.4,35,3.8,57.6,84.2,144.4,509.6,30,539.6,28.4,424.4,452.8,105.6,120.1,119.2
2022-09-26,1003,14801,21,0,12,580,421,147,12202,1,88,568,33,601,2.8,73.6,89,76.4,33,4.4,55,63.6,133.8,479.8,28,507.8,29.2,423.8,453,95.9,113.2,112.1
2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65.8,NA,69.6,NA,3.6,55.8,105.6,117.9,453.6,27.2,480.8,29.2,426,455.2,93.2,106.5,105.6
2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65.8,NA,69.6,NA,3.6,55.8,105.6,117.9,453.6,27.2,480.8,29.2,426,455.2,93.2,106.5,105.6
2022-09-23,1005,14884,15,0,13,656,333,138,12590,3,65,471,28,499,3.8,65.8,68,69.6,28,3.6,55.8,105.6,117.9,453.6,27.2,480.8,29.2,426,455.2,93.2,106.5,105.6
2022-09-22,1015,14892,15,0,13,661,312,150,12821,5,78,462,28,490,4.6,63.2,83,67.8,28,3,54.4,153.3,116.2,440,27.8,467.8,29.2,422.6,451.8,95.2,104.1,103.5
2022-09-21,1008,14840,14,0,12,647,298,153,12833,3,72,451,26,477,3.8,58.8,75,62.6,26,3.6,52.4,105.6,112.2,428.8,27.6,456.4,29.6,420.8,450.4,93.2,101.9,101.3
2022-09-20,1007,14893,14,0,11,616,305,142,12659,2,65,447,25,472,3.8,57.6,67,61.4,25,3.6,47.8,105.6,120.5,424.4,28.4,452.8,29.2,418,447.2,97.3,101.5,101.3
2022-09-19,982,14514,18,0,11,554,297,140,11836,6,49,437,29,466,4.4,55,55,59.4,29,3,49.4,146.7,111.3,423.8,29.2,453,28.8,417.6,446.4,101.4,101.5,101.5
2022-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,55.8,NA,59.4,NA,3.2,49.6,112.5,112.5,426,29.2,455.2,28.8,412,440.8,101.4,103.4,103.3
2022-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,55.8,NA,59.4,NA,3.2,49.6,112.5,112.5,426,29.2,455.2,28.8,412,440.8,101.4,103.4,103.3
2022-09-16,994,14815,19,0,12,638,272,131,12754,7,52,403,31,434,3.6,55.8,59,59.4,31,3.2,49.6,112.5,112.5,426,29.2,455.2,28.8,412,440.8,101.4,103.4,103.3
2022-09-15,991,14865,15,0,12,659,264,142,12747,1,56,406,27,433,3,54.4,57,57.4,27,3,48,100,113.3,422.6,29.2,451.8,28.6,418.8,447.4,102.1,100.9,101
