Region_name,Region_code,Populatie_merged,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,NA
Rozenknopje,WK077271,1654,5,5,5,5,5,7,9,13,19,26,28,30,33,37,45,55,64,75,80,83,83,84,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Rozenknopje,WK077271,6393,5,5,5,5,5,5,5,5,7,9,9,10,11,12,14,17,20,23,26,29,31,34,40,43,48,57,63,65,67,68,68,68,69,69,70,70,70,71,71,71,71,71,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Wijk 03 Blokweer,WK048203,1795,5,5,5,5,5,5,5,5,6,8,9,12,17,21,30,45,56,65,71,73,79,80,81,81,82,82,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Wijk 03 Blokweer,WK048203,6354,5,5,5,5,5,5,5,5,5,5,5,7,8,9,12,17,20,24,28,31,34,39,44,48,51,56,60,61,62,64,64,64,64,65,65,65,66,66,66,66,67,67,67,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,0
Groenewoud,WK085532,1665,5,5,5,5,5,5,5,5,9,16,17,18,20,23,29,37,47,56,66,75,75,76,80,82,83,84,84,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Groenewoud,WK085532,6407,5,5,5,5,5,5,5,5,5,7,7,8,8,9,11,13,16,18,22,27,29,31,37,41,44,50,54,57,58,60,60,60,61,61,62,62,63,63,63,64,64,64,64,65,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0
Wijk 06 Overhees,WK034206,2535,5,5,5,5,5,5,5,6,9,11,13,18,27,31,41,49,64,74,82,85,86,86,87,87,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 06 Overhees,WK034206,6355,5,5,5,5,5,5,5,5,5,7,8,10,14,16,20,23,30,34,38,42,45,49,56,59,64,68,73,74,76,76,77,77,77,77,77,78,78,78,79,79,79,79,79,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0
Randenbroek,WK030714,1843,5,5,5,5,5,5,7,12,14,17,19,24,31,36,40,45,55,65,75,79,80,81,81,82,82,82,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Randenbroek,WK030714,6454,5,5,5,5,5,5,5,6,7,8,9,10,13,14,16,18,21,24,28,32,35,39,45,49,53,59,65,66,68,68,69,69,69,69,70,70,70,71,71,71,71,72,72,72,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Wijk 00 Maasbracht,WK164100,2625,5,5,5,5,5,5,14,18,20,22,23,25,30,36,43,50,61,72,79,82,84,85,85,86,86,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Wijk 00 Maasbracht,WK164100,6360,5,5,5,5,5,5,8,10,11,13,13,14,16,19,22,25,30,34,39,43,45,48,53,58,62,67,71,72,73,74,74,74,75,75,75,75,76,76,76,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0
Wilnis,WK073606,1961,5,5,5,5,5,5,6,7,9,10,11,13,26,30,44,60,75,83,88,88,89,89,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,0
Wilnis,WK073606,6526,5,5,5,5,5,5,5,5,5,5,6,6,11,12,16,21,26,29,32,34,37,41,49,53,60,66,72,72,73,74,75,75,76,76,76,77,77,77,78,78,78,78,78,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0
Oosterboer,WK011906,2171,5,5,5,5,5,6,6,9,10,12,12,14,16,39,47,61,71,82,86,87,87,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Oosterboer,WK011906,6607,5,5,5,5,5,5,5,6,7,8,8,9,10,17,20,25,29,33,39,43,47,53,58,62,65,68,72,73,74,74,75,75,76,76,76,76,77,77,77,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0
Wijk 06 Santpoort-Noord,WK045306,2339,5,5,5,5,5,5,6,9,12,13,14,16,19,23,51,66,74,81,86,87,88,88,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 06 Santpoort-Noord,WK045306,6336,5,5,5,5,5,5,5,5,6,7,8,9,10,12,22,28,31,35,38,41,44,50,56,61,65,71,76,77,78,79,80,80,80,80,81,81,81,82,82,82,82,82,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,0
Wijk 10 Tweelingstad,WK024310,1559,5,5,5,5,5,5,6,9,12,13,15,20,28,32,39,44,52,60,69,78,79,80,82,82,83,84,84,84,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 10 Tweelingstad,WK024310,5785,5,5,5,5,5,5,5,5,5,6,6,8,11,12,14,16,18,21,26,30,32,35,40,44,48,52,58,59,61,62,62,63,64,64,64,64,65,65,65,66,66,66,66,67,67,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0
Batau Noord,WK035604,2183,5,5,5,5,5,5,6,7,8,8,9,10,22,33,47,58,65,80,87,88,89,89,89,89,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,0
Batau Noord,WK035604,6447,5,5,5,5,5,5,5,5,5,5,5,6,10,14,19,24,26,32,37,40,43,47,51,54,60,67,72,73,74,74,75,75,75,76,76,76,76,77,77,77,77,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0
Wijk 01 Brunssum-West,WK089901,2249,5,5,5,5,5,6,6,13,15,21,22,25,29,33,41,48,61,71,79,82,83,84,85,85,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Wijk 01 Brunssum-West,WK089901,6387,5,5,5,5,5,5,5,8,9,11,12,13,15,16,20,22,27,31,35,39,42,44,50,54,57,61,65,66,67,68,69,69,70,70,70,70,71,71,72,72,72,72,72,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Elst-Zuid,WK173402,2283,5,5,5,5,5,5,5,6,8,11,12,17,28,33,39,47,56,68,78,84,86,90,91,91,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,0
Elst-Zuid,WK173402,6324,5,5,5,5,5,5,5,5,6,7,7,10,14,16,19,22,25,31,35,41,45,50,58,62,67,72,76,79,80,81,81,81,82,82,82,82,83,83,83,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Wijk 12 Hoensbroek-De Dem,WK091712,2288,5,5,5,5,5,7,8,11,15,20,21,23,28,32,39,45,53,64,71,75,76,76,78,78,79,80,80,80,81,81,81,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,0
Wijk 12 Hoensbroek-De Dem,WK091712,6276,5,5,5,5,5,5,5,6,8,10,10,11,13,15,18,20,23,27,31,34,37,39,44,48,51,54,58,58,59,60,61,61,62,62,62,62,63,63,64,64,64,64,65,65,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0
Wijk 03 De Struyten,WK053003,1858,5,5,5,5,5,5,5,5,7,9,10,12,17,26,35,43,55,64,73,80,82,82,83,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 03 De Struyten,WK053003,6311,5,5,5,5,5,5,5,5,5,5,5,6,8,11,13,16,20,23,28,31,35,37,43,47,52,55,61,63,64,64,65,65,66,66,66,67,67,68,68,68,68,69,69,69,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,0
Groeseind-Hoefstraat,WK085525,1297,5,5,5,5,5,5,7,13,20,23,24,26,30,33,39,48,55,68,76,84,85,86,87,87,87,88,88,88,88,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Groeseind-Hoefstraat,WK085525,6375,5,5,5,5,5,5,5,5,7,8,8,9,10,11,12,14,16,18,21,26,27,29,33,38,42,53,59,61,62,64,64,65,65,65,66,66,66,67,67,67,68,68,68,68,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,0
Kern Axel,WK071501,2378,5,5,5,5,5,7,17,21,23,25,27,28,31,34,40,47,65,75,83,85,85,86,86,86,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,0
Kern Axel,WK071501,6249,5,5,5,5,5,5,9,11,12,13,13,14,15,17,19,22,29,33,37,42,44,47,52,56,61,65,67,69,70,71,72,72,72,73,73,73,74,74,75,75,75,75,75,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0
Westwijk Zuid,WK036212,1038,5,5,5,5,7,8,9,10,11,13,15,16,18,29,48,56,64,69,80,82,83,84,85,85,86,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Westwijk Zuid,WK036212,6407,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,12,14,15,18,22,26,29,41,47,53,59,63,65,67,68,69,70,70,71,71,72,72,72,72,73,73,73,73,73,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,0
Wijk 05 Almere Hout,WK003405,1527,5,5,5,5,5,5,5,5,5,5,6,8,16,21,30,40,53,66,83,85,86,86,86,87,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 05 Almere Hout,WK003405,7633,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,14,17,22,27,30,35,42,47,53,59,63,65,66,67,67,68,68,69,69,70,70,70,71,71,71,71,71,72,72,72,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Foxham en Hoogezand-Noord,WK195201,2131,5,5,5,5,5,7,8,10,13,15,16,18,23,30,53,62,69,73,81,83,84,84,85,85,85,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Foxham en Hoogezand-Noord,WK195201,6244,5,5,5,5,5,5,5,5,6,7,8,9,11,13,21,24,27,29,33,36,40,42,48,52,56,60,64,66,67,68,68,69,69,70,70,70,70,71,71,71,71,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Muiden,WK194204,2296,5,5,5,5,5,6,7,10,12,15,18,19,22,35,49,62,71,80,85,87,87,88,88,89,90,90,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,0
Muiden,WK194204,6709,5,5,5,5,5,5,5,5,5,6,7,8,9,14,19,24,27,31,33,38,41,46,53,59,65,70,74,75,77,78,78,78,79,79,79,80,80,80,81,81,81,81,81,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0
Wijk 06 Portland,WK061306,1238,5,5,5,5,5,5,5,5,7,8,10,12,17,32,42,54,63,73,79,83,84,85,85,86,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Wijk 06 Portland,WK061306,6404,5,5,5,5,5,5,5,5,5,5,5,5,6,10,12,14,16,18,21,26,30,34,44,50,55,58,63,66,68,69,69,70,70,71,71,71,72,72,72,73,73,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Aldlân & De Hemrik,WK008070,2438,5,5,5,5,8,13,15,16,19,21,22,25,30,36,53,64,71,78,83,83,84,84,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Aldlân & De Hemrik,WK008070,6234,5,5,5,5,5,6,8,8,9,11,11,12,15,17,24,28,32,35,40,42,46,48,54,57,60,63,68,69,71,71,72,72,72,73,73,73,74,74,74,74,75,75,75,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0
Bovenveen,WK191610,1631,5,5,5,5,5,6,7,8,10,11,13,14,23,33,40,48,58,63,70,73,74,74,76,78,79,79,80,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0
Bovenveen,WK191610,6716,5,5,5,5,5,5,5,5,5,5,5,5,8,10,12,14,17,19,22,26,29,33,37,43,51,58,63,64,65,66,66,67,67,67,68,68,68,69,69,69,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,0
Vathorst-De Laak,WK030731,774,5,5,5,5,5,5,5,6,13,15,16,18,28,33,39,47,59,71,81,85,86,87,88,89,90,90,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,0
Vathorst-De Laak,WK030731,7197,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,11,13,15,19,21,27,37,43,50,58,65,66,69,69,70,71,71,72,72,73,73,73,73,74,74,74,74,75,75,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0
Wijk 05 Berflo Es,WK016405,1658,5,5,5,5,5,6,8,9,11,13,15,17,20,36,51,60,65,73,80,80,81,82,82,83,83,84,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 05 Berflo Es,WK016405,6298,5,5,5,5,5,5,5,5,6,6,7,8,9,13,17,20,22,24,27,31,33,36,41,47,52,58,65,66,67,67,68,69,69,70,70,70,71,71,72,72,72,72,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Damsigt en omgeving,WK191607,2380,5,5,5,5,6,10,12,13,15,17,18,19,27,35,50,62,70,77,84,87,88,88,89,89,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,0
Damsigt en omgeving,WK191607,6266,5,5,5,5,5,5,6,6,7,8,8,9,12,15,22,26,30,32,37,42,46,52,58,63,67,71,75,77,79,80,80,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,0
Zuidwest,WK034503,1661,5,5,5,5,5,5,5,7,13,16,18,23,33,35,41,44,63,71,79,81,82,82,83,83,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Zuidwest,WK034503,6273,5,5,5,5,5,5,5,5,5,6,7,9,12,13,14,15,21,23,26,30,33,37,41,44,48,54,59,61,62,63,63,64,64,64,65,65,65,66,66,66,66,67,67,67,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0
Wijk 03 Zuidwijken,WK030103,2328,5,5,5,5,5,5,5,6,8,9,13,20,25,31,41,54,65,73,78,81,83,83,84,84,84,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 03 Zuidwijken,WK030103,6216,5,5,5,5,5,5,5,5,5,6,8,11,13,16,20,25,29,33,36,41,43,45,51,55,58,61,68,68,69,70,71,71,72,72,72,72,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0
Voorburg Oud,WK191613,2248,5,5,5,5,7,11,12,13,16,17,19,20,28,41,53,65,72,79,85,87,87,88,88,89,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,0
