date,cases,hospitalization,deaths,positivetests,hospital_intake_rivm
2022-05-23,8077873,0,22307,2679,0
2022-05-24,8078973,0,22309,1100,0
2022-05-25,8080032,0,22314,1059,0
2022-05-27,8081992,0,22314,1960,0
2022-05-30,8084622,0,22318,2630,0
2022-05-31,8085869,0,22322,1247,0
2022-06-01,8087242,0,22324,1373,0
2022-06-02,8088777,0,22325,1535,0
2022-06-03,8090237,0,22325,1460,0
2022-06-07,8095313,0,22326,5076,0
2022-06-08,8097174,0,22327,1861,0
2022-06-09,8099603,0,22330,2429,0
2022-06-10,8101839,0,22332,2236,0
2022-06-13,8107944,0,22336,6105,0
2022-06-14,8110818,0,22336,2874,0
2022-06-15,8114233,0,22337,3415,0
2022-06-16,8118400,0,22342,4167,0
2022-06-17,8122258,0,22343,3858,0
2022-06-20,8132482,0,22345,10224,0
2022-06-21,8137275,0,22347,4793,0
2022-06-22,8142105,0,22348,4830,0
2022-06-23,8147612,0,22350,5507,0
2022-06-24,8152778,0,22354,5166,0
2022-06-27,8165618,0,22358,12840,0
2022-06-28,8171396,0,22362,5778,0
2022-06-29,8177667,0,22370,6271,0
2022-06-30,8184179,0,22378,6512,0
2022-07-01,8190255,0,22380,6076,0
2022-07-04,8203996,0,22383,13741,0
2022-07-05,8210651,0,22392,6655,0
2022-07-06,8217081,0,22396,6430,0
2022-07-07,8224378,0,22401,7297,0
2022-07-08,8231077,0,22404,6699,0
2022-07-11,8246492,0,22406,15415,0
2022-07-12,8253854,0,22409,7362,0
2022-07-13,8260662,0,22413,6808,0
2022-07-14,8267718,0,22417,7056,0
2022-07-15,8274234,0,22422,6516,0
2022-07-18,8287266,0,22432,13032,0
2022-07-19,8292279,0,22439,5013,0
2022-07-20,8296783,0,22446,4504,0
2022-07-21,8301277,0,22450,4494,0
2022-07-22,8305906,0,22456,4629,0
2022-07-25,8315835,0,22465,9929,0
2022-07-26,8320281,0,22476,4446,0
2022-07-27,8324399,0,22483,4118,0
2022-07-28,8328084,0,22489,3685,0
2022-07-29,8331315,0,22492,3231,0
2022-08-01,8338642,0,22497,7327,0
2022-08-02,8341941,0,22500,3299,0
2022-08-03,8344857,0,22506,2916,0
2022-08-04,8347295,0,22510,2438,0
2022-08-05,8349765,0,22511,2470,0
2022-08-08,8354641,0,22528,4876,0
2022-08-09,8356803,0,22532,2162,0
2022-08-10,8358922,0,22536,2119,0
2022-08-11,8360684,0,22538,1762,0
2022-08-12,8362564,0,22542,1880,0
2022-08-15,8366574,0,22547,4010,0
2022-08-16,8368482,0,22555,1908,0
2022-08-17,8370162,0,22561,1680,0
2022-08-18,8370501,0,22565,339,0
2022-08-19,8372961,0,22574,2460,0
2022-08-22,8376026,0,22583,3065,0
2022-08-23,8377385,0,22587,1359,0
2022-08-24,8378653,0,22590,1268,0
2022-08-25,8379855,0,22592,1202,0
2022-08-26,8381009,0,22594,1154,0
2022-08-29,8383824,0,22598,2815,0
2022-08-30,8385110,0,22599,1286,0
2022-08-31,8386307,0,22600,1197,0
2022-09-02,8388688,0,22605,2381,0
2022-09-06,8392953,0,22609,4265,0
2022-09-09,8396979,0,22613,4026,0
2022-09-13,8401272,0,22620,4293,0
2022-09-16,8405580,0,22626,4308,0
2022-09-20,8410076,0,22630,4496,0
2022-09-23,8415459,0,22637,5383,0
2022-09-27,8422336,0,22643,6877,0
2022-09-30,8430861,0,22650,8525,0
2022-10-04,8441351,0,22663,10490,0
2022-10-07,8452954,0,22692,11603,0
2022-10-11,8465021,0,22702,12067,0
2022-10-14,8476062,0,22721,11041,0
2022-10-18,8487703,0,22748,11641,0
2022-10-21,8494705,0,22771,7002,0
2022-10-25,8505321,0,22785,10616,0
2022-10-28,8511830,0,22811,6509,0
2022-11-01,8517666,0,22825,5836,0
2022-11-04,8521729,0,22846,4063,0
2022-11-08,8525378,0,22857,3649,0
2022-11-11,8528515,0,22871,3137,0
2022-11-15,8531447,0,22886,2932,0
2022-11-18,8534144,0,22893,2697,0
2022-11-22,8536849,0,22901,2705,0
2022-11-25,8539297,0,22908,2448,0
2022-11-29,8541997,0,22910,2700,0
2022-12-02,8544770,0,22921,2773,0
2022-12-06,8547416,0,22927,2646,0
2022-12-09,8550311,0,22937,2895,0
2022-12-13,8553219,0,22940,2908,0
2022-12-16,8556131,0,22943,2912,0
2022-12-20,8559116,0,22953,2985,0
2022-12-23,8562993,0,22968,3877,0
2022-12-27,8565849,0,22971,2856,0
