Region_name,Region_code,Populatie_merged,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,NA
Dalfsen,WK014801,13116,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,10,11,15,20,25,29,31,37,46,50,55,60,63,68,71,73,74,75,75,76,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0
Sloter-/Riekerpolder,WK036388,3906,5,5,5,5,5,5,5,5,5,5,5,6,7,9,10,12,13,17,21,26,32,38,46,53,65,71,75,80,81,82,82,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Sloter-/Riekerpolder,WK036388,13002,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,10,13,15,19,22,29,33,36,43,47,50,55,59,60,61,61,62,62,62,63,63,63,64,64,64,64,64,65,65,65,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0
Wijk 08 Lindenholt,WK026808,3547,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,10,13,17,24,34,47,65,72,73,78,80,82,83,83,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Wijk 08 Lindenholt,WK026808,12947,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,14,19,26,32,35,39,44,49,52,56,60,61,62,62,63,63,64,64,65,65,65,66,66,66,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0
Zuid,WK036101,4653,5,5,5,5,5,5,5,5,5,7,9,13,15,18,18,21,21,23,27,34,40,47,55,62,69,79,81,82,83,83,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
Zuid,WK036101,12766,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,9,10,11,13,16,19,22,26,31,36,42,45,50,53,57,61,64,66,67,68,68,69,69,69,69,70,70,70,71,71,71,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,0
Wijk 10 Coevorden,WK010910,4493,5,5,5,5,5,5,5,5,5,5,6,10,12,14,16,17,19,24,29,36,44,56,61,65,67,69,69,83,84,84,84,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 10 Coevorden,WK010910,12691,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,9,11,14,16,21,26,28,33,37,40,42,51,55,59,62,66,67,68,68,69,69,69,70,70,71,71,71,71,72,72,73,73,73,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Wijk 05 Monster,WK178305,4276,5,5,5,5,5,5,5,5,5,5,7,9,13,15,16,19,23,25,28,32,38,47,54,66,69,76,78,80,80,82,82,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Wijk 05 Monster,WK178305,12779,5,5,5,5,5,5,5,5,5,5,6,7,8,9,9,10,12,13,14,16,19,23,26,31,34,40,44,48,51,54,58,60,61,62,63,64,64,64,65,65,65,65,66,66,66,66,67,67,67,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0
Wijk 00 Beek - Spaubeek,WK088800,5141,5,5,5,5,5,5,5,5,5,5,6,9,12,13,14,16,16,21,26,33,43,52,63,69,73,74,75,82,84,84,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 00 Beek - Spaubeek,WK088800,12671,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,9,11,14,18,22,27,33,37,41,44,46,54,59,62,65,69,70,71,72,72,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0
Oostelijke Eilanden/Kadijken,WK036309,3412,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,10,12,15,20,27,34,43,50,60,69,74,75,76,77,78,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0
Oostelijke Eilanden/Kadijken,WK036309,13611,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,10,12,15,19,24,30,34,38,42,47,55,59,60,61,61,62,62,63,63,63,64,64,64,64,65,65,65,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0
Wijk 00 Bergen op Zoom-Oude stad en omgeving,WK074800,4517,5,5,5,5,5,5,5,5,5,7,9,12,13,16,18,20,20,23,29,41,49,59,66,75,78,78,82,84,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 00 Bergen op Zoom-Oude stad en omgeving,WK074800,12685,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,9,9,11,14,18,22,26,30,34,37,40,44,48,52,56,61,64,65,65,66,67,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,0
"Wijk 00 Lopik, Benschop en Polsbroek",WK033100,3738,5,5,5,5,5,5,5,5,5,5,6,7,8,10,11,12,13,16,19,30,40,49,62,71,77,78,78,82,82,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0
"Wijk 00 Lopik, Benschop en Polsbroek",WK033100,12763,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,12,16,20,25,29,35,38,41,46,50,55,59,63,65,66,67,67,68,68,68,69,69,69,70,70,70,71,71,71,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Wijk 51 Ittersum,WK019351,3856,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,11,12,15,19,26,35,44,51,58,61,83,84,85,85,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 51 Ittersum,WK019351,12659,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,10,12,16,21,24,27,32,42,45,51,55,59,64,69,70,72,73,73,74,74,75,75,75,75,76,76,76,76,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0
Wijk 51 De Weide,WK011851,3906,5,5,5,5,5,5,5,5,5,5,6,7,10,11,12,14,15,18,20,29,40,50,62,65,72,80,81,83,84,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 51 De Weide,WK011851,12286,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,9,10,14,19,23,28,32,38,43,46,52,55,58,62,65,66,68,68,69,69,69,70,70,71,71,71,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,0
Wijk 21 Regentessekwartier,WK051821,2256,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,10,12,15,18,24,33,40,54,60,64,67,70,70,72,74,74,75,75,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0
Wijk 21 Regentessekwartier,WK051821,12901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,10,12,16,19,22,26,31,35,40,47,51,52,53,55,55,56,56,56,57,57,57,58,58,59,59,59,59,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0
Binnenstad,WK079601,3292,5,5,5,5,5,5,5,5,5,5,7,8,10,11,14,15,16,19,23,36,46,57,63,73,76,78,79,81,84,84,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Binnenstad,WK079601,12737,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,13,16,20,22,26,30,35,38,44,47,52,60,65,67,68,69,69,70,70,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Wijk 05 Purmer-Noord,WK043905,4063,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,13,20,24,31,38,47,54,57,59,66,73,79,80,80,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0
Wijk 05 Purmer-Noord,WK043905,12789,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,11,14,17,20,24,26,30,34,41,46,50,54,58,59,59,60,61,61,61,62,62,62,63,63,63,64,64,64,64,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0
Wijk 11 Binnenstad,WK050311,2565,5,5,5,5,5,5,5,5,5,5,6,6,7,8,10,11,12,17,22,30,41,49,56,67,75,79,81,83,84,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0
Wijk 11 Binnenstad,WK050311,12887,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,11,14,15,19,24,29,33,38,41,47,55,60,61,63,64,65,65,66,66,66,67,67,67,67,68,68,68,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,0
Graafsepoort,WK079603,3475,5,5,5,5,5,5,5,5,5,5,7,8,9,11,12,14,15,19,22,34,43,54,61,69,73,74,75,78,81,82,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0
Graafsepoort,WK079603,12626,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,9,13,16,20,23,26,30,34,37,43,47,52,57,61,62,64,65,65,65,66,66,67,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,0
Banne Buiksloot,WK036370,3180,5,5,5,5,5,5,5,5,5,5,6,7,9,11,13,15,16,19,23,27,33,39,47,53,62,69,71,73,73,74,75,75,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0
Banne Buiksloot,WK036370,12608,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,13,15,18,23,27,29,33,35,39,42,46,47,48,48,48,49,49,50,50,51,51,52,52,52,53,53,53,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0
Putten,WK077223,3116,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,12,13,16,20,26,37,50,59,64,69,70,71,73,75,79,80,80,80,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,0
Putten,WK077223,12722,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,13,17,20,23,27,30,33,39,43,48,53,57,59,60,61,62,62,62,63,63,63,64,64,64,65,65,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0
Wijk 03 Duiven-Noord,WK022603,4147,5,5,5,5,5,5,5,5,5,5,6,7,9,11,12,13,15,17,21,32,40,49,63,77,79,79,86,87,87,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 03 Duiven-Noord,WK022603,12526,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,10,14,18,22,28,34,39,42,45,52,57,63,66,70,72,73,73,74,74,75,75,75,76,76,76,77,77,77,77,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0
Wijk 50 Schelle,WK019350,4263,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,11,12,14,18,26,34,45,52,60,63,83,87,87,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0
Wijk 50 Schelle,WK019350,12429,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,9,11,14,18,23,26,30,35,46,51,57,61,65,69,73,74,76,77,77,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,0
Wijk 24 Voorhof,WK050324,2776,5,5,5,5,5,5,5,5,5,5,8,10,11,13,15,16,17,23,28,33,43,50,55,62,69,71,73,76,77,78,79,80,80,80,80,80,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0
Wijk 24 Voorhof,WK050324,12519,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,9,12,14,16,19,22,26,29,32,35,39,47,53,54,55,56,57,57,58,59,59,59,60,60,60,61,61,61,62,62,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0
Overtoomse Veld,WK036386,1621,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,10,11,13,17,19,22,26,31,35,47,50,53,54,55,57,58,59,60,60,60,61,61,61,61,62,62,62,62,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0
Overtoomse Veld,WK036386,12839,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,12,15,17,20,24,28,35,38,39,40,41,41,42,42,43,43,43,44,44,44,45,45,45,45,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0
Zuidoost,WK034502,3704,5,5,5,5,5,5,5,5,5,5,5,8,9,14,18,21,21,26,28,31,34,47,55,68,72,76,77,79,80,80,81,81,81,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,0
Zuidoost,WK034502,12369,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,11,12,13,14,20,23,28,33,37,40,45,48,51,55,59,60,61,62,63,63,64,64,64,65,65,65,66,66,66,67,67,67,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0
Wijk 00,WK043700,4085,5,5,5,5,5,5,5,5,5,5,7,9,10,12,13,15,16,19,23,31,40,48,55,63,67,72,74,75,76,76,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0
Wijk 00,WK043700,12407,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,9,10,13,17,21,24,28,32,37,40,46,51,55,59,63,65,66,66,67,67,68,68,68,68,69,69,69,69,70,70,70,70,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,0
Wijk 28 Wippolder,WK050328,2073,5,5,5,5,5,5,5,5,5,5,5,6,7,9,10,11,12,17,22,28,39,46,52,62,71,73,75,77,78,79,80,80,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,0
Wijk 28 Wippolder,WK050328,12596,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,11,12,15,19,23,26,30,33,38,47,54,55,56,57,58,59,59,60,60,60,61,61,61,61,62,62,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0
Nieuwland,WK030724,2420,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,12,14,16,20,24,30,37,51,61,72,74,75,85,85,85,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0
Nieuwland,WK030724,12570,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,10,14,17,21,27,33,37,46,51,54,59,65,66,69,70,70,71,71,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0
