"current","municipality","increase_1d","increase_7d","growth"
6,"Kapelle",0,0,"-"
71,"Katwijk",0,0,"&#x2798;"
105,"Kerkrade",0,0,"-"
24,"Koggenland",0,0,"-"
78,"Krimpen aan den IJssel",0,0,"&#x2798;"
68,"Krimpenerwaard",0,0,"&#x2798;"
45,"Laarbeek",0,1,"-"
29,"Landerd",0,0,"-"
90,"Landgraaf",0,1,"&#x2798;"
13,"Landsmeer",0,5,"&#x279A;"
19,"Langedijk",0,0,"&#x2798;"
71,"Lansingerland",0,0,"&#x2798;"
31,"Laren",0,0,"-"
95,"Leeuwarden",0,2,"&#x2798;"
83,"Leiden",0,0,"&#x2798;"
28,"Leiderdorp",0,0,"-"
101,"Leidschendam-Voorburg",0,1,"&#x279A;"
78,"Lelystad",0,2,"&#x279A;"
59,"Leudal",0,0,"&#x2798;"
31,"Leusden",0,1,"&#x2798;"
53,"Lingewaard",0,2,"&#x2798;"
23,"Lisse",0,1,"&#x279A;"
42,"Lochem",0,2,"&#x2798;"
46,"Loon op Zand",0,1,"&#x279A;"
12,"Lopik",0,0,"-"
38,"Losser",0,0,"-"
45,"Maasdriel",0,1,"-"
43,"Maasgouw",0,2,"&#x279A;"
45,"Maassluis",0,4,"&#x279A;"
249,"Maastricht",0,0,"&#x2798;"
29,"Medemblik",0,0,"-"
43,"Meerssen",0,0,"&#x2798;"
179,"Meierijstad",0,0,"&#x2798;"
37,"Meppel",0,0,"-"
33,"Middelburg",0,1,"&#x279A;"
14,"Midden-Delfland",0,0,"-"
32,"Midden-Drenthe",0,0,"-"
43,"Midden-Groningen",0,0,"&#x2798;"
12,"Mill en Sint Hubert",0,0,"-"
54,"Moerdijk",0,1,"&#x279A;"
44,"Molenlanden",0,0,"-"
31,"Montferland",0,0,"&#x2798;"
10,"Montfoort",0,1,"&#x279A;"
13,"Mook en Middelaar",0,0,"-"
51,"Neder-Betuwe",0,0,"&#x2798;"
28,"Nederweert",0,0,"&#x2798;"
36,"Nieuwegein",0,2,"-"
26,"Nieuwkoop",0,0,"-"
34,"Nijkerk",0,0,"&#x2798;"
232,"Nijmegen",0,2,"&#x2798;"
106,"Nissewaard",0,0,"&#x2798;"
54,"Noardeast-Fryslân",0,0,"&#x2798;"
11,"Noord-Beveland",0,1,"&#x279A;"
26,"Noordenveld",0,0,"-"
32,"Noordoostpolder",0,0,"&#x2798;"
31,"Noordwijk",0,1,"&#x2798;"
27,"Nuenen, Gerwen en Nederwetten",0,0,"&#x2798;"
42,"Nunspeet",0,1,"&#x279A;"
32,"Oegstgeest",0,0,"-"
27,"Oirschot",0,0,"-"
26,"Oisterwijk",0,0,"&#x2798;"
39,"Oldambt",0,0,"-"
40,"Oldebroek",0,0,"-"
52,"Oldenzaal",0,1,"&#x2798;"
10,"Olst-Wijhe",0,0,"-"
19,"Ommen",0,2,"&#x279A;"
47,"Oost Gelre",0,1,"&#x279A;"
43,"Oosterhout",0,0,"&#x2798;"
7,"Ooststellingwerf",0,1,"&#x279A;"
8,"Oostzaan",0,0,"-"
7,"Opmeer",0,1,"&#x279A;"
11,"Opsterland",0,0,"-"
140,"Oss",0,0,"&#x2798;"
57,"Oude IJsselstreek",0,0,"&#x2798;"
6,"Ouder-Amstel",0,1,"&#x279A;"
12,"Oudewater",0,0,"-"
38,"Overbetuwe",0,0,"&#x2798;"
51,"Papendrecht",0,0,"&#x2798;"
93,"Peel en Maas",0,0,"&#x2798;"
13,"Pekela",0,0,"-"
43,"Pijnacker-Nootdorp",0,0,"&#x2798;"
92,"Purmerend",0,1,"&#x2798;"
21,"Putten",0,0,"-"
51,"Raalte",0,0,"&#x2798;"
20,"Reimerswaal",0,0,"-"
38,"Renkum",0,0,"&#x2798;"
5,"Renswoude",0,0,"-"
12,"Reusel-De Mierden",0,1,"-"
84,"Rheden",0,8,"&#x279A;"
26,"Rhenen",0,2,"&#x279A;"
107,"Ridderkerk",0,1,"&#x2798;"
66,"Rijssen-Holten",0,0,"&#x2798;"
78,"Rijswijk",0,0,"-"
40,"Roerdalen",0,0,"&#x2798;"
78,"Roermond",0,1,"-"
84,"Roosendaal",0,1,"-"
1060,"Rotterdam",0,14,"&#x279A;"
0,"Rozendaal",0,0,"-"
18,"Rucphen",0,0,"-"
73,"Schagen",0,0,"&#x2798;"
12,"Scherpenzeel",0,0,"-"
124,"Schiedam",0,1,"&#x279A;"
2,"Schiermonnikoog",0,0,"-"
32,"Schouwen-Duiveland",0,1,"&#x279A;"
11,"Simpelveld",0,0,"-"
44,"Sint-Michielsgestel",0,0,"&#x2798;"
11,"Sint Anthonis",0,0,"-"
166,"Sittard-Geleen",0,0,"&#x2798;"
50,"Sliedrecht",0,0,"&#x2798;"
23,"Sluis",0,0,"&#x2798;"
40,"Smallingerland",0,0,"&#x2798;"
54,"Soest",0,1,"-"
21,"Someren",0,-1,"&#x2798;"
30,"Son en Breugel",0,0,"&#x2798;"
23,"Stadskanaal",0,0,"&#x2798;"
29,"Staphorst",0,0,"-"
16,"Stede Broec",0,0,"-"
