"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Zwolle","GM0193",2021-12-15,140,139,139,137,134,69,69,2021-01-01,140,1,1,6,-80,"&#x2798;",130523,0.766148494901282,0.766148494901282,4.59689096940769
"Aalten","GM0197",2021-12-15,32,32,30,30,29,15,15,2021-01-01,32,0,2,3,100,"&#x279A;",27123,0,7.37381558087232,11.0607233713085
"Apeldoorn","GM0200",2021-12-15,186,184,181,181,174,95,95,2021-01-01,186,2,5,12,-28.5714285714286,"&#x2798;",165453,1.20880249980357,3.02200624950892,7.25281499882142
"Arnhem","GM0202",2021-12-15,149,149,143,141,140,87,87,2021-01-01,149,0,6,9,100,"&#x279A;",163981,0,3.65896048932498,5.48844073398747
"Barneveld","GM0203",2021-12-15,78,78,77,77,77,27,27,2021-01-01,78,0,1,1,100,"&#x279A;",60517,0,1.65242824330353,1.65242824330353
"Beuningen","GM0209",2021-12-15,28,28,27,27,26,12,12,2021-01-01,28,0,1,2,0,"-",26223,0,3.81344621134119,7.62689242268238
"Brummen","GM0213",2021-12-15,23,23,23,23,22,10,10,2021-01-01,23,0,0,1,-100,"&#x2798;",20908,0,0,4.78285823608188
"Buren","GM0214",2021-12-15,25,25,24,24,23,13,13,2021-01-01,25,0,1,2,0,"-",27184,0,3.67863449087699,7.35726898175397
"Culemborg","GM0216",2021-12-15,24,24,24,24,24,13,13,2021-01-01,24,0,0,0,0,"-",29428,0,0,0
"Doesburg","GM0221",2021-12-15,9,9,9,9,9,8,8,2021-01-01,9,0,0,0,0,"-",11064,0,0,0
"Doetinchem","GM0222",2021-12-15,47,47,42,41,38,23,23,2021-01-01,47,0,5,9,25,"&#x279A;",58559,0,8.53839717208286,15.3691149097491
"Druten","GM0225",2021-12-15,30,30,30,30,30,18,18,2021-01-01,30,0,0,0,0,"-",19188,0,0,0
"Duiven","GM0226",2021-12-15,17,17,17,17,17,8,8,2021-01-01,17,0,0,0,0,"-",24946,0,0,0
"Ede","GM0228",2021-12-15,116,116,115,115,115,58,57,2021-01-02,116,0,1,1,100,"&#x279A;",119827,0,0.834536456725112,0.834536456725112
"Elburg","GM0230",2021-12-15,22,22,22,22,22,12,12,2021-01-01,22,0,0,0,0,"-",23718,0,0,0
"Epe","GM0232",2021-12-15,55,55,55,55,54,29,29,2021-01-01,55,0,0,1,-100,"&#x2798;",33265,0,0,3.00616263339847
"Ermelo","GM0233",2021-12-15,42,42,42,42,40,28,28,2021-01-01,42,0,0,2,-100,"&#x2798;",27304,0,0,7.32493407559332
"Harderwijk","GM0243",2021-12-15,60,60,54,54,53,28,28,2021-01-01,60,0,6,7,500,"&#x279A;",48797,0,12.2958378588848,14.3451441686989
"Hattem","GM0244",2021-12-15,7,7,7,7,7,5,5,2021-01-01,7,0,0,0,0,"-",12320,0,0,0
"Heerde","GM0246",2021-12-15,32,32,32,32,32,29,29,2021-01-01,32,0,0,0,0,"-",18955,0,0,0
"Heumen","GM0252",2021-12-15,21,21,21,21,20,13,13,2021-01-01,21,0,0,1,-100,"&#x2798;",16921,0,0,5.90981620471603
"Lochem","GM0262",2021-12-15,37,36,36,36,35,23,23,2021-01-01,37,1,1,2,0,"-",34131,2.92988778529782,2.92988778529782,5.85977557059565
"Maasdriel","GM0263",2021-12-15,43,43,43,43,43,22,22,2021-01-01,43,0,0,0,0,"-",25548,0,0,0
"Nijkerk","GM0267",2021-12-15,33,33,31,31,31,9,9,2021-01-01,33,0,2,2,200,"&#x279A;",44134,0,4.53165360039879,4.53165360039879
"Nijmegen","GM0268",2021-12-15,223,223,217,214,212,131,131,2021-01-01,223,0,6,11,20,"&#x279A;",179059,0,3.350850836875,6.14322653427083
"Oldebroek","GM0269",2021-12-15,40,40,39,39,39,26,26,2021-01-01,40,0,1,1,100,"&#x279A;",23898,0,4.18445058163863,4.18445058163863
"Putten","GM0273",2021-12-15,21,21,21,21,21,7,7,2021-01-01,21,0,0,0,0,"-",24550,0,0,0
"Renkum","GM0274",2021-12-15,37,37,37,37,37,22,21,2021-01-08,37,0,0,0,0,"-",31406,0,0,0
"Rheden","GM0275",2021-12-15,75,75,74,73,71,30,30,2021-01-01,75,0,1,4,-66.6666666666667,"&#x2798;",43466,0,2.30064878295679,9.20259513182718
