"Date_statistics","2022-07-08","2022-08-11","2022-08-15","diff21","diff32"
2022-04-30,NA,1372,1372,NA,0
2022-05-01,NA,1304,1304,NA,0
2022-05-02,NA,1782,1782,NA,0
2022-05-03,NA,1721,1721,NA,0
2022-05-04,NA,1494,1494,NA,0
2022-05-05,NA,1373,1373,NA,0
2022-05-06,NA,1460,1460,NA,0
2022-05-07,NA,1232,1232,NA,0
2022-05-08,NA,1098,1098,NA,0
2022-05-09,NA,1528,1528,NA,0
2022-05-10,NA,1349,1349,NA,0
2022-05-11,NA,1275,1275,NA,0
2022-05-12,NA,1198,1198,NA,0
2022-05-13,NA,1129,1129,NA,0
2022-05-14,NA,865,865,NA,0
2022-05-15,NA,910,910,NA,0
2022-05-16,NA,1340,1340,NA,0
2022-05-17,NA,1226,1226,NA,0
2022-05-18,NA,1265,1265,NA,0
2022-05-19,NA,958,958,NA,0
2022-05-20,NA,1028,1028,NA,0
2022-05-21,NA,832,832,NA,0
2022-05-22,NA,829,829,NA,0
2022-05-23,NA,1102,1102,NA,0
2022-05-24,NA,959,959,NA,0
2022-05-25,NA,1030,1030,NA,0
2022-05-26,NA,894,894,NA,0
2022-05-27,NA,1030,1030,NA,0
2022-05-28,NA,991,991,NA,0
2022-05-29,NA,993,993,NA,0
2022-05-30,NA,1369,1369,NA,0
2022-05-31,NA,1341,1341,NA,0
2022-06-01,NA,1493,1493,NA,0
2022-06-02,NA,1418,1418,NA,0
2022-06-03,NA,1535,1535,NA,0
2022-06-04,NA,1370,1370,NA,0
2022-06-05,NA,1249,1249,NA,0
2022-06-06,NA,1477,1478,NA,1
2022-06-07,NA,1985,1985,NA,0
2022-06-08,NA,2281,2280,NA,-1
2022-06-09,NA,2183,2183,NA,0
2022-06-10,NA,2482,2482,NA,0
2022-06-11,NA,1986,1986,NA,0
2022-06-12,NA,2002,2002,NA,0
2022-06-13,NA,3135,3135,NA,0
2022-06-14,NA,3412,3412,NA,0
2022-06-15,NA,4007,4007,NA,0
2022-06-16,NA,3776,3776,NA,0
2022-06-17,NA,3906,3906,NA,0
2022-06-18,NA,3563,3563,NA,0
2022-06-19,NA,3010,3010,NA,0
2022-06-20,NA,4962,4963,NA,1
2022-06-21,NA,4795,4795,NA,0
2022-06-22,NA,5248,5247,NA,-1
2022-06-23,NA,5048,5048,NA,0
2022-06-24,NA,5137,5137,NA,0
2022-06-25,NA,4411,4411,NA,0
2022-06-26,NA,3828,3828,NA,0
2022-06-27,NA,5799,5799,NA,0
2022-06-28,NA,5979,5979,NA,0
2022-06-29,NA,6493,6493,NA,0
2022-06-30,NA,6022,6022,NA,0
2022-07-01,NA,5626,5626,NA,0
2022-07-02,NA,4634,4634,NA,0
2022-07-03,NA,4026,4026,NA,0
2022-07-04,NA,6590,6590,NA,0
2022-07-05,NA,6485,6485,NA,0
2022-07-06,NA,7107,7108,NA,1
2022-07-07,NA,6631,6632,NA,1
2022-07-08,NA,6293,6294,NA,1
2022-07-09,NA,5313,5314,NA,1
2022-07-10,NA,4385,4385,NA,0
2022-07-11,NA,7415,7415,NA,0
2022-07-12,NA,6721,6717,NA,-4
2022-07-13,NA,6638,6637,NA,-1
2022-07-14,NA,6402,6403,NA,1
2022-07-15,NA,5669,5670,NA,1
2022-07-16,NA,4299,4299,NA,0
2022-07-17,NA,3370,3371,NA,1
2022-07-18,NA,4932,4932,NA,0
2022-07-19,NA,4487,4488,NA,1
2022-07-20,NA,4254,4258,NA,4
2022-07-21,NA,4469,4469,NA,0
2022-07-22,NA,3954,3956,NA,2
2022-07-23,NA,3306,3305,NA,-1
2022-07-24,NA,2797,2797,NA,0
2022-07-25,NA,4489,4493,NA,4
2022-07-26,NA,3898,3903,NA,5
2022-07-27,NA,3402,3405,NA,3
2022-07-28,NA,2967,2968,NA,1
2022-07-29,NA,2932,2941,NA,9
2022-07-30,NA,2492,2502,NA,10
2022-07-31,NA,2245,2253,NA,8
2022-08-01,NA,3157,3182,NA,25
2022-08-02,NA,2591,2609,NA,18
2022-08-03,NA,2228,2246,NA,18
2022-08-04,NA,2150,2196,NA,46
2022-08-05,NA,1911,1958,NA,47
2022-08-06,NA,1656,1730,NA,74
2022-08-07,NA,1133,1280,NA,147
2022-08-08,NA,1720,1975,NA,255
2022-08-09,NA,1495,1783,NA,288
2022-08-10,NA,1202,1437,NA,235
2022-08-11,NA,1488,1365,NA,-123
2022-08-12,NA,24,1144,NA,1120
2022-08-13,NA,NA,999,NA,NA
2022-08-14,NA,NA,784,NA,NA
2022-08-15,NA,NA,29,NA,NA
