"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.83760825402368,0.000754631432468973,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.867240151451464,0.000922463036326846,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912613097718463,0.0012928714105148,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942905941744353,0.000652271871269624,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952499902348036,0.00147975924851847,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933437018992643,0.00105275123185156,0.93,"0.91","0.96",0.93,0.001,0
"7",2021-01-14,0.931576444703397,0.000710008622060854,0.95,"0.92","0.98",0.94,0.002,-0.01
"8",2021-01-15,0.929497862779842,0.000954362778168046,0.96,"0.94","0.99",0.95,0.002,-0.01
"9",2021-01-16,0.943594906638082,0.00169530743226652,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.954344056059983,0.00168472632998329,0.94,"0.91","0.97",0.95,0.002,0.01
"11",2021-01-18,0.959390882732814,0.00140895507969655,0.9,"0.88","0.93",0.9,0.002,0
"12",2021-01-19,0.950153561074232,0.00203768082696249,0.88,"0.85","0.91",0.89,0.001,0.01
"13",2021-01-20,0.904849549568157,0.00172300521490904,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.886812515381356,0.0012715334381202,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866359895834877,0.00120199113676084,0.9,"0.87","0.93",0.89,0.001,-0.01
"16",2021-01-23,0.87069669410438,0.00117582344347683,0.91,"0.89","0.94",0.91,0.002,0
"17",2021-01-24,0.888190347062359,0.00116167150554086,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.90629244236851,0.00165188697300018,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.924358275330374,0.00194605838021559,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909284720349856,0.00139961847433041,0.92,"0.89","0.95",0.92,0.002,0
"21",2021-01-28,0.919824777530127,0.00128752012484436,0.94,"0.91","0.97",0.94,0.001,0
"22",2021-01-29,0.922659665470831,0.00195958726510619,0.96,"0.93","1.00",0.96,0.001,0
"23",2021-01-30,0.937374396488286,0.00102628913972294,0.98,"0.95","1.01",0.97,0.002,-0.01
"24",2021-01-31,0.960114309093596,0.00117662219720256,0.97,"0.93","1.00",0.98,0.002,0.01
"25",2021-02-01,0.974293540190636,0.0018573917474274,0.95,"0.92","0.98",0.95,0.001,0
"26",2021-02-02,0.979355554715649,0.00165744410950869,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945343294389286,0.0012127578674566,0.94,"0.91","0.97",0.93,0.001,-0.01
"28",2021-02-04,0.933210622436307,0.0016259231129926,0.96,"0.93","0.99",0.95,0.001,-0.01
"29",2021-02-05,0.933615764698232,0.0014731191635266,0.99,"0.96","1.02",0.97,0.001,-0.02
"30",2021-02-06,0.945154260482301,0.00121998848858602,1.02,"0.99","1.06",1,0.002,-0.02
