"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837567990649023,0.00190843401900941,0.92,"0.90","0.95",0.91,0.002,-0.01
"2",2021-01-09,0.867206639678065,0.0018480057692385,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912586845313735,0.00153657924248636,0.94,"0.91","0.96",0.95,0.001,0.01
"4",2021-01-11,0.94290595797225,0.000789139213477692,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952521584785414,0.00104391579036889,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933465337061173,0.00128269999286385,0.93,"0.91","0.96",0.93,0.002,0
"7",2021-01-14,0.931622481095634,0.00106045324604343,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.929531472124655,0.00156161771799223,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943627248218803,0.000990683926365883,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.954395980539666,0.00115800971862402,0.94,"0.91","0.97",0.95,0.002,0.01
"11",2021-01-18,0.959427894178312,0.000878015952882152,0.9,"0.88","0.93",0.9,0.001,0
"12",2021-01-19,0.950185955143828,0.00170439867185467,0.88,"0.85","0.91",0.89,0.001,0.01
"13",2021-01-20,0.904875985011119,0.00140313062194834,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.88682221627056,0.00147302151099829,0.88,"0.86","0.91",0.87,0.002,-0.01
"15",2021-01-22,0.866360720485506,0.000956954858581949,0.9,"0.87","0.93",0.89,0.001,-0.01
"16",2021-01-23,0.870671962021722,0.00176577290193212,0.91,"0.89","0.94",0.91,0.001,0
"17",2021-01-24,0.888158480883031,0.000981176597572935,0.92,"0.89","0.95",0.92,0.001,0
"18",2021-01-25,0.906259333535637,0.00114394271373079,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.924333988242872,0.00147357618521003,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909317615132709,0.00100824483913068,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.919899970529066,0.00139245383724536,0.94,"0.91","0.97",0.94,0.001,0
"22",2021-01-29,0.922740761757208,0.00137188381928797,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.937447860647798,0.00146439561472417,0.98,"0.95","1.01",0.97,0.001,-0.01
"24",2021-01-31,0.960156184610898,0.00205922978465771,0.97,"0.93","1.00",0.98,0.001,0.01
"25",2021-02-01,0.974260117918793,0.000819783696089282,0.94,"0.92","0.98",0.95,0.002,0.01
"26",2021-02-02,0.979268132329753,0.00140552583113485,0.93,"0.90","0.96",0.93,0.001,0
"27",2021-02-03,0.945220925756175,0.0019916409149067,0.94,"0.91","0.97",0.93,0.002,-0.01
"28",2021-02-04,0.9330918220844,0.00132145440670485,0.96,"0.93","0.99",0.95,0.002,-0.01
"29",2021-02-05,0.933535989945058,0.0021789366329256,0.99,"0.96","1.03",0.97,0.002,-0.02
"30",2021-02-06,0.945152048165348,0.00150272394054969,1.02,"0.99","1.06",1,0.003,-0.02
"31",2021-02-07,0.973670127256728,0.00212573342009096,1.03,"0.99","1.06",1.02,0.002,-0.01
"32",2021-02-08,1.00049574233795,0.00256537574882465,1.02,"0.99","1.06",1.02,0.001,0
"33",2021-02-09,1.01909251321918,0.00224451939639405,1.03,"1.00","1.06",1.04,0.003,0.01
"34",2021-02-10,1.0228210324341,0.00147387925559673,1.06,"1.03","1.09",1.07,0.002,0.01
"35",2021-02-11,1.03676817014599,0.00262288819567068,1.1,"1.07","1.14",1.1,0.002,0
"36",2021-02-12,1.0654732546482,0.00167305520304663,1.14,"1.11","1.18",1.14,0.003,0
"37",2021-02-13,1.10112677844622,0.00203560900767406,1.16,"1.13","1.20",1.17,0.002,0.01
"38",2021-02-14,1.14110221689318,0.00282421227999425,1.15,"1.11","1.18",1.17,0.001,0.02
"39",2021-02-15,1.17149282703145,0.00165997929680274,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16732955642572,0.00119743715475701,1.07,"1.04","1.10",1.1,0.001,0.03
"41",2021-02-17,1.12711607902347,0.00168960843826811,1.05,"1.02","1.08",1.06,0.002,0.01
"42",2021-02-18,1.09729929962987,0.000922830383080461,1.04,"1.01","1.07",1.04,0.001,0
"43",2021-02-19,1.06366327509995,0.00167545240253464,1.04,"1.01","1.07",1.02,0.002,-0.02
"44",2021-02-20,1.04072617096923,0.00121788003736725,1.03,"1.00","1.06",1.01,0.001,-0.02
"45",2021-02-21,1.02425894063247,0.00155267625924713,1,"0.97","1.03",1,0.002,0
"46",2021-02-22,1.00726510510404,0.00136705820500767,0.98,"0.95","1.00",0.97,0.001,-0.01
"47",2021-02-23,0.99749800774201,0.00184272378730871,0.97,"0.94","1.00",0.97,0.001,0
"48",2021-02-24,0.969975552454586,0.00119103377083847,0.99,"0.96","1.02",0.98,0.001,-0.01
"49",2021-02-25,0.973845475331169,0.00106167651731762,1.01,"0.98","1.04",1,0.001,-0.01
"50",2021-02-26,0.98000204594684,0.00104417811073611,1.04,"1.01","1.07",1.03,0.002,-0.01
"51",2021-02-27,1.00065853954154,0.00142228926304725,1.05,"1.02","1.08",1.05,0.003,0
"52",2021-02-28,1.02627598202729,0.00177723536888821,1.05,"1.02","1.09",1.07,0.002,0.02
"53",2021-03-01,1.04740965148168,0.00250816390607914,1.06,"1.03","1.08",1.06,0.002,0
"54",2021-03-02,1.06581887123307,0.0020143410686315,1.07,"1.04","1.10",1.08,0.002,0.01
"55",2021-03-03,1.0555263572514,0.001664152755872,1.11,"1.08","1.14",1.1,0.002,-0.01
"56",2021-03-04,1.07742002936409,0.00232942165040458,1.14,"1.11","1.17",1.13,0.002,-0.01
"57",2021-03-05,1.09949348219224,0.00192528630837219,1.16,"1.13","1.19",1.16,0.002,0
"58",2021-03-06,1.13402685762185,0.00211596086249808,1.16,"1.13","1.19",1.17,0.001,0.01
"59",2021-03-07,1.16422031983471,0.001696579830911,1.14,"1.11","1.17",1.17,0.002,0.03
"60",2021-03-08,1.17330567425643,0.00144047138757879,1.11,"1.09","1.14",1.12,0.002,0.01
"61",2021-03-09,1.16622335506855,0.00156921416843503,1.09,"1.06","1.12",1.1,0.001,0.01
"62",2021-03-10,1.11780729896394,0.00161982106707759,1.08,"1.06","1.11",1.09,0.002,0.01
"63",2021-03-11,1.10008209677275,0.00109740238552192,1.09,"1.06","1.11",1.09,0.001,0
"64",2021-03-12,1.08554272836758,0.00191898757759003,1.1,"1.07","1.12",1.09,0.002,-0.01
"65",2021-03-13,1.08615963782381,0.0010096841630914,1.1,"1.08","1.13",1.09,0.001,-0.01
"66",2021-03-14,1.09387329415881,0.00181286431849302,1.09,"1.07","1.12",1.1,0.001,0.01
"67",2021-03-15,1.09263677102434,0.00127273577865504,1.07,"1.05","1.10",1.07,0.002,0
"68",2021-03-16,1.09534531043795,0.00127369860998532,1.06,"1.03","1.08",1.07,0.001,0.01
"69",2021-03-17,1.07081629341387,0.00171352030218732,1.06,"1.03","1.08",1.06,0.001,0
"70",2021-03-18,1.06683599787326,0.00137428933171038,1.06,"1.04","1.09",1.07,0.001,0.01
"71",2021-03-19,1.06400728022714,0.00144529886526836,1.07,"1.04","1.09",1.07,0.002,0
"72",2021-03-20,1.06598604623217,0.00110408006929149,1.07,"1.04","1.09",1.07,0.001,0
"73",2021-03-21,1.07164635052886,0.00152835974702064,1.04,"1.02","1.07",1.05,0.001,0.01
"74",2021-03-22,1.06745359556312,0.00132560193146973,1.01,"0.98","1.03",1.01,0.001,0
"75",2021-03-23,1.0518282066555,0.00139971535077413,0.98,"0.95","1.00",0.98,0.001,0
"76",2021-03-24,1.0060187864653,0.00143061648473993,0.96,"0.94","0.98",0.96,0.002,0
"77",2021-03-25,0.97956201514952,0.000913607409621066,0.96,"0.94","0.98",0.96,0.001,0
"78",2021-03-26,0.957865959565668,0.00163705278104106,0.97,"0.95","0.99",0.96,0.001,-0.01
"79",2021-03-27,0.956069591848168,0.00086058856759498,0.98,"0.95","1.00",0.97,0.001,-0.01
"80",2021-03-28,0.961292254779134,0.00127868372317762,0.98,"0.95","1.00",0.98,0.001,0
"81",2021-03-29,0.967350435173513,0.000834586196247027,0.97,"0.94","0.99",0.96,0.001,-0.01
"82",2021-03-30,0.976969221378752,0.00128810699326192,0.96,"0.94","0.99",0.96,0.001,0
"83",2021-03-31,0.957889159881556,0.000928458299241545,0.98,"0.95","1.00",0.97,0.001,-0.01
"84",2021-04-01,0.956011321700696,0.00117282216856657,1.01,"0.98","1.03",1,0.001,-0.01
"85",2021-04-02,0.971575640082407,0.0013042928354943,1.04,"1.02","1.07",1.04,0.001,0
"86",2021-04-03,1.00090493586561,0.000787700474019285,1.08,"1.05","1.10",1.07,0.001,-0.01
"87",2021-04-04,1.04020536187206,0.000806252815066349,1.08,"1.06","1.11",1.09,0.001,0.01
"88",2021-04-05,1.07378617938629,0.00104678377195192,1.06,"1.04","1.09",1.07,0.001,0.01
"89",2021-04-06,1.0886663111668,0.00129785761423966,1.03,"1.01","1.05",1.05,0.002,0.02
"90",2021-04-07,1.06853875531151,0.000950943735475345,1.02,"1.00","1.04",1.03,0.001,0.01
"91",2021-04-08,1.04903136217813,0.00157155184609128,1.03,"1.00","1.05",1.03,0.001,0
"92",2021-04-09,1.03042423802674,0.00119365885734043,1.04,"1.02","1.07",1.03,0.001,-0.01
"93",2021-04-10,1.02556176837187,0.000578089270663863,1.06,"1.04","1.08",1.04,0.001,-0.02
"94",2021-04-11,1.03035983883092,0.000965265277119702,1.06,"1.03","1.08",1.06,0.001,0
"95",2021-04-12,1.04435748651862,0.00127402387768689,1.04,"1.02","1.07",1.05,0.002,0.01
"96",2021-04-13,1.06050890301322,0.00114740992281766,1.03,"1.01","1.05",1.05,0.001,0.02
"97",2021-04-14,1.04681149958131,0.00169442851799146,1.03,"1.00","1.05",1.04,0.001,0.01
"98",2021-04-15,1.04922885012342,0.00112956720074837,1.03,"1.00","1.05",1.04,0.002,0.01
"99",2021-04-16,1.04238410731655,0.0013570297925797,1.02,"1.00","1.05",1.03,0.001,0.01
"100",2021-04-17,1.03580704257464,0.0015902781328631,1.01,"0.99","1.03",1,0.002,-0.01
"101",2021-04-18,1.0289170537277,0.000863104527283072,0.98,"0.95","1.00",0.98,0.001,0
"102",2021-04-19,1.00497582789459,0.00174972102281331,0.94,"0.92","0.96",0.93,0.001,-0.01
"103",2021-04-20,0.979345317895689,0.00134621679363677,0.91,"0.89","0.94",0.91,0.001,0
"104",2021-04-21,0.930903568914515,0.00107982144260223,0.91,"0.89","0.94",0.9,0.001,-0.01
"105",2021-04-22,0.90809522538234,0.00148951430367512,0.94,"0.91","0.96",0.92,0.001,-0.02
"106",2021-04-23,0.895466594869354,0.00134348946996765,0.97,"0.95","0.99",0.96,0.001,-0.01
"107",2021-04-24,0.915760786317059,0.0010777024093711,1,"0.98","1.03",0.99,0.001,-0.01
"108",2021-04-25,0.955868012070703,0.00127101654563535,1.01,"0.99","1.04",1.02,0.002,0.01
"109",2021-04-26,0.994414422527329,0.00103562470052375,1,"0.98","1.02",1.01,0.001,0.01
"110",2021-04-27,1.02255891106799,0.00164960802433656,0.97,"0.95","1.00",1,0.001,0.03
"111",2021-04-28,1.00736428715975,0.00117501146448742,0.95,"0.93","0.97",0.97,0.001,0.02
"112",2021-04-29,0.999432681212068,0.00102561047804153,0.94,"0.92","0.96",0.95,0.001,0.01
"113",2021-04-30,0.972446882364429,0.0011860818228199,0.94,"0.92","0.97",0.94,0.001,0
"114",2021-05-01,0.952624202442279,0.00094229075484414,0.94,"0.92","0.96",0.92,0.001,-0.02
"115",2021-05-02,0.935215349417057,0.000968000306072281,0.92,"0.90","0.94",0.92,0.001,0
"116",2021-05-03,0.92292610690371,0.00110532133938895,0.89,"0.87","0.91",0.89,0.001,0
"117",2021-05-04,0.91581902418109,0.000931910995327668,0.87,"0.85","0.89",0.88,0.001,0.01
"118",2021-05-05,0.889156243490064,0.00131349015318262,0.86,"0.84","0.88",0.87,0.001,0.01
"119",2021-05-06,0.880549013873195,0.00141274304785998,0.86,"0.84","0.88",0.86,0.001,0
"120",2021-05-07,0.866754972629562,0.00118653345297093,0.86,"0.84","0.89",0.85,0.001,-0.01
"121",2021-05-08,0.861380317635304,0.00135000815034828,0.86,"0.84","0.88",0.84,0.001,-0.02
"122",2021-05-09,0.854613643468874,0.00127914643010015,0.84,"0.82","0.87",0.84,0.001,0
"123",2021-05-10,0.844755072303115,0.000876600754994365,0.82,"0.80","0.84",0.82,0.002,0
"124",2021-05-11,0.840366977497242,0.0011619279258089,0.81,"0.79","0.84",0.82,0.001,0.01
"125",2021-05-12,0.81893758069393,0.00155742212984743,0.83,"0.80","0.85",0.82,0.002,-0.01
"126",2021-05-13,0.817801160321309,0.00137250944998504,0.84,"0.82","0.87",0.83,0.002,-0.01
"127",2021-05-14,0.823076912462665,0.00167712257327741,0.86,"0.83","0.88",0.85,0.002,-0.01
"128",2021-05-15,0.834531535363722,0.00173490393318542,0.85,"0.83","0.88",0.86,0.001,0.01
"129",2021-05-16,0.85254410912653,0.00177409452667424,0.84,"0.81","0.86",0.85,0.001,0.01
"130",2021-05-17,0.860709733567143,0.000952763123835442,0.82,"0.79","0.85",0.82,0.002,0
"131",2021-05-18,0.850525544974521,0.00117429962543046,0.81,"0.79","0.84",0.8,0.002,-0.01
"132",2021-05-19,0.816846957975599,0.00156850575525693,0.83,"0.80","0.86",0.81,0.002,-0.02
"133",2021-05-20,0.80008336225603,0.00181820070004824,0.86,"0.82","0.89",0.85,0.003,-0.01
"134",2021-05-21,0.814213492336825,0.00171994439271751,0.89,"0.86","0.93",0.89,0.002,0
"135",2021-05-22,0.850510014887203,0.0026089367064216,0.93,"0.89","0.96",0.93,0.001,0
"136",2021-05-23,0.894967622758955,0.00174152867223089,0.93,"0.89","0.96",0.94,0.001,0.01
"137",2021-05-24,0.929200804691651,0.00126169654186204,0.89,"0.86","0.93",0.91,0.002,0.02
"138",2021-05-25,0.935367733898566,0.00122856082089552,0.85,"0.82","0.89",0.88,0.001,0.03
"139",2021-05-26,0.908965878854781,0.00243421713708459,0.83,"0.80","0.86",0.84,0.002,0.01
"140",2021-05-27,0.875266378291769,0.000865045790914264,0.82,"0.79","0.86",0.82,0.002,0
"141",2021-05-28,0.841453480695287,0.00213002339484573,0.83,"0.79","0.86",0.81,0.002,-0.02
"142",2021-05-29,0.818214709927504,0.00235357175016231,0.82,"0.79","0.86",0.81,0.001,-0.01
"143",2021-05-30,0.809400111603889,0.00192455766833351,0.8,"0.77","0.84",0.81,0.002,0.01
"144",2021-05-31,0.80988841723673,0.000953858695675764,0.78,"0.74","0.81",0.78,0.001,0
"145",2021-06-01,0.81114246124488,0.00223160213553877,0.75,"0.72","0.79",0.76,0.001,0.01
"146",2021-06-02,0.784941497939051,0.00140885899089693,0.75,"0.71","0.78",0.74,0.001,-0.01
"147",2021-06-03,0.764890679794199,0.00112733739650147,0.75,"0.71","0.79",0.74,0.002,-0.01
"148",2021-06-04,0.744779451769177,0.00147566227007419,0.76,"0.72","0.80",0.76,0.001,0
"149",2021-06-05,0.738566790750747,0.00154373228970088,0.77,"0.73","0.81",0.77,0.002,0
"150",2021-06-06,0.755683243747663,0.000914197754879529,0.77,"0.73","0.82",0.78,0.002,0.01
"151",2021-06-07,0.766062855142329,0.00164628908113863,0.77,"0.73","0.82",0.77,0.002,0
"152",2021-06-08,0.777667623685236,0.00235002853536001,0.77,"0.72","0.82",0.78,0.001,0.01
"153",2021-06-09,0.772842458940044,0.0017592718291201,0.77,"0.73","0.82",0.78,0.003,0.01
"154",2021-06-10,0.776259820616518,0.00112547585379084,0.79,"0.74","0.84",0.78,0.003,-0.01
"155",2021-06-11,0.779763386483421,0.00267360530341439,0.8,"0.75","0.85",0.79,0.003,-0.01
"156",2021-06-12,0.778292137302687,0.0026828641651914,0.8,"0.74","0.85",0.8,0.003,0
"157",2021-06-13,0.785848901385432,0.00282670308358584,0.78,"0.72","0.83",0.79,0.003,0.01
"158",2021-06-14,0.795685606695038,0.00319471115678822,0.77,"0.71","0.82",0.77,0.002,0
"159",2021-06-15,0.789506609100158,0.00254376990913997,0.77,"0.71","0.83",0.76,0.005,-0.01
"160",2021-06-16,0.767465996106435,0.00187886654316458,0.79,"0.73","0.86",0.77,0.002,-0.02
"161",2021-06-17,0.7635087890103,0.00508058033324465,0.82,"0.76","0.89",0.81,0.003,-0.01
"162",2021-06-18,0.773152393772453,0.00182464001981366,0.87,"0.80","0.93",0.85,0.004,-0.02
"163",2021-06-19,0.806507622148412,0.0030773752369552,0.91,"0.84","0.99",0.89,0.004,-0.02
"164",2021-06-20,0.848858469196696,0.00399177639307345,0.95,"0.87","1.03",0.92,0.002,-0.03
"165",2021-06-21,0.891940999190202,0.00376384452265022,0.99,"0.91","1.07",0.93,0.003,-0.06
"166",2021-06-22,0.918778762034221,0.00210685135995931,1.06,"0.98","1.14",1,0.005,-0.06
"167",2021-06-23,0.926142594372217,0.00301509311399164,1.18,"1.10","1.26",1.13,0.004,-0.05
"168",2021-06-24,1.00223955430323,0.00464434585294712,1.36,"1.27","1.46",1.33,0.008,-0.03
"169",2021-06-25,1.13296870762377,0.00431284535247781,1.6,"1.49","1.70",1.56,0.007,-0.04
"170",2021-06-26,1.32575802861721,0.00806242647876156,1.84,"1.73","1.95",1.79,0.005,-0.05
"171",2021-06-27,1.55582362838277,0.00667214534933952,2.03,"1.91","2.15",2.04,0.007,0.01
"172",2021-06-28,1.78620608558499,0.00476650329860927,2.2,"2.10","2.30",2.41,0.007,0.21
"173",2021-06-29,2.04099509248263,0.00651033980839551,2.41,"2.32","2.50",3.03,0.008,0.62
"174",2021-06-30,2.40711780359412,0.00688390276543404,2.68,"2.59","2.77",3.7,0.006,1.02
"175",2021-07-01,3.03198563063966,0.00844821164610542,2.93,"2.84","3.02",3.89,0.004,0.96
"176",2021-07-02,3.69568936236294,0.00647751176725577,3.01,"2.93","3.10",3.51,0.004,0.5
"177",2021-07-03,3.89235270676437,0.00383080887849985,2.79,"2.72","2.85",2.78,0.003,-0.01
"178",2021-07-04,3.50855312771045,0.00372452250534906,2.29,"2.24","2.34",2.1,0.003,-0.19
"179",2021-07-05,2.77788259754265,0.00278318999974371,1.75,"1.72","1.78",1.69,0.002,-0.06
"180",2021-07-06,2.09914974734945,0.00271922606714801,1.39,"1.37","1.42",1.45,0.001,0.06
"181",2021-07-07,1.69007277304853,0.00235350239154318,1.24,"1.22","1.26",1.28,0.001,0.04
"182",2021-07-08,1.45233568968753,0.000764942624635638,1.17,"1.15","1.20",1.16,0.001,-0.01
"183",2021-07-09,1.27801379664759,0.00115265413999533,1.11,"1.09","1.14",1.08,0.001,-0.03
"184",2021-07-10,1.16153130385776,0.00116797212797066,1.03,"1.01","1.05",1,0.001,-0.03
"185",2021-07-11,1.0760467657878,0.00113312035964784,0.91,"0.89","0.93",0.93,0.001,0.02
"186",2021-07-12,1.00452840666266,0.00122216212102006,0.8,"0.78","0.81",0.84,0.001,0.04
"187",2021-07-13,0.929491962843866,0.00086251834011369,0.73,"0.72","0.75",0.77,0.001,0.04
"188",2021-07-14,0.839664032966651,0.000517868254666931,0.71,"0.69","0.72",0.72,0.001,0.01
"189",2021-07-15,0.765924959182824,0.000530615339286376,0.71,"0.69","0.72",0.69,0.001,-0.02
"190",2021-07-16,0.719511515301195,0.000780533176884647,0.71,"0.69","0.73",0.7,0.001,-0.01
