"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.83841660172359,0.000683507752519572,0.92,"0.89","0.96",0.91,0.001,-0.01
"2",2021-01-09,0.868379518705438,0.00148797254154842,0.94,"0.91","0.98",0.94,0.002,0
"3",2021-01-10,0.913521949949687,0.00102678324095257,0.94,"0.90","0.98",0.95,0.002,0.01
"4",2021-01-11,0.942333347040458,0.00198800892950216,0.92,"0.89","0.96",0.93,0.002,0.01
"5",2021-01-12,0.951883834011126,0.0016757530234839,0.92,"0.89","0.95",0.93,0.001,0.01
"6",2021-01-13,0.932630217454686,0.00170854015730999,0.93,"0.89","0.97",0.93,0.001,0
"7",2021-01-14,0.930980843270815,0.00126378609237741,0.95,"0.91","0.99",0.94,0.001,-0.01
"8",2021-01-15,0.928506271820312,0.00110076445297605,0.96,"0.93","1.00",0.95,0.001,-0.01
"9",2021-01-16,0.942237643955884,0.00101882934546529,0.97,"0.93","1.01",0.96,0.001,-0.01
"10",2021-01-17,0.953523078328885,0.00132875730420976,0.94,"0.90","0.98",0.95,0.001,0.01
"11",2021-01-18,0.95825961537802,0.00121626155922941,0.9,"0.87","0.94",0.91,0.002,0.01
"12",2021-01-19,0.949994040939235,0.000977093835489539,0.88,"0.84","0.91",0.89,0.001,0.01
"13",2021-01-20,0.905485819316347,0.00167960001247333,0.87,"0.84","0.91",0.87,0.002,0
"14",2021-01-21,0.88732625323658,0.00120572835325471,0.88,"0.84","0.92",0.87,0.001,-0.01
"15",2021-01-22,0.867222242439429,0.00166919033861069,0.9,"0.86","0.94",0.89,0.002,-0.01
"16",2021-01-23,0.870892294968384,0.00148739306544634,0.92,"0.88","0.96",0.91,0.002,-0.01
"17",2021-01-24,0.888175894836269,0.00173099777802117,0.92,"0.87","0.96",0.92,0.001,0
"18",2021-01-25,0.906076061520753,0.00220883203673537,0.91,"0.87","0.95",0.91,0.001,0
"19",2021-01-26,0.924057385466261,0.00142181827540649,0.91,"0.87","0.95",0.92,0.002,0.01
"20",2021-01-27,0.90968533777944,0.00133891177493683,0.92,"0.88","0.96",0.92,0.001,0
"21",2021-01-28,0.920627742620444,0.00158152564882483,0.94,"0.89","0.99",0.94,0.002,0
"22",2021-01-29,0.923207216001421,0.00138973533125701,0.97,"0.92","1.01",0.96,0.003,-0.01
"23",2021-01-30,0.937614636978504,0.00194239598696737,0.98,"0.93","1.03",0.97,0.001,-0.01
"24",2021-01-31,0.959886915689432,0.0025321645889815,0.97,"0.92","1.02",0.98,0.002,0.01
"25",2021-02-01,0.973179512561072,0.00100078552576659,0.94,"0.90","0.99",0.94,0.002,0
"26",2021-02-02,0.978308229180382,0.00155290693410258,0.93,"0.88","0.98",0.93,0.001,0
"27",2021-02-03,0.944266641455585,0.00187862781840066,0.93,"0.89","0.98",0.93,0.001,0
"28",2021-02-04,0.932609746215365,0.00149832267957811,0.96,"0.91","1.01",0.94,0.002,-0.02
"29",2021-02-05,0.932712884398967,0.00135891930945918,0.99,"0.94","1.04",0.97,0.001,-0.02
"30",2021-02-06,0.944542311755191,0.00202972526662058,1.02,"0.97","1.08",1,0.002,-0.02
"31",2021-02-07,0.972933191394755,0.00142506749030154,1.03,"0.98","1.09",1.02,0.002,-0.01
"32",2021-02-08,0.999326640397878,0.0019668583248223,1.02,"0.97","1.07",1.02,0.003,0
"33",2021-02-09,1.01890279407984,0.0017303407386912,1.03,"0.98","1.08",1.04,0.002,0.01
"34",2021-02-10,1.02296774798755,0.00251541440161335,1.06,"1.00","1.11",1.07,0.002,0.01
"35",2021-02-11,1.03737871798174,0.00215849574411318,1.1,"1.05","1.16",1.1,0.002,0
"36",2021-02-12,1.0660883310687,0.00226044710206356,1.15,"1.09","1.20",1.14,0.002,-0.01
"37",2021-02-13,1.10212427509484,0.0021923695044176,1.17,"1.11","1.22",1.17,0.002,0
"38",2021-02-14,1.14161581846924,0.00243734499546408,1.15,"1.10","1.21",1.17,0.002,0.02
"39",2021-02-15,1.17137060043002,0.00199535423927648,1.11,"1.06","1.16",1.13,0.002,0.02
"40",2021-02-16,1.1676289583128,0.0022957730821589,1.07,"1.02","1.12",1.1,0.001,0.03
"41",2021-02-17,1.12698121816713,0.00184527674119174,1.05,"1.00","1.09",1.06,0.002,0.01
"42",2021-02-18,1.09688797013725,0.00148726543315079,1.04,"0.99","1.09",1.04,0.002,0
"43",2021-02-19,1.06311437093392,0.00192683424625066,1.04,"0.99","1.09",1.02,0.001,-0.02
"44",2021-02-20,1.04041554190729,0.0016120828875656,1.03,"0.98","1.08",1.01,0.002,-0.02
"45",2021-02-21,1.02402565067288,0.00107317478502735,1,"0.96","1.05",1,0.001,0
"46",2021-02-22,1.00719178166405,0.00193870662548425,0.98,"0.94","1.02",0.97,0.001,-0.01
"47",2021-02-23,0.99804392681449,0.00112466103701079,0.97,"0.93","1.01",0.97,0.002,0
"48",2021-02-24,0.971004338726404,0.00118499275890803,0.99,"0.94","1.03",0.98,0.001,-0.01
"49",2021-02-25,0.974753907069938,0.00172853556617414,1.01,"0.97","1.06",1,0.002,-0.01
"50",2021-02-26,0.980905877874727,0.00141329340873015,1.04,"0.99","1.09",1.03,0.001,-0.01
"51",2021-02-27,1.00091220841897,0.00154479886265482,1.06,"1.01","1.10",1.05,0.002,-0.01
"52",2021-02-28,1.02575464942606,0.0010853385921213,1.05,"1.01","1.10",1.06,0.002,0.01
"53",2021-03-01,1.0466200714024,0.00196349909405457,1.05,"1.01","1.10",1.05,0.002,0
"54",2021-03-02,1.06471656085574,0.00182073018956013,1.07,"1.03","1.11",1.08,0.001,0.01
"55",2021-03-03,1.05483883083949,0.00178629769598298,1.1,"1.06","1.15",1.1,0.001,0
"56",2021-03-04,1.07661662359657,0.000829439615910313,1.13,"1.09","1.18",1.13,0.001,0
"57",2021-03-05,1.09829559500101,0.00112428512869281,1.16,"1.11","1.20",1.16,0.002,0
"58",2021-03-06,1.13337662854974,0.00101683313645683,1.17,"1.12","1.21",1.17,0.002,0
"59",2021-03-07,1.16345637189334,0.00180923939042764,1.15,"1.11","1.19",1.17,0.002,0.02
"60",2021-03-08,1.17300694373638,0.00172807842080924,1.12,"1.08","1.16",1.12,0.001,0
"61",2021-03-09,1.16666546923844,0.00173461393108111,1.09,"1.05","1.13",1.1,0.001,0.01
"62",2021-03-10,1.11846022827084,0.00115128904069126,1.08,"1.04","1.12",1.09,0.002,0.01
"63",2021-03-11,1.1008043621257,0.00129375760307784,1.08,"1.05","1.12",1.09,0.001,0.01
"64",2021-03-12,1.08598769283548,0.00209583665968299,1.1,"1.06","1.13",1.09,0.002,-0.01
"65",2021-03-13,1.08614456085559,0.00144029557904334,1.1,"1.07","1.14",1.09,0.002,-0.01
"66",2021-03-14,1.09373667504737,0.00150810765974078,1.09,"1.06","1.13",1.1,0.001,0.01
"67",2021-03-15,1.09237598770171,0.00174959663721146,1.07,"1.04","1.11",1.07,0.002,0
"68",2021-03-16,1.09535563097169,0.00118211865090105,1.05,"1.02","1.09",1.07,0.002,0.02
"69",2021-03-17,1.07160900389299,0.00156330546143839,1.05,"1.02","1.09",1.06,0.001,0.01
"70",2021-03-18,1.06733036668358,0.00190925853199904,1.06,"1.03","1.10",1.07,0.001,0.01
"71",2021-03-19,1.06441854412916,0.000643003845030472,1.07,"1.04","1.11",1.07,0.001,0
"72",2021-03-20,1.06602881703937,0.00136504855623718,1.07,"1.04","1.10",1.07,0.001,0
"73",2021-03-21,1.07124211002242,0.00131693676210153,1.04,"1.01","1.08",1.05,0.001,0.01
