"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837563046035535,0.00143550692762951,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.867206317981146,0.000992492577569531,0.94,"0.92","0.97",0.94,0.002,0
"3",2021-01-10,0.912586845063806,0.000820956643458741,0.94,"0.91","0.96",0.95,0.001,0.01
"4",2021-01-11,0.942905957972239,0.00165123814268336,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952521584785437,0.00143711524277216,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933465340755136,0.00122863159132069,0.93,"0.91","0.96",0.93,0.002,0
"7",2021-01-14,0.931625931333486,0.00129159261345158,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.92955813278784,0.00186921757794348,0.96,"0.94","0.99",0.95,0.002,-0.01
"9",2021-01-16,0.943657493057088,0.0012795501104522,0.97,"0.94","0.99",0.96,0.002,-0.01
"10",2021-01-17,0.954427208788129,0.00185856547137602,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.959462608014227,0.00165675121929652,0.9,"0.88","0.93",0.9,0.001,0
"12",2021-01-19,0.950249469771925,0.00110738237574925,0.88,"0.85","0.91",0.89,0.002,0.01
"13",2021-01-20,0.904939917268015,0.0010662428477436,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.886861640776358,0.00199940954787822,0.88,"0.86","0.91",0.87,0.002,-0.01
"15",2021-01-22,0.866385347982929,0.000811191468469209,0.9,"0.87","0.93",0.89,0.002,-0.01
"16",2021-01-23,0.8706641148567,0.00231715484700903,0.91,"0.89","0.94",0.91,0.002,0
"17",2021-01-24,0.888140245363179,0.00161407958764277,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.906261133185021,0.00153397751941712,0.91,"0.88","0.94",0.91,0.002,0
"19",2021-01-26,0.924339473701612,0.00173609957962611,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909324474208414,0.00200313429280842,0.92,"0.89","0.95",0.92,0.002,0
"21",2021-01-28,0.919910778691406,0.00106295400656951,0.94,"0.91","0.97",0.94,0.001,0
"22",2021-01-29,0.922784535707977,0.00221056121854549,0.96,"0.93","1.00",0.96,0.001,0
"23",2021-01-30,0.937490668601386,0.000730430256808404,0.98,"0.95","1.01",0.97,0.001,-0.01
"24",2021-01-31,0.960163008684797,0.00143454602902573,0.97,"0.93","1.00",0.98,0.001,0.01
"25",2021-02-01,0.974254629409152,0.00128333613083376,0.94,"0.91","0.97",0.95,0.002,0.01
"26",2021-02-02,0.979234540406725,0.00149522646823717,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945189182691996,0.00197528226574257,0.94,"0.91","0.97",0.93,0.001,-0.01
"28",2021-02-04,0.933049164879692,0.00240594004526299,0.96,"0.93","0.99",0.95,0.002,-0.01
"29",2021-02-05,0.933491096355178,0.00138079335515536,0.99,"0.96","1.03",0.97,0.002,-0.02
"30",2021-02-06,0.945073876297535,0.00175867456752907,1.02,"0.99","1.06",1,0.002,-0.02
"31",2021-02-07,0.973586602552574,0.00205204504588667,1.03,"0.99","1.06",1.02,0.001,-0.01
"32",2021-02-08,1.00044059710223,0.00202012661961366,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01905151208075,0.00141815904620236,1.03,"1.00","1.06",1.04,0.003,0.01
"34",2021-02-10,1.0228173625402,0.00152799946002025,1.06,"1.03","1.09",1.07,0.002,0.01
"35",2021-02-11,1.03681001186932,0.00256732121304583,1.1,"1.07","1.14",1.1,0.001,0
"36",2021-02-12,1.06552112270871,0.00166369248802521,1.14,"1.11","1.18",1.14,0.003,0
"37",2021-02-13,1.10117299354587,0.00107986318320174,1.16,"1.13","1.20",1.17,0.001,0.01
"38",2021-02-14,1.14113918045497,0.00252921385747605,1.15,"1.11","1.18",1.17,0.002,0.02
"39",2021-02-15,1.17149982820064,0.000964338561144756,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16735643365099,0.00176902329352449,1.07,"1.04","1.10",1.1,0.002,0.03
"41",2021-02-17,1.12711568399906,0.00163612578224154,1.05,"1.02","1.08",1.06,0.002,0.01
"42",2021-02-18,1.09729465421563,0.00199802623966223,1.04,"1.01","1.07",1.04,0.002,0
"43",2021-02-19,1.06365303214202,0.00180797897563446,1.04,"1.01","1.07",1.02,0.001,-0.02
"44",2021-02-20,1.0407005818397,0.00175328872026746,1.03,"1.00","1.06",1.01,0.002,-0.02
"45",2021-02-21,1.02425034925339,0.00147966345383159,1,"0.97","1.03",1,0.001,0
"46",2021-02-22,1.0072645702375,0.00182253812033107,0.98,"0.95","1.00",0.97,0.002,-0.01
"47",2021-02-23,0.997498100306887,0.0010204222836515,0.97,"0.94","1.00",0.97,0.002,0
"48",2021-02-24,0.969976578292883,0.00153804513010095,0.99,"0.96","1.02",0.98,0.002,-0.01
"49",2021-02-25,0.973846167895064,0.00245048877417555,1.01,"0.98","1.04",1,0.001,-0.01
"50",2021-02-26,0.980003531200087,0.00151030862723825,1.04,"1.01","1.07",1.03,0.002,-0.01
"51",2021-02-27,1.00065461011883,0.00111208590095187,1.05,"1.02","1.08",1.05,0.001,0
"52",2021-02-28,1.0262411380689,0.00222932124892022,1.05,"1.02","1.09",1.07,0.001,0.02
"53",2021-03-01,1.04736980111263,0.00120557525270341,1.06,"1.03","1.08",1.06,0.002,0
"54",2021-03-02,1.06577901834304,0.0012456522470714,1.07,"1.04","1.10",1.08,0.002,0.01
"55",2021-03-03,1.05549523420437,0.00187031018409725,1.11,"1.08","1.14",1.1,0.001,-0.01
"56",2021-03-04,1.07741190866145,0.00198371322576973,1.14,"1.11","1.17",1.13,0.002,-0.01
"57",2021-03-05,1.09949291848755,0.00102487969318429,1.16,"1.13","1.19",1.16,0.001,0
"58",2021-03-06,1.13402685699896,0.00164132668294033,1.16,"1.13","1.19",1.17,0.002,0.01
