"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1643,6,1688,2021-11-04
"20 - 24",7,579,3,589,2021-11-04
"25 - 29",12,952,2,966,2021-11-04
"30 - 34",20,1387,11,1418,2021-11-04
"35 - 39",16,1559,10,1585,2021-11-04
"40 - 44",33,1934,13,1980,2021-11-04
"45 - 49",33,3121,28,3182,2021-11-04
"50 - 54",46,4776,77,4899,2021-11-04
"55 - 59",43,5768,138,5949,2021-11-04
"60 - 64",66,5759,256,6081,2021-11-04
"65 - 69",97,5626,527,6250,2021-11-04
"70 - 74",126,6597,1113,7836,2021-11-04
"75 - 79",178,6224,1826,8228,2021-11-04
"80 - 84",167,4886,2108,7161,2021-11-04
"85 - 89",118,3024,1555,4697,2021-11-04
">90",62,1343,664,2069,2021-11-04
