"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1348,6,1382,2021-08-01
"20 - 24",9,475,3,487,2021-08-01
"25 - 29",12,778,2,792,2021-08-01
"30 - 34",19,1144,10,1173,2021-08-01
"35 - 39",23,1336,10,1369,2021-08-01
"40 - 44",24,1666,12,1702,2021-08-01
"45 - 49",31,2841,25,2897,2021-08-01
"50 - 54",46,4419,76,4541,2021-08-01
"55 - 59",48,5383,130,5561,2021-08-01
"60 - 64",43,5380,241,5664,2021-08-01
"65 - 69",35,5305,503,5843,2021-08-01
"70 - 74",46,6246,1057,7349,2021-08-01
"75 - 79",56,5852,1724,7632,2021-08-01
"80 - 84",46,4542,1965,6553,2021-08-01
"85 - 89",30,2781,1443,4254,2021-08-01
">90",16,1219,604,1839,2021-08-01
