"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1403,6,1441,2021-08-17
"20 - 24",9,496,3,508,2021-08-17
"25 - 29",17,819,2,838,2021-08-17
"30 - 34",16,1196,10,1222,2021-08-17
"35 - 39",17,1380,10,1407,2021-08-17
"40 - 44",20,1727,12,1759,2021-08-17
"45 - 49",17,2901,26,2944,2021-08-17
"50 - 54",42,4502,77,4621,2021-08-17
"55 - 59",47,5463,130,5640,2021-08-17
"60 - 64",41,5468,243,5752,2021-08-17
"65 - 69",40,5349,511,5900,2021-08-17
"70 - 74",35,6294,1065,7394,2021-08-17
"75 - 79",54,5907,1736,7697,2021-08-17
"80 - 84",57,4584,1982,6623,2021-08-17
"85 - 89",35,2823,1456,4314,2021-08-17
">90",14,1239,612,1865,2021-08-17
