"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1318,6,1364,2021-07-22
"20 - 24",9,455,3,467,2021-07-22
"25 - 29",20,742,2,764,2021-07-22
"30 - 34",13,1109,10,1132,2021-07-22
"35 - 39",20,1302,11,1333,2021-07-22
"40 - 44",19,1637,12,1668,2021-07-22
"45 - 49",21,2793,25,2839,2021-07-22
"50 - 54",46,4368,74,4488,2021-07-22
"55 - 59",31,5352,128,5511,2021-07-22
"60 - 64",35,5356,241,5632,2021-07-22
"65 - 69",25,5308,504,5837,2021-07-22
"70 - 74",28,6262,1057,7347,2021-07-22
"75 - 79",35,5863,1724,7622,2021-07-22
"80 - 84",32,4568,1960,6560,2021-07-22
"85 - 89",18,2800,1448,4266,2021-07-22
">90",8,1225,603,1836,2021-07-22
