"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1431,6,1466,2021-08-27
"20 - 24",5,518,3,526,2021-08-27
"25 - 29",12,850,2,864,2021-08-27
"30 - 34",20,1233,11,1264,2021-08-27
"35 - 39",15,1416,10,1441,2021-08-27
"40 - 44",19,1771,12,1802,2021-08-27
"45 - 49",16,2934,26,2976,2021-08-27
"50 - 54",34,4561,77,4672,2021-08-27
"55 - 59",32,5525,130,5687,2021-08-27
"60 - 64",42,5504,243,5789,2021-08-27
"65 - 69",33,5392,513,5938,2021-08-27
"70 - 74",41,6340,1070,7451,2021-08-27
"75 - 79",62,5948,1747,7757,2021-08-27
"80 - 84",49,4627,2003,6679,2021-08-27
"85 - 89",36,2855,1469,4360,2021-08-27
">90",14,1255,621,1890,2021-08-27
