"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1482,6,1528,2021-09-20
"20 - 24",1,547,3,551,2021-09-20
"25 - 29",10,896,2,908,2021-09-20
"30 - 34",16,1286,11,1313,2021-09-20
"35 - 39",11,1478,10,1499,2021-09-20
"40 - 44",19,1833,13,1865,2021-09-20
"45 - 49",18,3004,27,3049,2021-09-20
"50 - 54",40,4627,77,4744,2021-09-20
"55 - 59",30,5611,133,5774,2021-09-20
"60 - 64",34,5583,246,5863,2021-09-20
"65 - 69",36,5462,518,6016,2021-09-20
"70 - 74",47,6412,1084,7543,2021-09-20
"75 - 79",41,6024,1781,7846,2021-09-20
"80 - 84",51,4694,2036,6781,2021-09-20
"85 - 89",29,2901,1492,4422,2021-09-20
">90",10,1278,629,1917,2021-09-20
