"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,1661,9,1716,2021-11-09
"20 - 24",7,588,3,598,2021-11-09
"25 - 29",28,958,2,988,2021-11-09
"30 - 34",19,1407,11,1437,2021-11-09
"35 - 39",22,1579,10,1611,2021-11-09
"40 - 44",28,1959,14,2001,2021-11-09
"45 - 49",32,3145,28,3205,2021-11-09
"50 - 54",44,4802,77,4923,2021-11-09
"55 - 59",56,5798,138,5992,2021-11-09
"60 - 64",98,5798,257,6153,2021-11-09
"65 - 69",120,5676,531,6327,2021-11-09
"70 - 74",168,6659,1126,7953,2021-11-09
"75 - 79",221,6279,1844,8344,2021-11-09
"80 - 84",218,4948,2129,7295,2021-11-09
"85 - 89",155,3068,1574,4797,2021-11-09
">90",68,1366,674,2108,2021-11-09
