"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1496,6,1536,2021-09-23
"20 - 24",1,549,3,553,2021-09-23
"25 - 29",8,900,2,910,2021-09-23
"30 - 34",11,1295,11,1317,2021-09-23
"35 - 39",11,1482,10,1503,2021-09-23
"40 - 44",15,1847,13,1875,2021-09-23
"45 - 49",21,3011,27,3059,2021-09-23
"50 - 54",34,4637,77,4748,2021-09-23
"55 - 59",31,5621,133,5785,2021-09-23
"60 - 64",24,5595,246,5865,2021-09-23
"65 - 69",31,5473,520,6024,2021-09-23
"70 - 74",39,6422,1086,7547,2021-09-23
"75 - 79",40,6031,1784,7855,2021-09-23
"80 - 84",42,4701,2038,6781,2021-09-23
"85 - 89",26,2908,1494,4428,2021-09-23
">90",8,1280,631,1919,2021-09-23
