"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1324,6,1362,2021-07-25
"20 - 24",10,459,3,472,2021-07-25
"25 - 29",17,758,2,777,2021-07-25
"30 - 34",15,1118,10,1143,2021-07-25
"35 - 39",16,1314,11,1341,2021-07-25
"40 - 44",27,1643,12,1682,2021-07-25
"45 - 49",30,2801,25,2856,2021-07-25
"50 - 54",41,4379,76,4496,2021-07-25
"55 - 59",38,5361,129,5528,2021-07-25
"60 - 64",39,5367,242,5648,2021-07-25
"65 - 69",25,5314,504,5843,2021-07-25
"70 - 74",29,6266,1057,7352,2021-07-25
"75 - 79",37,5871,1726,7634,2021-07-25
"80 - 84",37,4571,1962,6570,2021-07-25
"85 - 89",27,2800,1448,4275,2021-07-25
">90",12,1225,604,1841,2021-07-25
