"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1450,6,1489,2021-09-03
"20 - 24",5,533,3,541,2021-09-03
"25 - 29",13,869,2,884,2021-09-03
"30 - 34",19,1249,11,1279,2021-09-03
"35 - 39",14,1433,10,1457,2021-09-03
"40 - 44",27,1789,13,1829,2021-09-03
"45 - 49",22,2952,26,3000,2021-09-03
"50 - 54",34,4588,77,4699,2021-09-03
"55 - 59",35,5553,131,5719,2021-09-03
"60 - 64",30,5528,243,5801,2021-09-03
"65 - 69",38,5416,514,5968,2021-09-03
"70 - 74",44,6367,1074,7485,2021-09-03
"75 - 79",54,5967,1758,7779,2021-09-03
"80 - 84",44,4644,2022,6710,2021-09-03
"85 - 89",31,2867,1479,4377,2021-09-03
">90",11,1265,622,1898,2021-09-03
