"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1422,6,1460,2021-08-25
"20 - 24",4,513,3,520,2021-08-25
"25 - 29",12,844,2,858,2021-08-25
"30 - 34",21,1223,11,1255,2021-08-25
"35 - 39",16,1409,10,1435,2021-08-25
"40 - 44",19,1761,12,1792,2021-08-25
"45 - 49",23,2922,26,2971,2021-08-25
"50 - 54",27,4550,77,4654,2021-08-25
"55 - 59",39,5509,130,5678,2021-08-25
"60 - 64",38,5494,243,5775,2021-08-25
"65 - 69",31,5383,512,5926,2021-08-25
"70 - 74",49,6314,1070,7433,2021-08-25
"75 - 79",53,5928,1743,7724,2021-08-25
"80 - 84",48,4610,1996,6654,2021-08-25
"85 - 89",30,2845,1466,4341,2021-08-25
">90",17,1246,614,1877,2021-08-25
