"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",54,1999,10,2063,2021-12-26
"20 - 24",6,677,3,686,2021-12-26
"25 - 29",18,1142,3,1163,2021-12-26
"30 - 34",18,1663,12,1693,2021-12-26
"35 - 39",36,1858,11,1905,2021-12-26
"40 - 44",24,2235,17,2276,2021-12-26
"45 - 49",39,3499,30,3568,2021-12-26
"50 - 54",86,5294,87,5467,2021-12-26
"55 - 59",105,6371,156,6632,2021-12-26
"60 - 64",111,6583,300,6994,2021-12-26
"65 - 69",156,6538,628,7322,2021-12-26
"70 - 74",215,7676,1323,9214,2021-12-26
"75 - 79",226,7414,2208,9848,2021-12-26
"80 - 84",200,5959,2594,8753,2021-12-26
"85 - 89",120,3786,1930,5836,2021-12-26
">90",43,1690,829,2562,2021-12-26
