"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1470,6,1511,2021-09-11
"20 - 24",4,538,3,545,2021-09-11
"25 - 29",8,885,2,895,2021-09-11
"30 - 34",14,1270,11,1295,2021-09-11
"35 - 39",21,1451,10,1482,2021-09-11
"40 - 44",25,1807,13,1845,2021-09-11
"45 - 49",21,2976,26,3023,2021-09-11
"50 - 54",24,4608,77,4709,2021-09-11
"55 - 59",44,5578,131,5753,2021-09-11
"60 - 64",34,5559,245,5838,2021-09-11
"65 - 69",39,5437,515,5991,2021-09-11
"70 - 74",44,6388,1080,7512,2021-09-11
"75 - 79",57,5993,1773,7823,2021-09-11
"80 - 84",56,4665,2027,6748,2021-09-11
"85 - 89",30,2885,1484,4399,2021-09-11
">90",14,1270,625,1909,2021-09-11
