"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1650,7,1697,2021-11-07
"20 - 24",9,583,3,595,2021-11-07
"25 - 29",17,956,2,975,2021-11-07
"30 - 34",16,1394,11,1421,2021-11-07
"35 - 39",18,1570,10,1598,2021-11-07
"40 - 44",33,1945,13,1991,2021-11-07
"45 - 49",32,3134,28,3194,2021-11-07
"50 - 54",40,4787,77,4904,2021-11-07
"55 - 59",45,5786,138,5969,2021-11-07
"60 - 64",86,5778,255,6119,2021-11-07
"65 - 69",116,5641,527,6284,2021-11-07
"70 - 74",142,6627,1121,7890,2021-11-07
"75 - 79",196,6246,1832,8274,2021-11-07
"80 - 84",192,4921,2117,7230,2021-11-07
"85 - 89",134,3041,1563,4738,2021-11-07
">90",70,1351,668,2089,2021-11-07
