"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1491,6,1535,2021-09-21
"20 - 24",0,548,3,551,2021-09-21
"25 - 29",9,899,2,910,2021-09-21
"30 - 34",15,1289,11,1315,2021-09-21
"35 - 39",9,1480,10,1499,2021-09-21
"40 - 44",22,1835,13,1870,2021-09-21
"45 - 49",17,3007,27,3051,2021-09-21
"50 - 54",38,4630,77,4745,2021-09-21
"55 - 59",35,5616,133,5784,2021-09-21
"60 - 64",31,5584,246,5861,2021-09-21
"65 - 69",33,5466,519,6018,2021-09-21
"70 - 74",43,6415,1085,7543,2021-09-21
"75 - 79",41,6026,1783,7850,2021-09-21
"80 - 84",42,4700,2037,6779,2021-09-21
"85 - 89",27,2902,1492,4421,2021-09-21
">90",9,1278,630,1917,2021-09-21
