"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,1971,11,2038,2021-12-20
"20 - 24",6,672,3,681,2021-12-20
"25 - 29",18,1126,2,1146,2021-12-20
"30 - 34",24,1641,12,1677,2021-12-20
"35 - 39",26,1833,11,1870,2021-12-20
"40 - 44",33,2208,17,2258,2021-12-20
"45 - 49",45,3464,30,3539,2021-12-20
"50 - 54",87,5248,86,5421,2021-12-20
"55 - 59",96,6314,155,6565,2021-12-20
"60 - 64",136,6498,292,6926,2021-12-20
"65 - 69",186,6423,618,7227,2021-12-20
"70 - 74",253,7555,1300,9108,2021-12-20
"75 - 79",285,7284,2169,9738,2021-12-20
"80 - 84",255,5841,2555,8651,2021-12-20
"85 - 89",144,3721,1907,5772,2021-12-20
">90",63,1657,822,2542,2021-12-20
