"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1404,6,1440,2021-08-18
"20 - 24",9,498,3,510,2021-08-18
"25 - 29",13,826,2,841,2021-08-18
"30 - 34",16,1199,10,1225,2021-08-18
"35 - 39",17,1383,10,1410,2021-08-18
"40 - 44",24,1729,12,1765,2021-08-18
"45 - 49",19,2901,26,2946,2021-08-18
"50 - 54",46,4505,77,4628,2021-08-18
"55 - 59",46,5469,130,5645,2021-08-18
"60 - 64",45,5470,243,5758,2021-08-18
"65 - 69",43,5353,511,5907,2021-08-18
"70 - 74",41,6296,1065,7402,2021-08-18
"75 - 79",60,5908,1737,7705,2021-08-18
"80 - 84",55,4590,1985,6630,2021-08-18
"85 - 89",35,2827,1459,4321,2021-08-18
">90",12,1241,613,1866,2021-08-18
