"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",55,1865,11,1931,2021-12-06
"20 - 24",16,638,3,657,2021-12-06
"25 - 29",26,1071,2,1099,2021-12-06
"30 - 34",30,1545,12,1587,2021-12-06
"35 - 39",37,1746,11,1794,2021-12-06
"40 - 44",46,2111,16,2173,2021-12-06
"45 - 49",60,3349,30,3439,2021-12-06
"50 - 54",94,5079,82,5255,2021-12-06
"55 - 59",118,6124,149,6391,2021-12-06
"60 - 64",145,6241,279,6665,2021-12-06
"65 - 69",205,6149,582,6936,2021-12-06
"70 - 74",281,7218,1219,8718,2021-12-06
"75 - 79",368,6901,2064,9333,2021-12-06
"80 - 84",287,5558,2425,8270,2021-12-06
"85 - 89",216,3511,1803,5530,2021-12-06
">90",83,1559,774,2416,2021-12-06
