"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",55,2020,10,2085,2021-12-29
"20 - 24",11,679,3,693,2021-12-29
"25 - 29",19,1153,3,1175,2021-12-29
"30 - 34",20,1676,13,1709,2021-12-29
"35 - 39",23,1882,11,1916,2021-12-29
"40 - 44",22,2250,17,2289,2021-12-29
"45 - 49",34,3516,30,3580,2021-12-29
"50 - 54",90,5326,87,5503,2021-12-29
"55 - 59",97,6419,158,6674,2021-12-29
"60 - 64",114,6622,306,7042,2021-12-29
"65 - 69",160,6595,634,7389,2021-12-29
"70 - 74",203,7745,1332,9280,2021-12-29
"75 - 79",223,7469,2224,9916,2021-12-29
"80 - 84",177,6012,2620,8809,2021-12-29
"85 - 89",110,3816,1948,5874,2021-12-29
">90",45,1707,835,2587,2021-12-29
